Gene	Product	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
ypdA	sensor histidine kinase	1.97506897950113	2.06616645467453	2.04321299857219	X	X	X	X	X	X	2.22292594132226	2.0723575964957	2.03101660818497	4.5	BN373_34001	ERS227112_03843	ROD_27951	X	X	X	X	X	X	EC958_5001	NCTC13441_01336	BW25113_2380	b2380
ycjT	putative family 65 glycosyl hydrolase	X	X	2.17284212382054	X	X	X	X	X	X	2.30648982447986	2.22232566181725	1.95396148497202	4.5	X	X	ROD_16931	X	X	X	X	X	X	EC958_1647	NCTC13441_02449	BW25113_1316	b1316
	putative membrane protein	X	X	X	2.14731445617477	2.33271508008423	2.04104069190147	2.09312826530823	1.93658034912395	2.36759209517566	X	X	X	X	X	X	X	SL1344_3361	SL3261_3361	STMMW_33861	STM_MW33861	SEN3222	t3302	X	X	X	X
dtpT	amino acid/peptide transporter	2.45686032621816	2.30337262624953	2.26917037815778	X	X	X	X	X	X	X	X	X	X	BN373_39341	ERS227112_01362	ROD_03881	X	X	X	X	X	X	X	X	X	X
	conserved hypothetical protein	X	X	2.07428360999989	X	X	X	X	X	X	X	X	X	X	X	X	ROD_35751	X	X	X	X	X	X	X	X	X	X
yaiT	autotransporter protein UpaC	X	X	2.86850434958787	2.83488460516981	2.70337627767149	2.60745113716645	3.67955183723063	2.88978831631477	3.54412733338994	3.35958986471467	3.40242001430665	3.81836958435827	4.5	X	X	ROD_04151	SL1344_0368	SL3261_0368	STMMW_04431	STM_MW04431	SEN0356	t2491	EC958_0509	NCTC13441_03605	BW25113_4580	b4580
ureR_2	transcriptional regulator, AraC family	2.09483847900508	1.63265073591068	1.8949383598723	X	X	X	X	X	X	X	X	X	X	BN373_19201	ERS227112_05366	ROD_30401	X	X	X	X	X	X	X	X	X	X
malX	PTS system, maltose and glucose-specific IIBC component	2.17852201003371	1.92061469289125	2.16636748740823	X	X	X	X	X	X	2.16812654882855	1.9160587668055	1.45405341683834	4.5	BN373_20681	ERS227112_05173	ROD_14481	X	X	X	X	X	X	EC958_1842	NCTC13441_02260	BW25113_1621	b1621
	conserved hypothetical protein	X	X	2.25224583659833	X	X	X	X	X	X	X	X	X	X	X	X	ROD_00321	X	X	X	X	X	X	X	X	X	X
lysU	lysyl-tRNA synthetase LysS homolog	2.19073815647057	2.05857732890094	X	X	X	X	X	X	X	X	X	X	X	BN373_10661	ERS227112_02925	X	X	X	X	X	X	X	X	X	X	X
uidB_3	oligogalacturonide transporter	2.12420648392125	2.10331564761199	2.03253517747951	X	X	X	X	X	X	X	X	X	X	BN373_29761	ERS227112_04271	ROD_19221	X	X	X	X	X	X	X	X	X	X
dhaR	PTS-dependent dihydroxyacetone kinase operon regulatory protein	2.38408418629785	2.04492641556048	X	X	X	X	X	X	X	2.46919035167026	2.01348418005642	2.1487756687315	4.5	BN373_41471	ERS227112_01112	X	X	X	X	X	X	X	EC958_1445	NCTC13441_02673	BW25113_1201	b1201
kpdC	4-hydroxybenzoate decarboxylase, subunit C	2.083813403268	2.28518472153958	1.63758094795901	1.9391281885407	2.03745445001551	2.07193020960267	1.7719117201835	1.51680025008535	1.1102018419492	X	X	X	X	BN373_37411	ERS227112_01563	ROD_30711	SL1344_2901	SL3261_2901	STMMW_28851	STM_MW28851	SEN2761	t2823	X	X	X	X
alsA	D-allose ABC transporter ATPase	X	X	2.56936738286754	X	X	X	X	X	X	2.58330596578263	2.60762924394864	2.65499434518351	4.5	X	X	ROD_34721	X	X	X	X	X	X	EC958_4568	NCTC13441_04376	BW25113_4087	b4087
uxaA	altronate dehydratase	2.30957130057013	2.10655453237554	2.06105258585287	X	X	X	X	X	X	2.23511580043071	2.31251812364573	2.1354767182998	4.5	BN373_41811	ERS227112_01085	ROD_47961	X	X	X	X	X	X	EC958_3497	NCTC13441_00598	BW25113_3091	b3091
gltD_2	AegA protein	2.31806607777357	1.9806033379558	X	X	X	X	X	X	X	X	X	X	X	BN373_34611	ERS227112_03777	X	X	X	X	X	X	X	X	X	X	X
fliF	flagellar basal-body MS-ring and collar protein	X	X	1.89348818240749	1.94613414135245	1.88711222038447	1.53955967240849	2.04721707674507	1.57738092444794	1.67145532078554	2.00219882355057	1.93637775517347	1.92676752160442	4.5	X	X	ROD_20181	SL1344_1898	SL3261_1898	STMMW_19491	STM_MW19491	SEN1040	t0908	EC958_2204	NCTC13441_01886	BW25113_1938	b1938
mqo_1	putative malate:quinone-oxidoreductase	2.20172360919206	2.05102570971831	2.04014777749701	X	X	X	X	X	X	2.37129813891462	2.20739657948935	2.38451654114187	4.5	BN373_32341	ERS227112_03951	ROD_23411	X	X	X	X	X	X	EC958_2547	NCTC13441_01498	BW25113_2210	b2210
rbsA_4	putative sugar ABC transporter, ATP-binding protein	1.98295119198216	2.28152275675933	1.68662196029359	X	X	X	X	X	X	1.97993590916803	1.88545970467501	1.30575778442093	4.5	BN373_02341	ERS227112_02099	ROD_32891	X	X	X	X	X	X	EC958_4722	NCTC13441_04218	BW25113_4485	b4485
yjjI	DUF3029 family protein, putative glycine radical enzyme	X	X	1.86890191672978	1.9383417516913	2.15111281811693	1.93514966977308	1.68113966925312	1.43837882822491	1.44720714447317	2.22392428429403	1.91647233036499	1.79823871744142	4.5	X	X	ROD_49031	SL1344_4493	SL3261_4493	STMMW_45081	STM_MW45081	SEN4327	t4609	EC958_0109	NCTC13441_04014	BW25113_4380	b4380
steT	amino acid permease family protein	1.98605656836272	2.11635808597346	X	2.66445572202743	2.49368587163595	2.51556983295049	2.74212732549241	2.27347951866157	2.38612629511097	X	X	X	X	BN373_11011	ERS227112_02960	X	SL1344_3100	SL3261_3100	STMMW_30861	STM_MW30861	SEN2969	t3048	X	X	X	X
nanT	sialic acid transporter	X	X	2.05053059085638	2.53044438656103	2.46235256695891	2.53751080255756	2.61357774106204	2.15459446462013	2.52589767583196	2.50017920625379	2.28220220656021	2.0948937296968	4.5	X	X	ROD_45981	SL1344_3310	SL3261_3310	STMMW_33371	STM_MW33371	SEN3171	t3255	EC958_3617	NCTC13441_00474	BW25113_3224	b3224
citA	sensor kinase CitA	2.15140787143067	2.47610874689128	X	3.08627535382079	3.01391883112904	3.04040194133756	3.42159058033378	2.97414830045688	3.09603814168653	X	X	X	X	BN373_05111	ERS227112_02365	X	SL1344_0054	SL3261_0054	STMMW_00541	STM_MW00541	SEN0054	t0055	X	X	X	X
xylG	D-xylose ABC transporter, ATP-binding protein	2.10591860946814	2.25238279988193	X	X	X	X	X	X	X	3.25281415209979	3.54367749858647	3.52606131477639	4.5	BN373_45741	ERS227112_00648	X	X	X	X	X	X	X	EC958_3973	NCTC13441_00116	BW25113_3567	b3567
crfC	clamp-binding sister replication fork colocalization protein, dynamin-related	X	X	X	X	X	X	X	X	X	2.77911384273075	2.70253331506208	2.7511545564546	4.5	X	X	X	X	X	X	X	X	X	EC958_4589	NCTC13441_04355	BW25113_4109	b4109
ansP	L-asparagine permease	2.67571266453242	1.72485656456274	X	1.9068220330999	1.87210610090181	2.0754936902615	1.56088316584358	1.75662921287803	1.51410538422593	2.30920688629551	2.14890410639583	1.48543974361941	4.5	BN373_24821	ERS227112_04771	X	SL1344_1515	SL3261_1515	STMMW_15791	STM_MW15791	SEN1471	t1494	EC958_1727	NCTC13441_02367	BW25113_1453	b1453
yjgR	conserved hypothetical protein	2.32625095853899	2.47595012385007	1.87282219962289	X	X	X	X	X	X	1.80293400554131	1.79418313192413	2.33646608816396	4.5	BN373_02851	ERS227112_02150	ROD_33291	X	X	X	X	X	X	EC958_4758	NCTC13441_04185	BW25113_4263	b4263
kstD	FAD-dependent oxidoreductase	1.99637043913876	2.26650609365471	2.08397681914864	X	X	X	X	X	X	X	X	X	X	BN373_08751	ERS227112_02737	ROD_04811	X	X	X	X	X	X	X	X	X	X
aldA	aldehyde dehydrogenase A	1.72651395166265	1.98559806852333	1.99674420761703	X	X	X	X	X	X	2.48381446094373	2.08946193711343	1.62669706783928	4.5	BN373_20571	ERS227112_05184	ROD_16231	X	X	X	X	X	X	EC958_1695	NCTC13441_02400	BW25113_1415	b1415
foxA	ferrioxamine receptor	2.19819300789473	1.84762320210639	X	2.24646493307104	2.36102193934507	1.96859901043348	2.02354157462955	1.7951815933914	1.85921764926662	X	X	X	X	BN373_28871	ERS227112_04362	X	SL1344_0359	SL3261_0359	STMMW_04341	STM_MW04341	SEN0347	t2500	X	X	X	X
yicJ_3	sugar transporter, glycoside-pentoside-hexuronide (GPH):cation symporter family	2.75004900268106	2.66550595158641	2.23025321826486	2.42417249079006	2.70032382572044	2.58538872908709	2.34544374259807	1.99840076915567	2.08689579054366	X	X	X	X	BN373_06051	ERS227112_02452	ROD_01171	SL1344_0149	SL3261_0149	STMMW_01551	STM_MW01551	SEN0153	t0155	X	X	X	X
ksdD	FAD-dependent oxidoreductase	2.38192373217839	2.15915576635187	2.11683817267291	X	X	X	X	X	X	X	X	X	X	BN373_08731	ERS227112_02735	ROD_04791	X	X	X	X	X	X	X	X	X	X
	putative hydrolase	X	X	2.05092277359892	2.3329678500078	2.25830341482232	1.96526986770355	2.27354663921442	1.83312025336015	1.71293525144456	X	X	X	X	X	X	ROD_15441	SL1344_1490	SL3261_1490	STMMW_15551	STM_MW15551	SEN1495	t1473	X	X	X	X
yahG	DUF1116 family protein	X	X	X	X	X	X	X	X	X	2.12066140625133	1.75455019539161	1.89094889926325	4.5	X	X	X	X	X	X	X	X	X	EC958_0473	NCTC13441_03640	BW25113_0321	b0321
araG	L-arabinose ABC transporter, ATP-binding protein	2.15804593336164	1.86829313637154	1.84409089069671	X	X	X	X	X	X	2.05456959040206	2.11035234657378	1.56419097042368	4.5	BN373_29811	ERS227112_04266	ROD_19521	X	X	X	X	X	X	EC958_2119	NCTC13441_01984	BW25113_1900	b1900
uxaB	tagaturonate reductase	1.89901327730486	1.84794383857572	2.2995945196928	X	X	X	X	X	X	1.94015476677527	1.90073898939367	2.10272626468514	4.5	BN373_22161	ERS227112_05032	ROD_15221	X	X	X	X	X	X	EC958_1777	NCTC13441_02325	BW25113_1521	b1521
glpT_3	phosphoglycerate transporter protein	3.0057581899335	2.74881215852247	X	2.75486396920891	2.70022953395597	2.8250473023947	3.59797491297296	2.9921884034157	3.61447815990534	X	X	X	X	BN373_22991	ERS227112_04944	X	SL1344_2367	SL3261_2367	STMMW_24201	STM_MW24201	SEN2385	t0459	X	X	X	X
xylE	putative sugar transporter	2.29798261413498	1.72663656177826	2.27606245858323	X	X	X	X	X	X	X	X	X	X	BN373_35291	ERS227112_00043	ROD_24901	X	X	X	X	X	X	X	X	X	X
	Major Facilitator Superfamily transporter	X	X	2.54414905084704	X	X	X	X	X	X	X	X	X	X	X	X	ROD_14841	X	X	X	X	X	X	X	X	X	X
lamB_1	conserved hypothetical protein	2.55910531065031	2.60299990884476	1.97098520484607	X	X	X	X	X	X	X	X	X	X	BN373_03481	ERS227112_00521	ROD_41141	X	X	X	X	X	X	X	X	X	X
fdhF_3	molybdopterin oxidoreductase, alpha subunit	2.20929169094574	1.57550325419023	X	X	X	X	X	X	X	2.18236032267751	2.53632993636388	2.1201245748577	4.5	BN373_24041	ERS227112_04835	X	X	X	X	X	X	X	EC958_1764	NCTC13441_02337	BW25113_1501	b1501
melA	alpha-galactosidase	2.47173201108243	2.37428681348608	X	2.47129385331977	2.40323999968933	2.33013004468221	2.57598141961949	2.03218285121339	1.75177245705932	2.52388661441758	2.23953561563207	2.47384604345395	4.5	BN373_01171	ERS227112_01981	X	SL1344_4235	SL3261_4235	STMMW_42491	STM_MW42491	SEN4069	t4205	EC958_4599	NCTC13441_04345	BW25113_4119	b4119
hutH	histidine ammonia-lyase	2.08895063572203	2.22978562970394	2.09108412695795	2.8112378732511	2.43484124485649	2.34084473805935	2.07039578418567	1.56596791216848	1.77043272767314	X	X	X	X	BN373_13581	ERS227112_03230	ROD_07731	SL1344_0768	SL3261_0768	STMMW_08431	STM_MW08431	SEN0736	t2096	X	X	X	X
phoA	alkaline phosphatase	2.64263925423821	2.82231080996091	2.60584059734773	X	X	X	X	X	X	2.67793553444602	2.65266092862888	2.88085580762264	4.5	BN373_08151	ERS227112_02677	ROD_04271	X	X	X	X	X	X	EC958_0520	NCTC13441_03595	BW25113_0383	b0383
dan	conserved hypothetical protein	1.86841940932351	2.28742347350932	1.78843041466749	X	X	X	X	X	X	X	X	X	X	BN373_04201	ERS227112_02267	ROD_48401	X	X	X	X	X	X	X	X	X	X
citS	citrate:sodium symporter	2.62300174228859	3.38816047370852	X	2.53112842633822	2.57004667009944	2.53035959150797	3.1466409537581	2.62562118174685	3.18875313437923	X	X	X	X	BN373_05181	ERS227112_02369	X	SL1344_0058	SL3261_0058	STMMW_00581	STM_MW00581	SEN0058	t0059	X	X	X	X
scsB	suppressor for copper-sensitivity B	2.16825997386526	2.21257225484725	X	2.22238919375252	2.18452066195845	1.89362711817738	1.71137632096728	1.40516756558989	1.43403984252496	X	X	X	X	BN373_39991	ERS227112_01331	X	SL1344_1053	SL3261_1053	STMMW_11241	STM_MW11241	SEN0978	t1806	X	X	X	X
yahF	putative NAD(P)-binding succinyl-CoA synthase	X	X	X	X	X	X	X	X	X	2.09702551079613	2.07807720598222	1.13366328187128	4.5	X	X	X	X	X	X	X	X	X	EC958_0472	NCTC13441_03641	BW25113_0320	b0320
gudP_4	transporter, major facilitator family	2.58338211543791	3.90430724886802	3.14419515690486	X	X	X	X	X	X	X	X	X	X	BN373_13891	ERS227112_03261	ROD_07981	X	X	X	X	X	X	X	X	X	X
por_1	mannitol dehydrogenase family protein	1.9162507878758	1.71809367843097	1.99057209760187	X	X	X	X	X	X	2.28383936301664	1.85168234479888	2.06509745274052	4.5	BN373_32111	ERS227112_03975	ROD_23031	X	X	X	X	X	X	EC958_2510	NCTC13441_01537	BW25113_2172	b2172
gmuC_1	PTS system, lactose/cellobiose family IIC subunit	2.28543782855002	2.17282446641871	1.6784094731901	X	X	X	X	X	X	X	X	X	X	BN373_46981	ERS227112_00523	ROD_41171	X	X	X	X	X	X	X	X	X	X
rspA	bifunctional D-altronate/D-mannonate dehydratase	X	X	X	2.05777067835414	2.24307711183829	1.75832151980399	1.99720413311576	1.7352084311749	1.6124305201735	2.33060577104227	1.78909755961199	1.44365520911131	4.5	X	X	X	SL1344_1435	SL3261_1435	STMMW_15051	STM_MW15051	SEN1545	t1426	EC958_1799	NCTC13441_02303	BW25113_1581	b1581
pnbA	para-nitrobenzyl esterase	2.38794025819902	1.29130035109412	2.47173972717318	1.96258622457705	2.27136363831549	1.87443097466145	1.69465949968126	1.41572663515168	1.50837659140027	X	X	X	X	BN373_25271	ERS227112_04728	ROD_16101	SL1344_1553	SL3261_1553	STMMW_16181	STM_MW16181	SEN1429	t1532	X	X	X	X
togB	oligogalacturonide ABC transporter, periplasmic pectic oligomer-binding protein	2.29317917621959	2.0905272762343	1.73261865343309	X	X	X	X	X	X	X	X	X	X	BN373_38901	ERS227112_01407	ROD_28891	X	X	X	X	X	X	X	X	X	X
tsr	methyl-accepting chemotaxis protein	X	X	2.00152178286401	X	X	X	X	X	X	X	X	X	X	X	X	ROD_32641	X	X	X	X	X	X	X	X	X	X
cioA	cyanide-insensitive terminal oxidase CioA	2.55356717418263	2.11044834701486	2.58396512626021	2.54872838764135	2.43736451015063	2.01963900032198	2.13373245448339	2.08114908004768	2.42839991352153	X	X	X	X	BN373_25091	ERS227112_04745	ROD_03901	SL1344_0355	SL3261_0355	STMMW_04301	STM_MW04301	SEN0343	t2504	X	X	X	X
cobQ	cobyric acid synthase CobQ	2.52066492988721	2.4603893223578	2.28621082079043	2.31619911687242	2.08414062564619	1.92441541188703	2.02561270656484	1.36953761030267	1.73523979598173	X	X	X	X	BN373_38141	ERS227112_01486	ROD_21041	SL1344_1995	SL3261_1995	STMMW_20501	STM_MW20501	SEN2017	t0855	X	X	X	X
aer	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component	X	X	2.05606585958969	2.21624660011489	2.24898101687813	1.92842588817891	1.73263814872682	2.06457049769817	1.98608095815895	2.10075154461395	1.95250470429358	1.58418102537042	4.5	X	X	ROD_48061	SL1344_3190	SL3261_3190	STMMW_32181	STM_MW32181	SEN3059	t3137	EC958_3477	NCTC13441_00620	BW25113_3072	b3072
flgK	flagellar hook-filament junction protein 1	X	X	1.83941865451505	2.3346750982906	2.25521964259811	2.10396413514625	2.28722414277427	1.6567038684036	1.89219006638446	1.77902315020439	1.90801908486523	1.78057976075176	4.5	X	X	ROD_11421	SL1344_1120	SL3261_1120	STMMW_11911	STM_MW11911	SEN1865	t1737	EC958_1277	NCTC13441_02830	BW25113_1082	b1082
