EsCoMG1655.locus.tag	Gene	Product	EnClNCTC9394.NPEQ	KlPnEcl8.NPEQ	KlPnRH201207.NPEQ	CiRoICC168.NPEQ	SaTySL1344.NPEQ	SaTySL3261.NPEQ	SaTyD23580.NPEQ	SaTyA130.NPEQ	SaEnP125109.NPEQ	SaTyTy2.NPEQ	EsCoEC958.NPEQ	EsCoST131.NPEQ	EsCoCS17.NPEQ	EsCoH10407.NPEQ	EsCoBW25113.NPEQ	EsCoMG1655.NPEQ	EnClNCTC9394.locus.tag	KlPnEcl8.locus.tag	KlPnRH201207.locus.tag	CiRoICC168.locus.tag	SaTySL1344.locus.tag	SaTySL3261.locus.tag	SaTyD23580.locus.tag	SaTyA130.locus.tag	SaEnP125109.locus.tag	SaTyTy2.locus.tag	EsCoEC958.locus.tag	EsCoST131.locus.tag	EsCoCS17.locus.tag	EsCoH10407.locus.tag	EsCoBW25113.locus.tag	path_id	path_name
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco00261	Monobactam biosynthesis 
b0031	dapB	dihydrodipicolinate reductase	2.69310885309868	3.50780347164969	2.78694942324402	3.31534687973966	2.70685594583509	1.82697237553996	2.57718464617966	2.5417550919815	2.12304176766922	2.59895534203471	3.65194570790025	2.86357261829285	2.65304823017034	3.56375380535483	2.17697698170999	0	ENC_45560	BN373_05241	ERS227112_02375	ROD_00341	SL1344_0065	SL3261_0065	STMMW_00651	STM_MW00651	SEN0065	t0066	EC958_0164	NCTC13441_03960	CS17_00030	ETEC_0031	BW25113_0031	eco01110	Biosynthesis of secondary metabolites 
b0048	folA	dihydrofolate reductase	2.08200883901318	2.56530855132817	-0.514020071530876	2.61202360877584	2.766555288613	2.58323638787287	-0.0666547018206764	0.0615132624797254	2.50200682318421	0.0418405527115912	0.0198661001956049	-0.2011475313468	2.06992063243559	2.64468628430152	1.614747428505	7	ENC_559added	BN373_05321	ERS227112_02381	ROD_00551	SL1344_0088	SL3261_0088	STMMW_00921	STM_MW00921	SEN0089	t0090	EC958_0182	NCTC13441_03942	CS17_00049	ETEC_0048	BW25113_0048	eco00670	One carbon pool by folate 
b0048	folA	dihydrofolate reductase	2.08200883901318	2.56530855132817	-0.514020071530876	2.61202360877584	2.766555288613	2.58323638787287	-0.0666547018206764	0.0615132624797254	2.50200682318421	0.0418405527115912	0.0198661001956049	-0.2011475313468	2.06992063243559	2.64468628430152	1.614747428505	7	ENC_559added	BN373_05321	ERS227112_02381	ROD_00551	SL1344_0088	SL3261_0088	STMMW_00921	STM_MW00921	SEN0089	t0090	EC958_0182	NCTC13441_03942	CS17_00049	ETEC_0048	BW25113_0048	eco00790	Folate biosynthesis 
b0048	folA	dihydrofolate reductase	2.08200883901318	2.56530855132817	-0.514020071530876	2.61202360877584	2.766555288613	2.58323638787287	-0.0666547018206764	0.0615132624797254	2.50200682318421	0.0418405527115912	0.0198661001956049	-0.2011475313468	2.06992063243559	2.64468628430152	1.614747428505	7	ENC_559added	BN373_05321	ERS227112_02381	ROD_00551	SL1344_0088	SL3261_0088	STMMW_00921	STM_MW00921	SEN0089	t0090	EC958_0182	NCTC13441_03942	CS17_00049	ETEC_0048	BW25113_0048	eco01100	Metabolic pathways 
b0088	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	3.77533468736236	3.60013813107201	3.69996962866777	3.78886114083025	4.64091899416514	4.19281282689416	3.34966789839311	3.35079439291783	3.8443346591309	3.33162978596951	4.6757671586167	3.85998587489141	3.55332919981466	3.15737419007624	0.599781730776456	7	ENC_46000	BN373_05811	ERS227112_02429	ROD_00941	SL1344_0126	SL3261_0126	STMMW_01321	STM_MW01321	SEN0127	t0130	EC958_0228	NCTC13441_03897	CS17_00088	ETEC_0086	BW25113_0088	eco01100	Metabolic pathways 
b0088	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	3.77533468736236	3.60013813107201	3.69996962866777	3.78886114083025	4.64091899416514	4.19281282689416	3.34966789839311	3.35079439291783	3.8443346591309	3.33162978596951	4.6757671586167	3.85998587489141	3.55332919981466	3.15737419007624	0.599781730776456	7	ENC_46000	BN373_05811	ERS227112_02429	ROD_00941	SL1344_0126	SL3261_0126	STMMW_01321	STM_MW01321	SEN0127	t0130	EC958_0228	NCTC13441_03897	CS17_00088	ETEC_0086	BW25113_0088	eco00550	Peptidoglycan biosynthesis 
b0088	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	3.77533468736236	3.60013813107201	3.69996962866777	3.78886114083025	4.64091899416514	4.19281282689416	3.34966789839311	3.35079439291783	3.8443346591309	3.33162978596951	4.6757671586167	3.85998587489141	3.55332919981466	3.15737419007624	0.599781730776456	7	ENC_46000	BN373_05811	ERS227112_02429	ROD_00941	SL1344_0126	SL3261_0126	STMMW_01321	STM_MW01321	SEN0127	t0130	EC958_0228	NCTC13441_03897	CS17_00088	ETEC_0086	BW25113_0088	eco00471	D-Glutamine and D-glutamate metabolism 
b0097	secM	regulator of secA translation	0.166725331596206	1.24557440781564	-0.217668135064668	-0.096408466429362	0.82419862855048	0.216957538391059	0.260211617630734	0.205096332352027	0.0168141127668691	-0.042896191605294	1.00161943670566	0.529821212070076	-0.119603343525206	0.226654233026582	-0.458810886512309	7	ENC_46090	BN373_05901	ERS227112_02438	ROD_01031	SL1344_0135	SL3261_0135	STMMW_01411	STM_MW01411	SEN0136	t0139	EC958_0238	NCTC13441_03888	CS17_00097	ETEC_0095	BW25113_0097	eco03070	Bacterial secretion system 
b0097	secM	regulator of secA translation	0.166725331596206	1.24557440781564	-0.217668135064668	-0.096408466429362	0.82419862855048	0.216957538391059	0.260211617630734	0.205096332352027	0.0168141127668691	-0.042896191605294	1.00161943670566	0.529821212070076	-0.119603343525206	0.226654233026582	-0.458810886512309	7	ENC_46090	BN373_05901	ERS227112_02438	ROD_01031	SL1344_0135	SL3261_0135	STMMW_01411	STM_MW01411	SEN0136	t0139	EC958_0238	NCTC13441_03888	CS17_00097	ETEC_0095	BW25113_0097	eco03060	Protein export 
b0103	coaE	dephospho-CoA kinase	2.20398197019742	2.77547937620635	2.40527140148519	2.5684065352439	2.07534999419151	1.51743983263454	1.92342901146022	1.85560853258949	1.51654782594321	1.93149963994801	2.48008904588845	2.22218938404052	3.34254945334952	1.5572254754703	1.88419872577762	7	ENC_46140	BN373_05951	ERS227112_02443	ROD_01081	SL1344_0140	SL3261_0140	STMMW_01461	STM_MW01461	SEN0144	t0146	EC958_0243	NCTC13441_03883	CS17_00102	ETEC_0100	BW25113_0103	eco01100	Metabolic pathways 
b0103	coaE	dephospho-CoA kinase	2.20398197019742	2.77547937620635	2.40527140148519	2.5684065352439	2.07534999419151	1.51743983263454	1.92342901146022	1.85560853258949	1.51654782594321	1.93149963994801	2.48008904588845	2.22218938404052	3.34254945334952	1.5572254754703	1.88419872577762	7	ENC_46140	BN373_05951	ERS227112_02443	ROD_01081	SL1344_0140	SL3261_0140	STMMW_01461	STM_MW01461	SEN0144	t0146	EC958_0243	NCTC13441_03883	CS17_00102	ETEC_0100	BW25113_0103	eco00770	Pantothenate and CoA biosynthesis 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco01110	Biosynthesis of secondary metabolites 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco00010	Glycolysis / Gluconeogenesis 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco00020	Citrate cycle (TCA cycle) 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco01120	Microbial metabolism in diverse environments 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco01130	Biosynthesis of antibiotics 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco00620	Pyruvate metabolism 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco01200	Carbon metabolism 
b0114	aceE	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	0.706116022554894	0.231669101138554	1.13204843925044	0.514174872085683	1.4029222926628	0.715257726226488	0.88669380345625	1.71570755823352	0.965274909474134	2.11497949292968	0.933628951549621	1.18952339068995	-0.215016170452245	0.555009967576565	-0.0890571650303663	0	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	CS17_00124	ETEC_0110	BW25113_0114	eco01100	Metabolic pathways 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco01130	Biosynthesis of antibiotics 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco01200	Carbon metabolism 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco01120	Microbial metabolism in diverse environments 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco00620	Pyruvate metabolism 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco01110	Biosynthesis of secondary metabolites 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco00010	Glycolysis / Gluconeogenesis 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco00020	Citrate cycle (TCA cycle) 
b0115	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	0.858456981160621	0.0915675707976318	1.36980189808945	0.644660932908366	1.56831779630291	1.62144934612982	1.42761778049434	1.69893974151553	1.56355191793747	3.56562239774268	1.16418468879666	1.84235489027231	0.420859124609682	1.00609834259157	0.972164960628096	0	ENC_46280	BN373_06091	ERS227112_02457	ROD_01211	SL1344_0153	SL3261_0153	STMMW_01591	STM_MW01591	SEN0157	t0159	EC958_0257	NCTC13441_03866	CS17_00125	ETEC_0111	BW25113_0115	eco01100	Metabolic pathways 
b0116	lpd	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	2.55815224399989	1.52334456820764	3.77515353499697	2.79729945261014	2.0508066308921	3.26272097247716	1.73327751459899	2.70760912806476	1.16082904528734	2.68633474083943	3.07896143316368	3.48901877234656	1.48281389478001	1.3578042988204	0.479115185605862	0	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	CS17_00126	ETEC_0112	BW25113_0116	eco00280	Valine, leucine and isoleucine degradation 
b0116	lpd	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	2.55815224399989	1.52334456820764	3.77515353499697	2.79729945261014	2.0508066308921	3.26272097247716	1.73327751459899	2.70760912806476	1.16082904528734	2.68633474083943	3.07896143316368	3.48901877234656	1.48281389478001	1.3578042988204	0.479115185605862	0	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	CS17_00126	ETEC_0112	BW25113_0116	eco01110	Biosynthesis of secondary metabolites 
b0116	lpd	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	2.55815224399989	1.52334456820764	3.77515353499697	2.79729945261014	2.0508066308921	3.26272097247716	1.73327751459899	2.70760912806476	1.16082904528734	2.68633474083943	3.07896143316368	3.48901877234656	1.48281389478001	1.3578042988204	0.479115185605862	0	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	CS17_00126	ETEC_0112	BW25113_0116	eco00020	Citrate cycle (TCA cycle) 
b0116	lpd	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	2.55815224399989	1.52334456820764	3.77515353499697	2.79729945261014	2.0508066308921	3.26272097247716	1.73327751459899	2.70760912806476	1.16082904528734	2.68633474083943	3.07896143316368	3.48901877234656	1.48281389478001	1.3578042988204	0.479115185605862	0	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	CS17_00126	ETEC_0112	BW25113_0116	eco00620	Pyruvate metabolism 
b0116	lpd	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	2.55815224399989	1.52334456820764	3.77515353499697	2.79729945261014	2.0508066308921	3.26272097247716	1.73327751459899	2.70760912806476	1.16082904528734	2.68633474083943	3.07896143316368	3.48901877234656	1.48281389478001	1.3578042988204	0.479115185605862	0	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	CS17_00126	ETEC_0112	BW25113_0116	eco01200	Carbon metabolism 
b0116	lpd	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	2.55815224399989	1.52334456820764	3.77515353499697	2.79729945261014	2.0508066308921	3.26272097247716	1.73327751459899	2.70760912806476	1.16082904528734	2.68633474083943	3.07896143316368	3.48901877234656	1.48281389478001	1.3578042988204	0.479115185605862	0	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	CS17_00126	ETEC_0112	BW25113_0116	eco00260	Glycine, serine and threonine metabolism 
