Gene	Product	EnClNCTC9394.II	KlPnEcl8.II	KlPnRH201207.II	CiRoICC168.II	SaTySL1344.II	SaTySL3261.II	SaTyD23580.II	SaTyA130.II	SaEnP125109.II	SaTyTy2.II	EsCoEC958.II	EsCoST131.II	EsCoBW25113.II	EsCoMG1655.II	EnClNCTC9394.locus.tag	KlPnEcl8.locus.tag	KlPnRH201207.locus.tag	CiRoICC168.locus.tag	SaTySL1344.locus.tag	SaTySL3261.locus.tag	SaTyD23580.locus.tag	SaTyA130.locus.tag	SaEnP125109.locus.tag	SaTyTy2.locus.tag	EsCoEC958.locus.tag	EsCoST131.locus.tag	EsCoBW25113.locus.tag	EsCoMG1655.locus.tag	ENC_no	BN373_no	ERS227112_no	ROD_no	SL1344_no	SL3261_no	STMMW_no	STM_no	SEN_no	t_no	EC958_no	NCTC13441_no	BW25113_no	b_no	ENC_in	BN373_in	ERS227112_in	ROD_in	SL1344_in	SL3261_in	STMMW_in	STM_in	SEN_no.1	t_in	EC958_in	NCTC13441_in	BW25113_in	b_in	path_id	path_name
lpdA	dihydrolipoamide dehydrogenase	-1.31439183446898	0.801623736176212	-4.5	-0.69757694587837	-0.713816247270978	-2.57848847940877	-0.296740503864064	-1.63061343235087	0.167268003201335	-2.3528419954229	-2.08632461102746	-4.5	0.679121941732903	4.5	ENC_46290	BN373_06101	ERS227112_02458	ROD_01221	SL1344_0154	SL3261_0154	STMMW_01601	STM_MW01601	SEN0158	t0160	EC958_0258	NCTC13441_03865	BW25113_0116	b0116	3	4	5	3	4	4	4	4	4	4	5	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
acnB	aconitase	2.6081987806114	1.98769382336673	-0.176944006956929	1.93753381447079	2.23720754423673	2.04120189104166	1.93289879630874	0.948735842206711	1.53087159116819	0.36018977319122	1.09165106496073	1.30664942337634	1.99789600159501	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
acnB	aconitase	2.6081987806114	1.98769382336673	-0.176944006956929	1.93753381447079	2.23720754423673	2.04120189104166	1.93289879630874	0.948735842206711	1.53087159116819	0.36018977319122	1.09165106496073	1.30664942337634	1.99789600159501	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00012	Glyoxylate cycle
acnB	aconitase	2.6081987806114	1.98769382336673	-0.176944006956929	1.93753381447079	2.23720754423673	2.04120189104166	1.93289879630874	0.948735842206711	1.53087159116819	0.36018977319122	1.09165106496073	1.30664942337634	1.99789600159501	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00009	Citrate cycle (TCA cycle, Krebs cycle)
folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	-0.648724336381344	-4.5	-4.5	-0.955861965559942	-4.5	1.25114106524522	0.22740158395996	-4.5	-1.88458417806269	-0.479624203892882	-0.487947431044898	0.172132893881084	-4.5	-4.5	ENC_46570	BN373_06321	ERS227112_02483	ROD_01461	SL1344_0184	SL3261_0184	STMMW_01891	STM_MW01891	SEN0188	t0191	EC958_0285	NCTC13441_03838	BW25113_0142	b0142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00126	Tetrahydrofolate biosynthesis, GTP => THF
hemL	glutamate-1-semialdehyde 2,1-aminomutase	0.21194100452078	1.96015441397718	-1.16369961025501	-0.829468097258352	0.747204949448685	1.98339123429468	1.10990138777467	-4.5	-0.960059843791537	-0.728372538544723	-0.935156592992425	-1.49045614892184	-0.0173809319057274	-4.5	ENC_46750	BN373_06601	ERS227112_02510	ROD_01581	SL1344_0203	SL3261_0203	STMMW_02081	STM_MW02081	SEN0207	t0203	EC958_0302	NCTC13441_03822	BW25113_0154	b0154	5	11	10	6	6	6	6	5	6	6	6	6	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00121	Heme biosynthesis, glutamate => protoheme/siroheme
dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.301283151738787	-4.5	-0.715133542391133	-4.5	-4.5	4.5	ENC_46870	BN373_06701	ERS227112_02520	ROD_01691	SL1344_0214	SL3261_0214	STMMW_02191	STM_MW02191	SEN0219	t0214	EC958_0312	NCTC13441_03812	BW25113_0166	b0166	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
rpsB	SSU ribosomal protein S2P	-1.79827590099883	-4.5	-4.5	-1.36618315383077	-4.5	-4.5	-4.5	-4.5	-1.68749755893249	-4.5	-1.1170978367375	-4.5	-4.5	-4.5	ENC_46920	BN373_06741	ERS227112_02524	ROD_01721	SL1344_0217	SL3261_0217	STMMW_02221	STM_MW02221	SEN0223	t0217	EC958_0315	NCTC13441_03808	BW25113_0169	b0169	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00178	Ribosome, bacteria
dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-1.59283066084395	-4.5	-0.941228523076558	-4.5	-2.47491315696518	-4.5	-4.5	-4.5	ENC_46960	BN373_06781	ERS227112_02528	ROD_01761	SL1344_0221	SL3261_0221	STMMW_02261	STM_MW02261	SEN0227	t0221	EC958_0319	NCTC13441_03804	BW25113_0173	b0173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
cdsA	Phosphatidate cytidylyltransferase	-4.5	-4.5	-4.5	-4.5	-2.1003997398066	-4.5	-1.2604585042736	-1.21277786741676	-2.55858347428106	-4.5	-4.5	-1.65113037450855	-4.5	-4.5	ENC_581added	BN373_06801	ERS227112_02530	ROD_01781	SL1344_0223	SL3261_0223	STMMW_02281	STM_MW02281	SEN0229	t0223	EC958_0321	NCTC13441_03801	BW25113_0175	b0175	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	-4.5	-4.5	-4.5	-4.5	-2.27486198396309	-4.5	-1.03125863697076	-0.701067904407054	-0.950686350279917	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_47020	BN373_06841	ERS227112_02534	ROD_01821	SL1344_0227	SL3261_0227	STMMW_02321	STM_MW02321	SEN0233	t0227	EC958_0325	NCTC13441_03797	BW25113_0179	b0179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.586202260257388	-1.24180832342147	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_582added	BN373_06851	ERS227112_02535	ROD_01831	SL1344_0228	SL3261_0228	STMMW_02331	STM_MW02331	SEN0234	t0228	EC958_0326	NCTC13441_03796	BW25113_0180	b0180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00572	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.586202260257388	-1.24180832342147	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_582added	BN373_06851	ERS227112_02535	ROD_01831	SL1344_0228	SL3261_0228	STMMW_02331	STM_MW02331	SEN0234	t0228	EC958_0326	NCTC13441_03796	BW25113_0180	b0180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00083	Fatty acid biosynthesis, elongation
lpxA	Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-0.769766014491228	-4.5	-1.09657031095422	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_583added	BN373_06861	ERS227112_02536	ROD_01841	SL1344_0229	SL3261_0229	STMMW_02341	STM_MW02341	SEN0235	t0229	EC958_0327	NCTC13441_03795	BW25113_0181	b0181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
lpxB	lipid-A-disaccharide synthase	-4.5	-4.5	-4.5	-4.5	-1.69452019489415	-4.5	-1.55029756765463	-4.5	-1.47251409639731	-4.5	-1.74365957150334	-4.5	-4.5	-4.5	ENC_47050	BN373_06871	ERS227112_02537	ROD_01851	SL1344_0230	SL3261_0230	STMMW_02351	STM_MW02351	SEN0236	t0230	EC958_0328	NCTC13441_03794	BW25113_0182	b0182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00060	Lipopolysaccharide biosynthesis, KDO2-lipid A
dnaE	DNA polymerase III, alpha subunit	-3.41880020123325	-1.80343429072104	-4.5	-2.94808670050994	-3.49459530154704	-4.5	-1.96462710201674	-4.5	-1.13486168355195	-4.5	-2.85221128771255	-3.19095925644166	-2.65407753200633	-4.5	ENC_47070	BN373_06891	ERS227112_02539	ROD_01871	SL1344_0232	SL3261_0232	STMMW_02371	STM_MW02371	SEN0238	t0232	EC958_0330	NCTC13441_03792	BW25113_0184	b0184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00260	DNA polymerase III complex, bacteria
accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-2.06111590240313	-4.5	-1.29476201871011	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_47080	BN373_06901	ERS227112_02540	ROD_01881	SL1344_0233	SL3261_0233	STMMW_02381	STM_MW02381	SEN0239	t0233	EC958_0331	NCTC13441_03791	BW25113_0185	b0185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00082	Fatty acid biosynthesis, initiation
proS	prolyl-tRNA synthetase, family II	-4.5	-1.79108552382815	-4.5	-4.5	-2.08941262329363	-2.00007816965947	-1.25586770898877	-4.5	-1.18522099896965	-4.5	-4.5	-4.5	-1.96019424837758	-4.5	ENC_47160	BN373_06991	ERS227112_02550	ROD_02041	SL1344_0243	SL3261_0243	STMMW_02481	STM_MW02481	SEN0250	t0245	EC958_0341	NCTC13441_03781	BW25113_0194	b0194	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
dnaQ	DNA polymerase III, epsilon subunit	-1.37044299244896	-0.936580985852838	-4.5	-4.5	-0.122118760588118	-1.82428581883372	-0.396096188229768	-4.5	0.779437527257969	-4.5	0.182422785626096	-0.962439491599181	-0.0441091824617927	4.5	ENC_24790	BN373_07151	ERS227112_02570	ROD_02201	SL1344_0259	SL3261_0259	STMMW_02631	STM_MW02631	SEN0266	t2601	EC958_0358	NCTC13441_03761	BW25113_0215	b0215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00260	DNA polymerase III complex, bacteria
gmhA	phosphoheptose isomerase	0.391950269136167	-0.705340262748419	-4.5	0.176067755815255	1.40806147550286	1.39175517447646	1.4152544201269	0.243683989257319	1.6698945959426	-4.5	0.46827707042486	-1.41368835902674	1.84408455387041	4.5	ENC_24690	BN373_07201	ERS227112_02576	ROD_02231	SL1344_0306	SL3261_0306	STMMW_03211	STM_MW03211	SEN0293	t2540	EC958_0362	NCTC13441_03756	BW25113_0222	b0222	2	2	2	3	3	3	3	3	2	2	3	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00064	ADP-L-glycero-D-manno-heptose biosynthesis
hemB	porphobilinogen synthase	-1.60929735973313	1.6178071448812	-1.73154892961381	-4.5	-2.16931482585723	-4.5	-1.19992098922679	-4.5	-0.89496924430884	-1.8674918298109	-4.5	-1.84968713085351	-4.5	-4.5	ENC_23910	BN373_08041	ERS227112_02666	ROD_04141	SL1344_0367	SL3261_0367	STMMW_04421	STM_MW04421	SEN0355	t2492	EC958_0508	NCTC13441_03606	BW25113_0369	b0369	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00121	Heme biosynthesis, glutamate => protoheme/siroheme
secD	protein-export membrane protein SecD	-2.21673196166636	-1.75959879383148	-4.5	-1.42919390896549	-2.80672512464304	-1.98821925399479	-4.5	-1.43573324194433	-0.64917057158621	-1.29774075379263	-1.00398106674677	-2.40185432312121	-4.5	-4.5	ENC_23520	BN373_08481	ERS227112_02710	ROD_04561	SL1344_0402	SL3261_0402	STMMW_04771	STM_MW04771	SEN0390	t2456	EC958_0546	NCTC13441_03571	BW25113_0408	b0408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00335	Sec (secretion) system
secF	protein-export membrane protein SecF	X	-4.5	-4.5	-4.5	-1.06555403084696	-1.34432803445161	-4.5	-4.5	-0.610589046090015	-4.5	-0.827492134425523	-4.5	-4.5	-4.5	X	BN373_08491	ERS227112_02711	ROD_04571	SL1344_0403	SL3261_0403	STMMW_04781	STM_MW04781	SEN0391	t2455	EC958_0547	NCTC13441_03570	BW25113_0409	b0409	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00335	Sec (secretion) system
ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase /5-amino-6-(5-phosphoribosylamino)uracil reductase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-2.52063571053464	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_23450	BN373_08551	ERS227112_02717	ROD_04631	SL1344_0410	SL3261_0410	STMMW_04861	STM_MW04861	SEN0398	t2447	EC958_0552	NCTC13441_03565	BW25113_0414	b0414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
ribH	6,7-dimethyl-8-ribityllumazine synthase	-4.5	-4.5	-4.5	-4.5	-4.5	-1.3059341692301	-4.5	-4.5	-4.5	-4.5	-0.232243560631184	-4.5	-4.5	-4.5	ENC_23440	BN373_08561	ERS227112_02718	ROD_04641	SL1344_0411	SL3261_0411	STMMW_04871	STM_MW04871	SEN0399	t2446	EC958_0553	NCTC13441_03564	BW25113_0415	b0415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
thiL	thiamine-phosphate kinase	-0.0862690779091262	1.28790047248554	-1.66399804079356	1.85247544420372	0.876684234775265	-1.34220937354413	-0.393767007539919	-0.0830526799162246	-1.29954680501768	-1.04555052118731	1.98168582636328	-1.07896545431298	-1.37202524945156	-4.5	ENC_23420	BN373_08581	ERS227112_02720	ROD_04661	SL1344_0413	SL3261_0413	STMMW_04891	STM_MW04891	SEN0401	t2444	EC958_0555	NCTC13441_03562	BW25113_0417	b0417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00127	Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P
dxs	1-deoxy-D-xylulose-5-phosphate synthase	-4.5	-4.5	-4.5	-4.5	-2.80969371605036	-4.5	-2.41960388143095	-1.4131763006069	-0.956086719784358	-4.5	-2.79832080789183	-4.5	-4.5	-4.5	ENC_23400	BN373_08611	ERS227112_02723	ROD_04691	SL1344_0416	SL3261_0416	STMMW_04921	STM_MW04921	SEN0404	t2441	EC958_0558	NCTC13441_03559	BW25113_0420	b0420	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	md:eco_M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
