Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
mscM	Miniconductance mechanosensitive channel MscM precursor	3.07381744218444	2.29103390437633	2.41887384303218	2.11846925019716	2.36092458510008	2.46769981892373	2.28573778920142	2.25080642372739	1.97825668438141	1.84870197894282	2.36927437617162	2.19722180757494	2.4404373589283	4.5	ENC_519added	BN373_01691	ERS227112_02034	ROD_32211	SL1344_4284	SL3261_4284	STMMW_42951	STM_MW42951	SEN4117	t4399	EC958_4649	NCTC13441_04294	BW25113_4159	b4159
valS	valyl-tRNA synthetase	-3.36667510760001	-0.86918931217761	-4.5	-1.85729767549451	-2.76025284517489	-3.47133682256857	-1.49882524328194	-1.46657700878997	-1.34919190186476	-4.5	-1.68152529434031	-4.5	-4.5	-4.5	ENC_34520	BN373_02801	ERS227112_02145	ROD_33241	SL1344_4405	SL3261_4405	STMMW_44211	STM_MW44211	SEN4228	t4510	EC958_4752	NCTC13441_04190	BW25113_4258	b4258
uvrA	Excinuclease ABC subunit A	2.34444723538178	2.27428424564922	2.29321382756747	2.07298559063873	2.02380389688266	2.02289578537102	1.51271432659265	1.55954456747154	1.68523890149357	1.67928419245089	2.24893864628769	2.04957150672942	2.38791659556492	4.5	ENC_04890	BN373_00521	ERS227112_01917	ROD_36311	SL1344_4190	SL3261_4190	STMMW_42041	STM_MW42041	SEN4023	t4160	EC958_4528	NCTC13441_04414	BW25113_4058	b4058
recC	RecBCD enzyme subunit RecC	1.97652076680671	1.81055975293981	0.895109569717044	1.65737854403966	2.07352474375694	1.82093410401025	2.06162466145646	1.2616630856105	1.79834711593856	1.665682267505	2.00589295581865	1.31938337761758	1.59748639588148	4.5	ENC_367added	BN373_38611	ERS227112_01437	ROD_28641	SL1344_2974	SL3261_2974	STMMW_29571	STM_MW29571	SEN2838	t2904	EC958_3126	NCTC13441_00918	BW25113_2822	b2822
mdtC	Multidrug resistance protein MdtC	2.2620449954145	2.21247271723174	1.75447495119148	1.97657119763101	2.26838319939261	2.21742530002735	1.91077357889656	1.7185111967497	1.46578095508874	1.59777494790418	1.95521798555932	2.07094256694451	1.47007328287249	4.5	ENC_495added	BN373_31311	ERS227112_04053	ROD_22081	SL1344_2105	SL3261_2105	STMMW_21601	STM_MW21601	SEN2124	t0744	EC958_2415	NCTC13441_01634	BW25113_2076	b2076
sucA	2-oxoglutarate dehydrogenase E1 component	0.0405202214238669	1.3347492219307	0.880001465880299	1.33398506886711	1.90945575893962	1.3778558486982	1.02707091322692	0.653836857650318	1.34724896303383	-1.36190478407491	0.988178053407587	0.821286278805519	0.727810564448176	4.5	ENC_20130	BN373_13051	ERS227112_03175	ROD_07231	SL1344_0718	SL3261_0718	STMMW_07931	STM_MW07931	SEN0686	t2140	EC958_0840	NCTC13441_03270	BW25113_0726	b0726
ileS	Isoleucyl-tRNA synthetase	-4.5	-4.5	-4.5	-2.20455607897599	-2.74448296711864	-4.5	-1.68033831174759	-4.5	-2.00373929074053	-4.5	-3.55798697863187	-3.03885673403384	-4.5	-4.5	ENC_45430	BN373_05021	ERS227112_02356	ROD_00231	SL1344_0047	SL3261_0047	STMMW_00471	STM_MW00471	SEN0046	t0048	EC958_0158	NCTC13441_03966	BW25113_0026	b0026
recB	exodeoxyribonuclease V, beta subunit	1.89982879217668	1.94448281770305	0.809898387546156	1.50079792416642	1.78285678110262	1.66915128290751	1.83417702570416	0.945450266858238	1.37787148300711	1.21601333606965	1.5698342487333	0.840368450724948	1.13700523775729	4.5	ENC_30560	BN373_38591	ERS227112_01439	ROD_28621	SL1344_2972	SL3261_2972	STMMW_29551	STM_MW29551	SEN2836	t2902	EC958_3120	NCTC13441_00920	BW25113_2820	b2820
rapA	Superfamily II DNA/RNA helicases, SNF2 family	2.85113616535223	2.46257034424618	2.36577478835392	2.09764525887801	2.3522738335739	2.3578929830243	2.24953389782656	1.88415169551682	1.76658243187425	1.49568221043586	2.35330164470573	2.30754062333556	2.67289850161925	4.5	ENC_45720	BN373_05451	ERS227112_02394	ROD_00641	SL1344_0097	SL3261_0097	STMMW_01011	STM_MW01011	SEN0098	t0099	EC958_0193	NCTC13441_03931	BW25113_0059	b0059
gcvP	glycine dehydrogenase (decarboxylating) alpha subunit /glycine dehydrogenase (decarboxylating) beta subunit	2.62706720141532	2.43777489008239	2.21737455044547	2.28509653165554	2.35174533934969	2.3124762856096	2.10290815468119	1.94222436905955	1.79972627700639	1.95069482693029	2.34585145910287	2.255910201546	2.22600190353882	4.5	ENC_31430	BN373_40031	ERS227112_01327	ROD_49301	SL1344_3029	SL3261_3029	STMMW_30131	STM_MW30131	SEN2896	t2971	EC958_3184	NCTC13441_00853	BW25113_2903	b2903
aceE	pyruvate dehydrogenase E1 component, homodimeric type	1.2696037409021	2.04379832636449	0.252180631437351	1.5864429926532	0.110527516961495	0.932791378475484	0.953511420478354	-0.313692291992944	0.774685979726556	-1.60506845440978	0.876710288896715	-0.322056879055905	1.60599417990465	4.5	ENC_46270	BN373_06081	ERS227112_02456	ROD_01201	SL1344_0152	SL3261_0152	STMMW_01581	STM_MW01581	SEN0156	t0158	EC958_0256	NCTC13441_03867	BW25113_0114	b0114
adhE	acetaldehyde dehydrogenase /alcohol dehydrogenase AdhE	1.83811284875128	2.35924284723755	1.60993425036062	2.26703326113499	1.5432516581625	2.17850854746152	1.66207450691497	1.59796970341924	1.7397684223707	1.66818586729581	2.2256258088767	2.16873945987997	1.88857111010412	4.5	ENC_07970	BN373_27951	ERS227112_04473	ROD_17681	SL1344_1680	SL3261_1680	STMMW_17441	STM_MW17441	SEN1287	t1660	EC958_1514	NCTC13441_02595	BW25113_1241	b1241
nuoG	NADH dehydrogenase subunit G	2.2434537851734	2.22434069599755	1.86363330295846	2.02539195216959	1.88522388540599	1.99103936699111	2.14762272648044	1.64871571806983	1.15617204366561	1.42513936167049	1.66602153904794	1.29187226766821	2.10893960292632	4.5	ENC_39280	BN373_32841	ERS227112_03905	ROD_26851	SL1344_2292	SL3261_2292	STMMW_23451	STM_MW23451	SEN2305	t0541	EC958_2618	NCTC13441_01428	BW25113_2283	b2283
leuS	leucyl-tRNA synthetase	-3.22092014963595	-4.5	-4.5	-1.89659860974919	-2.47294992411472	-4.5	-2.05623404415373	-1.79204791848132	-1.02472254996054	-2.76190189712147	-2.37581787725147	-4.5	-2.38960880634056	-4.5	ENC_20680	BN373_12541	ERS227112_03116	ROD_06621	SL1344_0636	SL3261_0636	STMMW_07131	STM_MW07131	SEN0617	t2219	EC958_0761	NCTC13441_03353	BW25113_0642	b0642
secA	protein translocase subunit secA	-4.5	-2.35048514828436	-4.5	-1.66436241981693	-3.32463995095109	-3.24804542732391	-1.76882211399804	-2.29100766847369	-0.907507363481211	-3.0658097502768	-3.42511241559764	-2.3008947868679	-4.5	-4.5	ENC_46100	BN373_05911	ERS227112_02438A	ROD_01041	SL1344_0136	SL3261_0136	STMMW_01421	STM_MW01421	SEN0137	t0140	EC958_0239	NCTC13441_15added	BW25113_0098	b0098
acnB	aconitase	2.6081987806114	1.98769382336673	-0.176944006956929	1.93753381447079	2.23720754423673	2.04120189104166	1.93289879630874	0.948735842206711	1.53087159116819	0.36018977319122	1.09165106496073	1.30664942337634	1.99789600159501	4.5	ENC_46340	BN373_06141	ERS227112_02462	ROD_01251	SL1344_0159	SL3261_0159	STMMW_01641	STM_MW01641	SEN0162	t0164	EC958_0260	NCTC13441_03863	BW25113_0118	b0118
polA	DNA polymerase I	-1.9714971958707	1.51660483727589	-4.5	1.48185801852183	0.191174094730682	1.08359437151678	-1.26222440562338	-0.83984173615512	-1.42056525625759	-2.48518005052338	1.0619313130909	0.467979272679753	-0.379589763435037	-4.5	ENC_1added	BN373_48041	ERS227112_00414	ROD_38971	SL1344_3947	SL3261_3947	STMMW_39641	STM_MW39641	SEN3788	t3621	EC958_4341	NCTC13441_04638	BW25113_3863	b3863
topA	DNA topoisomerase I	-1.12462431449132	-1.07588302822608	-4.5	-0.0482584830872072	-0.728657524576826	-1.58998764082403	0.36222654811364	-1.39341229066113	-0.804140278164272	0.14122350148259	-2.13983985101626	-4.5	-1.76991910511494	-4.5	ENC_08330	BN373_18951	ERS227112_05459	ROD_17291	SL1344_1646	SL3261_1646	STMMW_17101	STM_MW17101	SEN1319	t1627	EC958_1604	NCTC13441_02492	BW25113_1274	b1274
ppc	Phosphoenolpyruvate carboxylase	2.93136201904362	2.69416510260321	2.01647400270891	2.48163566745483	2.53166883388722	2.66555400430281	2.58180376052991	2.45784889844409	1.97000056376827	1.66322002608283	2.58361199023072	2.51063767815915	2.20911587657221	4.5	ENC_01070	BN373_48781	ERS227112_00337	ROD_37891	SL1344_4069	SL3261_4069	STMMW_40841	STM_MW40841	SEN3914	t3505	EC958_4442	NCTC13441_04543	BW25113_3956	b3956
malT	ATP-dependent transcriptional regulator	2.70502087975821	2.54693801202782	2.59761306027043	2.3165053344928	2.56055996464568	2.54717644635542	2.46679180979332	2.55085436094667	2.05749489260807	2.24309093823777	2.31939577845904	2.18537237332084	2.30358559030752	4.5	ENC_26170	BN373_44271	ERS227112_00798	ROD_44021	SL1344_3482	SL3261_3482	STMMW_35051	STM_MW35051	SEN3341	t3991	EC958_3812	NCTC13441_00281	BW25113_3418	b3418
nirB	assimilatory nitrite reductase (NAD(P)H) large subunit precursor	2.79406634026791	2.71140365367659	2.33482349210312	2.28792820054813	2.57718568303745	2.78754510225529	2.57502467544496	2.41574795713441	2.19879514705513	2.34334352018562	2.45241464458529	2.4261381436838	2.19925358753284	4.5	ENC_25780	BN373_43891	ERS227112_00833	ROD_44441	SL1344_3441	SL3261_3441	STMMW_34651	STM_MW34651	SEN3301	t4031	EC958_3762	NCTC13441_00329	BW25113_3365	b3365
ptrA	pitrilysin . Metallo peptidase. MEROPS family M16A	2.24567182798416	2.22601012556209	2.37262212882359	2.10215701197695	2.30237846005463	2.23161352064243	2.10828736980749	2.16541162928966	1.69573202030191	1.63175217077999	2.3097930114272	2.20976059220556	2.25060654319696	4.5	ENC_30570	BN373_38601	ERS227112_01438	ROD_28631	SL1344_2973	SL3261_2973	STMMW_29561	STM_MW29561	SEN2837	t2903	EC958_5045	NCTC13441_00919	BW25113_2821	b2821
cyaA	Adenylate cyclase	1.59723258784907	1.88076961194397	1.21439167856663	1.61097349856529	1.94177917241009	1.87979544351134	1.88197248129332	0.802199742693039	1.72559520637655	0.83257702802606	1.3029604662449	1.12761839470532	1.25958851722175	4.5	ENC_18added	BN373_49301	ERS227112_01777	ROD_39451	SL1344_3894	SL3261_3894	STMMW_39101	STM_MW39101	SEN3740	t3358	EC958_4267	NCTC13441_04714	BW25113_3806	b3806
alaS	alanyl-tRNA synthetase	-4.5	-2.16433919717528	-4.5	-2.18415607976565	-1.83237174782902	-4.5	-1.67714927148937	-2.36036347676055	-1.38211329301703	-4.5	-3.23496678305219	-4.5	-4.5	-4.5	ENC_29420	BN373_36621	ERS227112_01632	ROD_31171	SL1344_2807	SL3261_2807	STMMW_27891	STM_MW27891	SEN2668	t2728	EC958_2962	NCTC13441_01080	BW25113_2697	b2697
mdoH	Membrane glycosyltransferase	2.60639673564606	2.64594748241658	2.41274313939526	1.99213511587016	2.45532325922774	2.39681552604748	2.20005025144915	1.81449929822945	1.73432893798001	1.8922114605039	1.97015020219093	1.69816689786706	2.13210668825093	4.5	ENC_15910	BN373_16781	ERS227112_03541	ROD_11091	SL1344_1088	SL3261_1088	STMMW_11591	STM_MW11591	SEN1897	t1769	EC958_1243	NCTC13441_02862	BW25113_1049	b1049
infB	bacterial translation initiation factor 2 (bIF-2)	-1.34009376353535	-0.984476771532349	-1.08206331974264	-0.88764893398203	-0.111452398713749	-1.04500799001061	-0.743948647853494	-1.07259104985468	-0.572628238217452	-1.6474919076877	-0.887747693246981	-0.592797968154365	-0.767008627612665	-4.5	ENC_34060	BN373_42281	ERS227112_01024	ROD_46641	SL1344_3259	SL3261_3259	STMMW_32861	STM_MW32861	SEN3121	t3204	EC958_3570	NCTC13441_00526	BW25113_3168	b3168
pepN	aminopeptidase N, Escherichia coli type	2.39409922506995	2.3380614134427	2.28596756777483	2.25709645049556	2.3261183960023	2.44106301962014	2.26259450600263	2.21667157130603	1.95498696168096	1.85583814465326	2.50701418688975	2.11426916709241	1.9882429327725	4.5	ENC_16920	BN373_15801	ERS227112_03453	ROD_10011	SL1344_0997	SL3261_0997	STMMW_10701	STM_MW10701	SEN0922	t1863	EC958_1143	NCTC13441_02957	BW25113_0932	b0932
glnE	Glutamine synthetase adenylyltransferase	2.61716623771374	2.19036118049113	2.10746455378359	2.14449039885485	2.49570442850465	2.52877355938216	2.31785347868147	2.17822576447644	1.81385519022459	1.55043163778455	1.99344909760722	2.19341603037515	1.567904340662	4.5	ENC_32910	BN373_41101	ERS227112_01149	ROD_35961	SL1344_3174	SL3261_3174	STMMW_31621	STM_MW31621	SEN3043	t3121	EC958_3457	NCTC13441_00639	BW25113_3053	b3053
mutS	DNA mismatch repair protein MutS	2.19798610687624	2.20879372525194	2.35689513503685	1.66278258503599	1.88055297364896	1.98574210614508	1.56210475662703	1.39979108684543	1.24712375316952	1.53079925803085	2.04256841715975	2.3033705659646	1.93623033985812	4.5	ENC_29870	BN373_37381	ERS227112_01566	ROD_30741	SL1344_2888	SL3261_2888	STMMW_28721	STM_MW28721	SEN2748	t2810	EC958_3001	NCTC13441_01042	BW25113_2733	b2733
gyrA	DNA gyrase subunit A	-4.5	-1.91745535874904	-4.5	-4.5	-2.14686724682062	-4.5	-2.02213856345233	-4.5	-0.640979805988317	-4.5	-2.23163241333471	-4.5	-4.5	-4.5	ENC_39630	BN373_32511	ERS227112_03939	ROD_23531	SL1344_2241	SL3261_2241	STMMW_22961	STM_MW22961	SEN2254	t0592	EC958_2567	NCTC13441_01477	BW25113_2231	b2231
mgtA	magnesium-translocating P-type ATPase	2.44898227687708	2.32601951510918	2.40162866824421	1.88708441008595	2.16308804691007	2.16826982005904	2.17168426479201	2.10089007956241	1.64387402093473	1.37879136109115	2.47525485314949	2.34618941468429	2.67870011622791	4.5	ENC_43680	BN373_02651	ERS227112_02131	ROD_33131	SL1344_4387	SL3261_4387	STMMW_44011	STM_MW44011	SEN4207	t4491	EC958_4736	NCTC13441_04204	BW25113_4242	b4242
csdB	pyruvate formate-lyase	2.37790867395574	2.30078721328223	2.08411045466102	1.85507138844347	2.42583049903159	2.41139064045455	2.31054903324541	2.3364493384278	1.66452843851387	1.9832132369759	2.39452239326184	2.18264308376127	1.95577086505334	4.5	ENC_18900	BN373_14231	ERS227112_03294	ROD_08271	SL1344_0819	SL3261_0819	STMMW_08941	STM_MW08941	SEN0789	t2046	EC958_0935	NCTC13441_03172	BW25113_0823	b0823
rnr	RNAse R	2.89131766972353	2.67857436448828	2.7023647125387	2.20338319488842	2.24878003874159	2.238875732307	2.24390410577537	1.52424114784636	1.83801866744706	1.95544078851108	2.2519744643077	2.07106466203772	1.93719913937051	4.5	ENC_42800	BN373_01881	ERS227112_02056	ROD_32391	SL1344_4301	SL3261_4301	STMMW_43121	STM_MW43121	SEN4134	t4419	EC958_4666	NCTC13441_04274	BW25113_4179	b4179
gyrB	DNA gyrase subunit B	-3.50836337024053	-2.48559917059418	-4.5	-1.66315756750318	-3.52713607489239	-3.49916448888886	-1.69176524823246	-4.5	-1.27293531339875	-2.86231830695624	-4.5	-4.5	-4.5	-4.5	ENC_03910	BN373_47461	ERS227112_00473	ROD_40281	SL1344_3802	SL3261_3802	STMMW_38201	STM_MW38201	SEN3652	t3684	EC958_4172	NCTC13441_04817	BW25113_3699	b3699
barA	Hpt sensor hybrid histidine kinase	2.41720933833948	2.40697058130654	2.65628286444941	2.06225926869073	2.31248221855302	2.47779223182298	2.08261239199568	2.09541304655231	1.95263310700928	1.74430699410438	3.25432943606549	3.02680270406237	3.42544725977942	4.5	ENC_30270	BN373_37721	ERS227112_01532	ROD_30301	SL1344_2939	SL3261_2939	STMMW_29211	STM_MW29211	SEN2803	t2867	EC958_3053	NCTC13441_00990	BW25113_2786	b2786
bcsA	cellulose synthase catalytic subunit (UDP-forming)	2.91350369434162	2.53434101064847	1.97009386168808	2.2764821200621	2.16074724461887	2.19028309575368	2.05190915453828	1.87343049898245	1.67160566475591	1.90973005428008	2.17480117707164	2.36103797496997	1.91613429211252	4.5	ENC_27310	BN373_45201	ERS227112_00701	ROD_42741	SL1344_3584	SL3261_3584	STMMW_36081	STM_MW36081	SEN3442	t3898	EC958_3938	NCTC13441_00156	BW25113_3533	b3533
dmsA	anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family	2.17302284049977	2.14351946058174	2.02139072781903	1.81818889232562	2.42829360772661	2.03469891716413	2.08553557717586	2.22247373870101	1.82854414395663	1.41708411536898	2.02656964024379	2.08178768517104	2.05325452930758	4.5	ENC_17870	BN373_15421	ERS227112_03414	ROD_09581	SL1344_0902	SL3261_0902	STMMW_09761	STM_MW09761	SEN0869	t1970	EC958_1052	NCTC13441_03045	BW25113_0894	b0894
rne	Ribonuclease E	1.3201630753896	0.847063662092076	0.510044309319322	0.931074816507649	0.741133093327233	0.363872880829786	0.835418682108726	0.105259090493993	-0.59535732964009	-0.0992997843427189	1.01266188183508	0.570068480158596	0.704607074293308	-4.5	ENC_183added	BN373_16971	ERS227112_03560	ROD_11461	SL1344_1122	SL3261_1122	STMMW_11931	STM_MW11931	SEN1863	t1734	EC958_1279	NCTC13441_02828	BW25113_1084	b1084
fadE	Acyl-CoA dehydrogenases	2.35567317943765	2.41359849435065	2.32233233311935	1.92910438459778	2.52366007943764	2.37965136505101	1.87641998171341	1.55363370261629	1.79845360369556	2.12916547277331	1.99019120432841	1.85939651138176	2.01088773039894	4.5	ENC_24700	BN373_07191	ERS227112_02575	ROD_02221	SL1344_0305	SL3261_0305	STMMW_03201	STM_MW03201	SEN0292	t2541	EC958_0361	NCTC13441_03757	BW25113_0221	b0221
