Gene	Product	EnClNCTC9394 NPEQ	KlPnEcl8 NPEQ	KlPnRH201207 NPEQ	CiRoICC168 NPEQ	SaTySL1344 NPEQ	SaTySL3261 NPEQ	SaTyD23580 NPEQ	SaTyA130 NPEQ	SaEnP125109 NPEQ	SaTyTy2 NPEQ	EsCoEC958 NPEQ	EsCoST131 NPEQ	EsCoCS17 NPEQ	EsCoH10407 NPEQ	EsCoBW25113 NPEQ	EsCoMG1655 NPEQ	EnClNCTC9394 locus tag	KlPnEcl8 locus tag	KlPnRH201207 locus tag	CiRoICC168 locus tag	SaTySL1344 locus tag	SaTySL3261 locus tag	SaTyD23580 locus tag	SaTyA130 locus tag	SaEnP125109 locus tag	SaTyTy2 locus tag	EsCoEC958 locus tag	EsCoST131 locus tag	EsCoCS17 locus tag	EsCoH10407 locus tag	EsCoBW25113 locus tag	EsCoMG1655 locus tag
cmk	cytidylate kinase	1.1735314323	2.5645556374	0.6636606527	1.5433610277	1.0218198048	X	0.5080777037	0.8112894174	0.3788190075	0.8157099591	0.593227784	0.9964897994	0.0867183122	0.7345851912	0.5481993491	0	ENC_17730	BN373_15531	ERS227112_03425	ROD_09781	SL1344_0917	X	STMMW_09911	STM_MW09911	SEN0884	t1954	EC958_1120	NCTC13441_02979	CS17_00973	ETEC_0978	BW25113_0910	b0910
cro	represror Cro,Uncharacterized protein conserved in bacteria, prophage-related	-0.2900266752	X	1.9220270347	X	X	X	0.4476671989	1.3365032154	X	X	0.132618559	0.3450749648	-0.7540370385	X	X	X	ENC_17400	X	ERS227112_05428	X	X	X	STMMW_03551	STM_MW03551	X	X	EC958_1345	NCTC13441_02765	CS17_00790	X	X	X
cspA	RNA chaperone and antiterminator, cold-inducible	0.2289584144	0.4272284454	0.7445628342	0.2730947681	0.5845718291	0.808936203	1.0358085451	2.1282121333	1.2081745791	0.463694251	-0.4182215353	0.366305214	-1.5434712219	X	1.123979079	0	ENC_01650	BN373_45551	ERS227112_7added	ROD_42491	SL1344_3615	SL3261_3615	STMMW_36391	STM_MW36391	SEN3472	t3870	EC958_3962	NCTC13441_2added	CS17_59added	X	BW25113_3556	b3556
cspI	Qin prophage; cold shock protein	X	X	X	X	0.573526368	0.4620561348	0.6834614727	2.6855311598	1.3834033057	0.2578033904	X	X	1.3929725848	X	0.5354673278	0	X	X	X	X	SL1344_1924	SL3261_1924	STMMW_19751	STM_MW19751	SEN1014	t0882	X	X	CS17_32added	X	BW25113_1552	b1552
dicA	Qin prophage; putative regulator for DicB	0.1205956572	X	X	X	3.0108588284	2.6059097775	3.2477595349	2.8100646777	X	2.8503985006	2.3419963315	2.6483467502	X	X	2.4860037212	7	ENC_24350	X	X	X	SL1344_0950	SL3261_0950	STMMW_10231	STM_MW10231	X	t1920	EC958_2173	NCTC13441_01922	X	X	BW25113_1570	b1570
dnaB_1	Replicative DNA helicase,replicative DNA helicase,Replicative DNA helicase,phage replicative helicase, DnaB family,DnaB-like helicase C terminal domain	2.918295737	X	-0.27134763	X	X	X	X	X	X	X	0.4633096767	0.6517073543	X	X	X	X	ENC_575added	X	ERS227112_02853	X	X	X	X	X	X	X	EC958_2169	NCTC13441_01927	X	X	X	X
ecpR	putative transcriptional regulator for the ecp operon	X	1.9931923677	-0.3676446092	X	X	X	X	X	X	X	0.2842764245	-0.1689171669	1.4954375134	1.6518400493	0.0611061163	0	X	BN373_07781	ERS227112_02640	X	X	X	X	X	X	X	EC958_0439	NCTC13441_03676	CS17_00339	ETEC_0353	BW25113_0294	b0294
emrY	putative multidrug efflux system	X	X	X	X	X	X	X	X	X	X	0.6955744361	0.0775090255	1.9752103507	1.0892558832	0.8121038624	0	X	X	X	X	X	X	X	X	X	X	EC958_2696	NCTC13441_01349	CS17_02656	ETEC_2486	BW25113_2367	b2367
entD	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,4'-phosphopantetheinyl transferase superfamily	X	-0.287364479	-0.0732459085	-0.2180507267	X	X	X	X	X	X	-0.1300430997	-0.0587784138	0.0250497284	0.2772167319	0.9123452699	7	X	BN373_11791	ERS227112_03039	ROD_05921	X	X	X	X	X	X	EC958_0701	NCTC13441_03413	CS17_00587	ETEC_0612	BW25113_0583	b0583
epaP	type III secretion system protein	X	X	X	X	-0.5492309297	0.2278238218	0.2008173419	-0.8191146954	-0.3189690444	-0.3676974665	X	X	2.1439677388	1.6626272078	X	X	X	X	X	X	SL1344_2869	SL3261_2869	STMMW_28521	STM_MW28521	SEN2731	t2792	X	X	CS17_03209	ETEC_3055	X	X
fabA	beta-hydroxydecanoyl thioester dehydrase	X	2.304809887	2.2318927631	2.6843765838	2.9633874802	2.3986587308	2.0456700205	1.8283824639	2.8417427571	2.2741789393	1.5007509179	2.0995698393	1.4868540281	2.4822068955	1.8919779929	7	X	BN373_15951	ERS227112_03467	ROD_10151	SL1344_1007	SL3261_1007	STMMW_10801	STM_MW10801	SEN0932	t1853	EC958_1158	NCTC13441_02942	CS17_01017	ETEC_1024	BW25113_0954	b0954
fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	X	3.1660340714	2.8034632583	3.5325966034	1.8347303287	1.8472407705	3.3218541817	2.0864916641	2.645318703	2.0308483947	3.5446617227	3.1111102589	2.216124571	2.4891750395	1.613901483	0	X	BN373_17031	ERS227112_03567	ROD_11531	SL1344_1130	SL3261_1130	STMMW_12021	STM_MW12021	SEN1856	t1727	EC958_1287	NCTC13441_02821	CS17_01229	ETEC_1156	BW25113_1091	b1091
fbaA	fructose-bisphosphate aldolase, class II	X	2.8596911912	3.5091094847	4.3003700085	3.46733392	2.8737667894	2.8526637621	3.4908582254	3.0815742004	2.7578787101	1.3204037539	2.5730997756	4.5154078723	2.3507761614	3.1105029407	7	X	BN373_40181	ERS227112_01311	ROD_50681	SL1344_3044	SL3261_3044	STMMW_30291	STM_MW30291	SEN2911	t2987	EC958_3204	NCTC13441_00831	CS17_03284	ETEC_3117	BW25113_2925	b2925
gnsB	protein GnsA	0.3946826429	X	X	X	0.7928292851	0.0937262693	2.0048169487	1.0799120371	1.7374798329	1.3061097886	0.4791185353	2.0082001175	-0.2100508237	0.7940211502	1.6308807093	0	ENC_11840	X	X	X	SL1344_1737	SL3261_1737	STMMW_18011	STM_MW18011	SEN1228	t1068	EC958_1189	NCTC13441_02913	CS17_01053	ETEC_1060	BW25113_4517	b4517
gogB	leucine-rich repeat protein	X	X	X	-0.4946987206	2.1264672877	-0.3217087326	-0.065378618	0.1500126843	X	X	X	X	X	X	X	X	X	X	X	ROD_12111	SL1344_2546	SL3261_2546	STMMW_26001	STM_MW26001	X	X	X	X	X	X	X	X
gp7	gp7	3.3247873593	-0.7581926455	-0.0531717488	X	X	X	X	X	X	X	X	X	X	X	X	X	ENC_580added	BN373_10231	ERS227112_02878	X	X	X	X	X	X	X	X	X	X	X	X	X
gp9-like	head-tail adaptor	X	0.3172767523	2.5025772408	X	X	X	X	X	X	X	0.1277504231	0.1863445606	X	X	X	X	X	BN373_33571	ERS227112_00928	X	X	X	X	X	X	X	EC958_4955	NCTC13441_01832	X	X	X	X
higA_1	Helix-turn-helix.	-0.2974120846	X	1.7959900421	X	X	X	X	X	X	X	X	X	X	X	X	X	ENC_21930	X	ERS227112_00152	X	X	X	X	X	X	X	X	X	X	X	X	X
hipB	antitoxin of HipAB toxin-antitoxin system	X	0.9313487759	1.4543920957	-0.3671060799	X	X	X	X	X	X	1.9160794202	2.0726154493	1.0361314284	2.1416720861	1.8514655508	0	X	BN373_22471	ERS227112_05001	ROD_33711	X	X	X	X	X	X	EC958_1774	NCTC13441_02328	CS17_01672	ETEC_1578	BW25113_1508	b1508
ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	X	3.7026125316	2.8364804273	3.5694032639	3.9078536819	2.3224023676	4.3434086399	1.4812553318	2.2916225456	2.8548245118	3.4059573392	3.3066469016	2.8362147821	2.8129811268	2.9587919053	7	X	BN373_05051	ERS227112_02359	ROD_00261	SL1344_0050	SL3261_0050	STMMW_00501	STM_MW00501	SEN0049	t0051	EC958_0161	NCTC13441_03963	CS17_00028	ETEC_0029	BW25113_0029	b0029
kdgM	Oligogalacturonate-specific porin kdgM precursor,Oligogalacturonate-specific porin protein (KdgM)	-1.3159174627	-0.6569268493	-0.1546773367	-0.3589582558	0.1308335993	1.302998621	2.7559439922	-0.0174622055	-0.0514055373	0.5215422159	X	X	1.6959723082	X	X	X	ENC_30920	BN373_38981	ERS227112_01399	ROD_28941	SL1344_1069	SL3261_1069	STMMW_11401	STM_MW11401	SEN0992	t1789	X	X	CS17_03456	X	X	X
mazE	antitoxin of the ChpA-ChpR toxin-antitoxin system	X	X	X	X	X	X	X	X	X	X	X	X	0.1152569944	0.55047331	-0.040879403	7	X	X	X	X	X	X	X	X	X	X	X	X	CS17_03112	ETEC_2973B	BW25113_2783	b2783
mqsA	antitoxin for MqsR toxin; transcriptional repressor	X	X	X	X	X	X	X	X	X	X	X	X	-1.3443240512	0.9193617561	1.2315523673	7	X	X	X	X	X	X	X	X	X	X	X	X	CS17_03442	ETEC_3292	BW25113_3021	b3021
nrdA	ribonucleoside-diphosphate reductase 1, alpha subunit	X	5.9804372092	5.0560856337	1.0953869716	3.4583542983	0.1856290833	2.7988249271	4.924391583	3.2382276663	5.137617196	3.8537048452	3.8845997196	4.2092356219	6.3571571275	3.4113610189	7	X	BN373_32531	ERS227112_03937	ROD_23551	SL1344_2246	SL3261_2246	STMMW_23011	STM_MW23011	SEN2259	t0587	EC958_2571	NCTC13441_01474	CS17_02484	ETEC_2367	BW25113_2234	b2234
ompL	outer membrane porin L; putative sulpholipid porin	-1.0707269927	X	X	X	0.8393184326	1.1309708334	1.7350525628	-1.1664025499	-0.5302404475	-0.2519995436	X	X	1.02615365	0.5146444473	0.3258372421	0	ENC_00240	X	X	X	SL1344_3962	SL3261_3962	STMMW_39801	STM_MW39801	SEN3803	t3605	X	X	CS17_04329	ETEC_4144	BW25113_3875	b3875
orn	oligoribonuclease	2.0397170561	X	X	2.0802072114	0.9166002053	1.7000161954	0.3346635607	0.7218429468	1.233108904	2.1523790799	1.6060924167	1.9148222133	2.0580049296	2.6816036871	1.9303586278	7	ENC_42640	X	X	ROD_32241	SL1344_4287	SL3261_4287	STMMW_42981	STM_MW42981	SEN4120	t4402	EC958_4652	NCTC13441_04291	CS17_04641	ETEC_4511	BW25113_4162	b4162
orn	oligoribonuclease	X	0.6939052416	2.2547553263	X	X	X	X	X	X	X	X	X	X	X	X	X	X	BN373_01721	ERS227112_02037	X	X	X	X	X	X	X	X	X	X	X	X	X
paaK	phenylacetyl-CoA ligase	0.4788472689	0.128472248	0.0297627002	X	X	X	X	X	X	X	X	X	-0.2509136031	-0.2555916609	2.165940292	0	ENC_11600	BN373_20341	ERS227112_05206	X	X	X	X	X	X	X	X	X	CS17_01557	ETEC_1473	BW25113_1398	b1398
pagO	putative membrane protein	X	0.125113434	0.1945969412	-1.0470234278	0.5819948635	1.9308216772	X	X	-0.3832216592	-0.1491882666	X	X	X	X	X	X	X	BN373_25191	ERS227112_04736	ROD_16021	SL1344_1793	SL3261_1793	X	X	SEN1174	t1016	X	X	X	X	X	X
parD1	putative addiction module antidote protein,Antitoxin ParD1,Predicted transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain,putative addiction module antidote protein, CC2985 family,Uncharacterised protein family (UPF0156)	-0.3949406887	X	X	X	1.7704174465	1.1219947245	1.1739320285	1.6726378721	X	-0.0894945594	X	X	-0.9220758811	X	X	X	ENC_35300	X	X	X	SL1344_2936	SL3261_2936	STMMW_29181	STM_MW29181	X	t2864	X	X	CS17_02325	X	X	X
pgaB	poly-beta-1,6-N-acetyl-D-glucosamine (PGA) N-deacetylase outer membrane export lipoprotein	0.0093315187	-0.274412935	-0.1368601412	X	X	X	X	X	X	X	-0.1288924257	-0.1718083219	1.702540562	0.8399624828	0.0238126888	0	ENC_32320	BN373_01271	ERS227112_01993	X	X	X	X	X	X	X	EC958_1221	NCTC13441_02883	CS17_01085	ETEC_1091	BW25113_1023	b1023
prfB	peptide chain release factor RF-2	3.2781618395	4.1054148436	3.0788027447	1.3804270927	2.7447800715	3.858982997	3.2815548239	2.7195989702	3.5305401345	3.1013400001	2.3974156151	2.8925447278	3.1134181206	X	2.5724796661	7	ENC_31260	BN373_39861	ERS227112_01344	ROD_49421	SL1344_3017	SL3261_3017	STMMW_30011	STM_MW30011	SEN2884	t2959	EC958_3172	NCTC13441_00864	CS17_03248	X	BW25113_2891	b2891
psuK	pseudouridine kinase	X	X	X	-1.0466615955	X	X	X	X	X	X	0.9331254275	0.3368790321	1.7947580699	0.3262893456	-0.3442998666	0	X	X	X	ROD_22931	X	X	X	X	X	X	EC958_2502	NCTC13441_01544	CS17_02416	ETEC_2301	BW25113_2166	b2166
relB	antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor	-0.1795549263	-0.0066087012	-0.3035002068	X	0.3427157822	-0.0005064011	-0.4675965661	-0.2288367959	0.0233582412	0.3808963879	X	X	X	X	1.6572525465	0	ENC_36060	BN373_02541	ERS227112_02119	X	SL1344_4379	SL3261_4379	STMMW_43931	STM_MW43931	SEN4199	t4483	X	X	X	X	BW25113_1564	b1564
repB	Initiator Replication protein.	1.5849933284	X	2.2968133735	X	X	X	X	X	X	X	X	X	X	X	X	X	ENC_35670	X	ERS227112_00238	X	X	X	X	X	X	X	X	X	X	X	X	X
rfbE	Polysaccharide biosynthesis protein	X	X	X	X	X	X	X	X	X	X	1.4886088057	2.0976362934	X	X	X	X	X	X	X	X	X	X	X	X	X	X	EC958_2377	NCTC13441_01676	X	X	X	X
rfbG	CDP-glucose 4,6-dehydratase	X	X	X	X	0.004007999	1.5009621408	0.6185163276	0.2044358278	-0.21703154	1.7261023522	X	X	X	X	X	X	X	X	X	X	SL1344_2068	SL3261_2068	STMMW_21221	STM_MW21221	SEN2087	t0781	X	X	X	X	X	X
rffH	glucose-1-phosphate thymidylyltransferase	2.5670011804	-0.3857713009	-0.6722758575	-0.499257863	X	X	X	X	X	-0.4789042885	-0.5870653492	-0.1634029322	-0.555476632	0.1159966531	-0.355592832	0	ENC_41270	BN373_49171	ERS227112_01759	ROD_39581	X	X	X	X	X	t3374	EC958_4251	NCTC13441_04734	CS17_04240	ETEC_4071	BW25113_3789	b3789
rpmC	50S ribosomal subunit protein L29	1.7812107771	1.935659939	1.8854844597	1.9579611693	1.4846972679	2.1200907448	X	X	1.4778234167	0.8149764732	1.9590174422	1.6031376324	2.2377463238	1.9066929865	0.7543327512	7	ENC_25260	BN373_43481	ERS227112_00875	ROD_45101	SL1344_3399	SL3261_3399	X	X	SEN3260	t4073	EC958_3705	NCTC13441_00383	CS17_03747	ETEC_3564	BW25113_3312	b3312
rpmH	50S ribosomal subunit protein L34	X	1.503956802	1.2844954115	2.042925282	2.0151648696	1.8722127288	2.1753644576	1.2592469032	1.9422129171	1.0636273676	2.2539818189	1.8838081628	1.1123598011	1.3782703787	0.7585320386	7	X	BN373_47501	ERS227112_00468C	ROD_40243	SL1344_3806	SL3261_3806	STMMW_38241	STM_MW38241	SEN3656	t3680	EC958_4177	NCTC13441_04813	CS17_04154	ETEC_3993	BW25113_3703	b3703
rpmJ	50S ribosomal subunit protein L36	X	X	X	1.4303380935	1.3870984633	1.1450289209	1.1832207101	1.8821679176	1.1324788075	1.3673879068	2.0877755408	1.7940467834	0.4490693802	2.205643814	0.6002197218	0	X	X	X	ROD_45222	SL1344_3386	SL3261_3386	STMMW_34121	STM_MW34121	SEN3247	t4086	EC958_5073	NCTC13441_00396	CS17_03734	ETEC_3551	BW25113_3299	b3299
rpoN	RNA polymerase, sigma 54 (sigma N) factor	-0.1898570686	-0.3119225106	0.3125884955	1.8133111555	1.0655232615	0.3107769721	0.7652095913	X	1.9819057333	-0.2381448134	2.0161161868	1.586984558	0.8532470441	1.1931552979	0.0142111374	0	ENC_34390	BN373_42621	ERS227112_00986	ROD_46181	SL1344_3292	SL3261_3292	STMMW_33191	X	SEN3153	t3237	EC958_3602	NCTC13441_00490	CS17_03644	ETEC_3467	BW25113_3202	b3202
rpsT	30S ribosomal subunit protein S20	2.1732214662	2.622530801	X	2.8596289699	2.9005918987	2.6587498809	2.6211188587	2.8051181292	3.4719394689	2.7928901106	2.430323083	2.4081826545	1.7937600024	2.8772653638	2.0779878554	0	ENC_45410	BN373_05001	X	ROD_00212	SL1344_0044	SL3261_0044	STMMW_00441	STM_MW00441	SEN0043	t0045	EC958_0156	NCTC13441_03968	CS17_00023	ETEC_0023	BW25113_0023	b0023
rtsA	araC family regulatory protein	X	X	X	X	1.7472112111	1.5399455614	1.2376004951	0.2879437716	0.3325590852	0.2231661085	X	X	X	X	X	X	X	X	X	X	SL1344_4251	SL3261_4251	STMMW_42651	STM_MW42651	SEN4086	t4221	X	X	X	X	X	X
safA	two-component system connector membrane protein, EvgSA to PhoQP	X	X	X	X	X	X	X	X	X	X	1.6465607651	0.9459615167	-0.0716236613	X	0.7268747512	0	X	X	X	X	X	X	X	X	X	X	EC958_1763	NCTC13441_02338	CS17_01664	X	BW25113_1500	b1500
secF	SecYEG protein translocase auxillary subunit	X	3.2780110472	2.8105854216	3.2472740491	2.3227719943	2.3392792662	3.6456072188	2.2009010919	1.5741378086	2.2554456888	1.9357804041	3.0555324965	3.0368905755	3.2924390847	2.6256541767	7	X	BN373_08491	ERS227112_02711	ROD_04571	SL1344_0403	SL3261_0403	STMMW_04781	STM_MW04781	SEN0391	t2455	EC958_0547	NCTC13441_03570	CS17_00439	ETEC_0462	BW25113_0409	b0409
sfmA	FimA homolog, function unknown	X	X	X	X	X	X	X	X	X	X	X	X	1.676793292	1.5741092082	0.4615507586	0	X	X	X	X	X	X	X	X	X	X	X	X	CS17_00556	ETEC_0582	BW25113_0530	b0530
sifB	putative virulence effector protein	X	X	X	X	1.2335424886	1.5470681765	1.8698869125	1.2024701174	1.0609102126	1.071970446	X	X	X	X	X	X	X	X	X	X	SL1344_1532	SL3261_1532	STMMW_15971	STM_MW15971	SEN1454	t1511	X	X	X	X	X	X
siiD	putative type-I secretion protein	X	X	X	X	0.788377459	1.5214243731	1.9023759418	-0.7573955235	-0.0412699962	-0.2789868345	X	X	X	X	X	X	X	X	X	X	SL1344_4196	SL3261_4196	STMMW_42111	STM_MW42111	SEN4029	t4165	X	X	X	X	X	X
spaO	type III secretion system protein	X	X	X	X	-0.5693648055	-0.2466993255	-0.3660463956	-0.8276242609	-0.7187663089	-0.6824680889	X	X	1.6792977636	-0.3302679137	X	X	X	X	X	X	SL1344_2870	SL3261_2870	STMMW_28531	STM_MW28531	SEN2732	t2793	X	X	CS17_03210	ETEC_3056	X	X
ssaE	putative secretion system protein	X	X	X	X	-0.0578874681	0.4958083559	1.9783577736	0.3598823231	0.2364834463	0.4070916367	X	X	X	X	X	X	X	X	X	X	SL1344_1330	SL3261_1330	STMMW_14011	STM_MW14011	SEN1649	t1264	X	X	X	X	X	X
ssaJ	putative pathogenicity island lipoprotein	X	X	X	0.3405947675	-0.1862945673	1.6814932377	1.5173534467	-0.1579797298	-0.2091267974	-0.2982759389	X	X	X	X	X	X	X	X	X	ROD_29981	SL1344_1343	SL3261_1343	STMMW_14141	STM_MW14141	SEN1636	t1277	X	X	X	X	X	X
tap	Dipeptide chemoreceptor protein,methyl-accepting protein IV,Tar ligand binding domain homologue	X	X	X	X	X	X	X	X	X	X	0.9189509061	1.9868865933	X	X	X	X	X	X	X	X	X	X	X	X	X	X	EC958_4938	NCTC13441_01997	X	X	X	X
tdcF	putative reactive intermediate deaminase	X	X	X	X	X	X	X	X	X	X	0.1376956589	-0.3345756076	-0.2016835046	0.0735372464	-0.3870280819	7	X	X	X	X	X	X	X	X	X	X	EC958_3516	NCTC13441_00576	CS17_03545	ETEC_3381	BW25113_3113	b3113
tnaB	tryptophan transporter of low affinity	X	X	X	X	X	X	X	X	X	X	-1.2554434217	-1.1747529399	0.2327380352	-0.828339342	-1.3016679534	7	X	X	X	X	X	X	X	X	X	X	EC958_4182	NCTC13441_04808	CS17_04159	ETEC_4000	BW25113_3709	b3709
tusD	sulfurtransferase for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	1.3270844399	1.5297806378	1.9903583207	0.206938275	0.7141594873	-0.3083601788	0.1977952589	0.4804644869	0.2080290901	0.4286640608	0.4122414394	0.7118670464	0.3369402713	X	-0.2549168354	0	ENC_25440	BN373_43671	ERS227112_00856	ROD_44741	SL1344_3418	SL3261_3418	STMMW_34431	STM_MW34431	SEN3279	t4054	EC958_3741	NCTC13441_00350	CS17_03766	X	BW25113_3345	b3345
tviC	Vi polysaccharide biosynthesis protein, epimerase	0.3289653028	2.9953751179	2.6087120762	X	X	X	X	X	X	-0.0091808543	X	X	X	X	X	X	ENC_41400	BN373_30981	ERS227112_04087	X	X	X	X	X	X	t4351	X	X	X	X	X	X
ubiG	bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase	X	1.8425444192	2.4231836585	2.0573865005	2.1693950415	2.6829988544	3.0759157868	1.8570025723	3.3817827906	2.0595606148	2.922855435	2.4167231016	1.6438497116	2.9476379611	2.1644131482	0	X	BN373_32521	ERS227112_03938	ROD_23541	SL1344_2245	SL3261_2245	STMMW_23001	STM_MW23001	SEN2258	t0588	EC958_2568	NCTC13441_01476	CS17_02482	ETEC_2365	BW25113_2232	b2232
waaU	lipopolysaccharide core biosynthesis	X	X	-1.0988378957	X	X	X	X	X	X	X	-0.0077147308	-0.7420371127	X	X	-0.5421913759	7	X	X	ERS227112_00611	X	X	X	X	X	X	X	EC958_4030	NCTC13441_00061	X	X	BW25113_3623	b3623
wcaE	putative glycosyl transferase	-0.7153129736	X	X	-0.8440155619	-0.7221796755	0.1528874383	-0.1593528951	-0.9104052175	-0.9292489901	-0.876069395	1.1982218272	0.3830876982	1.9372005467	1.1953629722	0.768056634	0	ENC_41100	X	X	ROD_21911	SL1344_2088	SL3261_2088	STMMW_21431	STM_MW21431	SEN2107	t0761	EC958_2395	NCTC13441_01657	CS17_02295	ETEC_2198	BW25113_2055	b2055
wzxB	putative polisoprenol-linked O-antigen transporter	X	X	X	2.4646176414	X	X	X	X	X	X	X	X	X	X	-0.674847073	0	X	X	X	ROD_21721	X	X	X	X	X	X	X	X	X	X	BW25113_2037	b2037
yaaY	uncharacterized protein	X	X	X	1.6889069476	0.6887127944	0.4308537362	1.0149024269	1.4498575062	1.3626222856	1.1590155759	X	X	X	1.0562971659	1.5084754767	0	X	X	X	ROD_00213	SL1344_0045	SL3261_0045	STMMW_00451	STM_MW00451	SEN0044	t0046	X	X	X	ETEC_0024	BW25113_0024	b0024
