ID	name	function	coord	length	NPEQ	essentiality
ENC_249added		hypothetical protein	2137075-2137533	459	0.234815899560378	non-essential
ENC_250added	uspG_2	Universal stress protein G	2155202-2155630	429	-0.412344028850634	non-essential
ENC_251added	ahpC	Alkyl hydroperoxide reductase subunit C	2157443-2158006	564	-0.197493167240657	non-essential
ENC_252added		hypothetical protein	2166495-2166974	480	0.253956627550193	non-essential
ENC_253added	mtnK	Methylthioribose kinase	2168527-2169018	492	0.391614789605299	non-essential
ENC_254added		hypothetical protein	2175301-2175678	378	0.633652209718519	non-essential
ENC_255added	fepB	Ferrienterobactin-binding periplasmic protein precursor	2184633-2185592	960	0.113034628490552	non-essential
ENC_256added	fes_2	Enterochelin esterase	2193963-2195240	1278	0.171476985110106	non-essential
ENC_257added		putative periplasmic iron-binding protein precursor	2201064-2201975	912	0.128855212550955	non-essential
ENC_258added	betT	High-affinity choline transport protein	2202211-2203950	1740	-0.0359788344916456	non-essential
ENC_259added	ddpA_2	putative D,D-dipeptide-binding periplasmic protein DdpA precursor	2209236-2210258	1023	0.10478325515991	non-essential
ENC_260added	budB	Acetolactate synthase, catabolic	2215227-2216906	1680	0.16109591105326	non-essential
ENC_261added	alsD	Alpha-acetolactate decarboxylase	2216920-2217402	483	-0.0145911862373409	non-essential
ENC_262added		2-dehydropantoate 2-reductase	2222658-2223266	609	0.344848764396256	non-essential
ENC_263added		hypothetical protein	2240948-2241259	312	-0.0316324138657169	non-essential
ENC_264added		hypothetical protein	2250676-2251818	1143	0.50242225411797	non-essential
ENC_265added		hypothetical protein	2251825-2252358	534	0.142650029316463	non-essential
ENC_266added	fcuA	Ferrichrome receptor FcuA precursor	2252636-2254525	1890	0.257547398188	non-essential
ENC_267added		biofilm formation regulator HmsP	2256177-2256875	699	-0.0941680780466489	non-essential
ENC_268added		hypothetical protein	2256900-2257616	717	-0.265456759727218	non-essential
ENC_269added	fimA_3	Type-1 fimbrial protein, A chain precursor	2263940-2264482	543	-0.501686655802925	non-essential
ENC_270added	malI_2	Maltose regulon regulatory protein MalI	2268804-2269820	1017	0.15941341513635	non-essential
ENC_271added	lpxH	UDP-2,3-diacylglucosamine hydrolase	2272562-2273284	723	2.87966159525932	essential
ENC_272added	purK	N5-carboxyaminoimidazole ribonucleotide synthase	2274826-2275269	444	0.121216549970983	non-essential
ENC_273added		hypothetical protein	2297637-2298449	813	-0.039386768173914	non-essential
ENC_274added	dnaX	DNA polymerase III subunit tau	2303861-2304187	327	1.58472597852466	non-essential
ENC_275added		hypothetical protein	2305123-2306103	981	3.42563475479176	essential
ENC_276added	priC	Primosomal replication protein N''	2307422-2307949	528	0.00230726760229091	non-essential
ENC_277added		hypothetical protein	2308777-2309469	693	-0.404068364056159	non-essential
ENC_278added		hypothetical protein	2310163-2310885	723	-0.230830592730006	non-essential
ENC_279added		hypothetical protein	2311030-2311404	375	0.334047268025696	non-essential
ENC_280added	acrA	Multidrug efflux pump subunit AcrA precursor	2314066-2314530	465	-0.355900480990241	non-essential
ENC_281added	lacZ_1	Beta-galactosidase	2325855-2328944	3090	0.24275245136876	non-essential
ENC_282added		hypothetical protein	2341165-2341479	315	-0.420112308500271	non-essential
ENC_283added	clpP_1	ATP-dependent Clp protease proteolytic subunit precursor	2354168-2354530	363	0.149298267467471	non-essential
ENC_284added	fucU	L-fucose mutarotase	2364985-2365413	429	-0.24952904057325	non-essential
ENC_285added	rbsA_5	Ribose import ATP-binding protein RbsA	2370600-2370953	354	-0.286894633333065	non-essential
ENC_286added	licC_3	Lichenan permease IIC component	2380164-2381432	1269	-0.359715429315783	non-essential
ENC_287added	nusB	N utilization substance protein B	2391155-2391574	420	2.23411701864501	essential
ENC_288added	nrdR	Transcriptional repressor NrdR	2393262-2393711	450	0.293158171826924	non-essential
ENC_289added		preprotein translocase subunit SecF	2396840-2397166	327	1.19679408001251	non-essential
ENC_290added	proY	Proline-specific permease ProY	2409740-2411113	1374	0.00169343333574966	non-essential
ENC_291added	phoR_2	Phosphate regulon sensor protein PhoR	2413215-2414510	1296	-0.288150552925275	non-essential
ENC_292added	mak	Fructokinase	2419826-2420731	906	-0.0945744345526242	non-essential
ENC_293added	rdgC	Recombination-associated protein RdgC	2420855-2421769	915	-0.125674889538573	non-essential
ENC_294added		hypothetical protein	2429411-2430094	684	0.0126995129786612	non-essential
ENC_295added		hypothetical protein	2430372-2430845	474	0.189656310005883	non-essential
ENC_296added	ampH	D-alanyl-D-alanine- carboxypeptidase/endopeptidase AmpH precursor	2435114-2436274	1161	-0.252869542671554	non-essential
