STM_MW00461	riboflavin biosynthesis protein RibF
ROD_41681	guanylate kinase
ROD_39641	transcription termination factor
STM_MW17721	ribose-phosphate pyrophosphokinase
SL1344_4291	conserved hypothetical protein
SL3261_0048	lipoprotein signal peptidase
SL1344_3696	conserved hypothetical protein
t2456	export membrane protein SecD
ETEC_0991	chromosome partition protein
SL3261_1646	DNA topoisomerase I, omega protein I
NCTC13441_00515	ATP-dependent zinc metalloprotease FtsH,ATP-dependent metalloprotease,Ribosome-associated chaperone zuotin,ATP-dependent metallopeptidase HflB,Peptidase family M41
CS17_03071	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase,YgbB family
CS17_02950	30S ribosomal protein S16,30S ribosomal protein S16,30S ribosomal protein S16,ribosomal protein S16,Ribosomal protein S16
ETEC_4296	glycerol-3-phosphate acyltransferase
SEN4159	30s ribosomal subunit protein S18
ROD_46641	translation initiation factor IF-2
SL1344_3182	possible glycoprotease
NCTC13441_02796	Lipoprotein-releasing system transmembrane protein lolC,outer membrane-specific lipoprotein transporter subunit LolC,lipoprotein releasing system, transmembrane protein, LolC/E family,FtsX-like permease family
SL3261_0122	penicillin-binding protein 3 precursor
SL3261_3413	elongation factor G
SEN3138	octaprenyl-diphosphate synthase
ROD_01961	tRNA(Ile)-lysidine synthase
ETEC_0527	ferrochelatase
ENC_25270	LSU ribosomal protein L16P
ERS227112_01172	ICORN_RH20207_annotate_bacteria_01172
SEN1259	Ribose-phosphate pyrophosphokinase
STM_MW34291	50S ribosomal subunit protein L2
t0126	penicillin-binding protein 3 precursor
SL1344_0410	riboflavin biosynthesis protein RibD
ROD_40101	bifunctional protein GlmU [includes: UDP-N-acetylglucosamine pyrophosphorylase; glucosamine-1-phosphate N-acetyltransferase
SL3261_2807	Alanyl-tRNA synthetase
ENC_34260	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
CS17_04447	50S ribosomal protein L7/L12,L8,50S ribosomal protein L7/L12,ribosomal protein L7/L12,Ribosomal protein L7/L12 C-terminal domain
ERS227112_03437	ICORN_RH20207_annotate_bacteria_03437
ROD_45061	30S ribosomal subunit protein S19
ROD_05321	adenylate kinase
t0238	cell cycle protein MesJ
ERS227112_02537	ICORN_RH20207_annotate_bacteria_02537
ENC_25200	SSU ribosomal protein S8P
SL3261_3381	50S ribosomal subunit protein L17
SL1344_2335	acetyl-CoA carboxylase beta subunit
SL3261_2334	folylpolyglutamate synthase
ETEC_0093	cell division protein FtsZ
t3319	conserved hypothetical protein
SEN1855	malonyl CoA-acyl carrier protein transacylase
ERS227112_01011	ICORN_RH20207_annotate_bacteria_01011
STMMW_43581	inorganic pyrophosphatase
STM_MW10051	cell division protein
ERS227112_00891	ICORN_RH20207_annotate_bacteria_00891
SEN3477	glycine-tRNA synthetase, beta subunit
SL1344_1272	Phenylalanyl-tRNA synthetase beta chain
STM_MW01311	phospho-N-acetylmuramoyl-pentapeptide- transferase
STMMW_33021	50S ribosomal subunit protein L27
SL1344_0126	UDP-N-acetylmuramoylalanine--D-glutamate ligase
STM_MW12271	ABC transporter ATP-binding subunit
BN373_05791	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-ala nine ligase
t3220	50S ribosomal subunit protein L27
BN373_49701	UDP-N-acetylenolpyruvoylglucosamine reductase
NCTC13441_00802	Putative Holliday junction resolvase,Holliday junction resolvase-like protein,RNAse H domain protein, YqgF family,Uncharacterised protein family (UPF0081)
BN373_49791	ribosomal protein L7/L12
STM_MW02231	elongation factor Ts
BN373_47531	inner membrane protein OxaA
SL3261_4285	phosphatidylserine decarboxylase proenzyme
ROD_45191	30S ribosomal subunit protein S5
NCTC13441_03808	30S ribosomal protein S2,30S ribosomal protein S2,Ribosomal protein S2,ribosomal protein S2,Ribosomal protein S2
ROD_45241	30S ribosomal subunit protein S11
SL1344_3893	porphobilinogen deaminase
SL1344_3260	transcription termination/antitermination L factor
ETEC_0473	1-deoxyxylulose-5-phosphate synthase
t0138	UDP-3-O-[3-hydroxymyristoyl
SEN3152	probable ABC transport protein, ATP-binding component
STMMW_31331	1-acyl-glycerol-3-phosphate acyltransferase
ENC_31600	phosphoglycerate kinase
SL1344_3404	50S ribosomal subunit protein L2
ROD_28701	prolipoprotein diacylglyceryl transferase
STM_MW25631	extragenic suppressor protein SuhB
ERS227112_00598	ICORN_RH20207_annotate_bacteria_00598
SL3261_1270	50S ribosomal protein L20. Chloroplast 50S ribosomal protein L20.
t4076	50S ribosomal subunit protein L24
ETEC_3565	50S ribosomal subunit protein L16
BN373_42431	GTP-binding protein Obg/CgtA
ETEC_3561	50S ribosomal subunit protein L24
t1099	glutamyl-tRNA reductase
ROD_37771	UDP-N-acetylenolpyruvoylglucosamine reductase
SL3261_3317	50S ribosomal subunit protein L13
SL3261_0628	penicillin-binding protein 2
CS17_04259	porphobilinogen deaminase,Porphobilinogen deaminase,porphobilinogen deaminase,Uroporphyrinogen-III synthase,porphobilinogen deaminase,Porphobilinogen deaminase, dipyromethane cofactor binding domain
ERS227112_02357	ICORN_RH20207_annotate_bacteria_02357
STMMW_37191	conserved hypothetical protein
ENC_38420	cell division protein ZipA
NCTC13441_04658	3-octaprenyl-4-hydroxybenzoate carboxy-lyase,3-octaprenyl-4-hydroxybenzoate decarboxylase,3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,UbiD family decarboxylase,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
CS17_01897	phenylalanyl-tRNA synthetase subunit alpha,Phenylalanine--tRNA ligase alpha subunit,phenylalanyl-tRNA synthetase subunit alpha,Phenylalanyl-tRNA synthetase alpha subunit,phenylalanine--tRNA ligase, alpha subunit,tRNA synthetases class II core domain (F)
ERS227112_00859	ICORN_RH20207_annotate_bacteria_00859
ROD_46351	50S ribosomal subunit protein L27
CS17_03691	acetyl-CoA carboxylase,Biotin carboxylase,acetyl-CoA carboxylase biotin carboxylase subunit,Acetyl/propionyl-CoA carboxylase, alpha subunit,acetyl-CoA carboxylase, biotin carboxylase subunit,Carbamoyl-phosphate synthase L chain, ATP binding domain
t4064	30S ribosomal subunit protein S10
BN373_15541	ribosomal protein S1
CS17_03743	50S ribosomal protein L5,50S ribosomal protein L5,50S ribosomal protein L5,Ribosomal protein L5,ribosomal L5P family C-terminus
ENC_03960	protein translocase subunit yidC
t0245	prolyl-tRNA synthetase
NCTC13441_01173	GTP-binding protein Era,GTPase Era,Predicted GTPase,GTP-binding protein Era,GTPase of unknown function
ERS227112_00890	ICORN_RH20207_annotate_bacteria_00890
SL1344_4192	single-strand DNA-binding protein
ERS227112_00786	ICORN_RH20207_annotate_bacteria_00786
STMMW_01311	phospho-N-acetylmuramoyl-pentapeptide-transferase 
BN373_43531	ribosomal protein L2
ERS227112_00861	ICORN_RH20207_annotate_bacteria_00861
t1949	tetraacyldisaccharide 4'-kinase
ENC_36930	signal peptidase I . Serine peptidase. MEROPS family S26A
ETEC_0025	riboflavin biosynthesis protein [includes: riboflavin kinase; FMN adenylyltransferase
SL1344_4087	transcription antitermination protein
ROD_17111	enoyl-[acyl-carrier-protein
ENC_47290	glycyl-tRNA synthetase beta chain
ETEC_0982	lipid A export ATP-binding/permease protein
NCTC13441_03794	Lipid-A-disaccharide synthase,lipid-A-disaccharide synthase,Predicted membrane protein,lipid-A-disaccharide synthase,Lipid-A-disaccharide synthetase
CS17_00663	apolipoprotein N-acyltransferase,Apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,Carbon-nitrogen hydrolase
STMMW_33441	50S ribosomal subunit protein L13
STMMW_38201	DNA gyrase subunit B
SL3261_3072	Putative Holliday junction resolvase
t2372	adenylate kinase
CS17_00955	seryl-tRNA synthetase,Serine--tRNA ligase,seryl-tRNA synthetase,Prolyl-tRNA synthetase,serine--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
ROD_45161	30S ribosomal subunit protein S8
CS17_00091	UDP-N-acetylmuramate:alanine ligase,UDP-N-acetylmuramate--L-alanine ligase,UDP-N-acetylmuramate--L-alanine ligase,Folylpolyglutamate synthase,UDP-N-acetylmuramate--alanine ligase,Mur ligase middle domain
ETEC_3546	50S ribosomal subunit protein L17
SEN3252	50S ribosomal subunit protein L18
SL1344_3408	30S ribosomal subunit protein S10
SL1344_0237	cell cycle protein MesJ
SL3261_3388	50S ribosomal subunit protein L15
ERS227112_01013	ICORN_RH20207_annotate_bacteria_01013
SL1344_4092	DNA-directed RNA polymerase, beta-subunit
CS17_03742	30S ribosomal protein S14,30S ribosomal protein S14,30S ribosomal protein S14,Ribosomal protein S14p/S29e
SL3261_4091	50S ribosomal subunit protein L7/L12
NCTC13441_03564	6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase
BN373_43561	ribosomal protein L3
CS17_02359	methionyl-tRNA synthetase,Methionine--tRNA ligase,methionyl-tRNA synthetase,Methionyl-tRNA synthetase,methionine--tRNA ligase,tRNA synthetases class I (M)
ETEC_1183	lipoprotein-releasing system transmembrane protein
NCTC13441_02079	hypothetical protein,UGMP family protein,universal bacterial protein YeaZ,Glycoprotease family
ERS227112_00872	ICORN_RH20207_annotate_bacteria_00872
BN373_47481	DNA polymerase III, beta subunit
CS17_01816	tyrosyl-tRNA synthetase,Tyrosine--tRNA ligase,tyrosyl-tRNA synthetase,Tyrosyl-tRNA synthetase,tyrosine--tRNA ligase,tRNA synthetases class I (W and Y)
ENC_46070	cell division protein FtsZ
STMMW_01281	penicillin-binding protein 3 precursor
ROD_11851	lipoprotein-releasing system transmembrane protein
ERS227112_01005	ICORN_RH20207_annotate_bacteria_01005
STM_MW07051	penicillin-binding protein 2
STMMW_42061	single-strand DNA-binding protein
t0310	extragenic suppressor protein SuhB
SEN3268	50S ribosomal subunit protein L3
STM_MW30301	phosphoglycerate kinase
ETEC_0166	uridylate kinase
t4381	GroES protein
ERS227112_04432	ICORN_RH20207_annotate_bacteria_04432
ROD_45071	50S ribosomal subunit protein L22
SEN1598	tyrosyl-tRNA synthetase
NCTC13441_03797	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,UDP-3-O-[3-hydroxymyristoyl
SL1344_3279	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
BN373_47701	glutamine-fructose-6-phosphate transaminase (isomerizing)
SL3261_1749	conserved hypothetical protein
ENC_36950	GTP-binding protein Era
BN373_37681	CTP synthase
ENC_25150	LSU ribosomal protein L15P
CS17_03440	topoisomerase IV subunit A,DNA topoisomerase 4 subunit A,DNA topoisomerase IV subunit A,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA topoisomerase IV, A subunit,DNA gyrase/topoisomerase IV, subunit A
CS17_01237	DNA polymerase III subunit delta',DNA polymerase III subunit delta',DNA polymerase III subunit delta',DNA polymerase III, delta' subunit,DNA polymerase III, delta subunit, C terminal
STMMW_01341	UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapep tide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
CS17_01896	phenylalanyl-tRNA synthetase subunit beta,Phenylalanine--tRNA ligase beta subunit,phenylalanyl-tRNA synthetase subunit beta,EMAP domain,phenylalanine--tRNA ligase, beta subunit,B3/4 domain
SL1344_3353	biotin carboxylase
STM_MW04871	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
SL3261_3802	DNA gyrase subunit B
NCTC13441_03446	Bifunctional protein FolD,bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase,Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
ETEC_1313	outer-membrane lipoprotein
SL3261_3829	UDP-N-acetylglucosamine pyrophosphorylase
t3131	RNA polymerase sigma-70 factor
ETEC_2364	DNA gyrase subunit A
CS17_02820	inositol-1-monophosphatase,Inositol-1-monophosphatase,inositol monophosphatase,histidinol-phosphatase,Inositol monophosphatase family
STMMW_12031	malonyl CoA-acyl carrier protein transacylase
STMMW_13401	ThrRS
ROD_23531	DNA gyrase subunit A
SL3261_3395	50S ribosomal subunit protein L5
STM_MW30511	S-adenosylmethionine synthetase
ERS227112_01711	ICORN_RH20207_annotate_bacteria_01711
SEN1621	riboflavin synthase alpha chain
BN373_35221	inositol-1-monophosphatase
t4088	30S ribosomal subunit protein S11
ERS227112_00473	ICORN_RH20207_annotate_bacteria_00473
NCTC13441_04293	Phosphatidylserine decarboxylase proenzyme,phosphatidylserine decarboxylase,Na+/alanine symporter,phosphatidylserine decarboxylase,Phosphatidylserine decarboxylase
SL3261_2132	Methionyl-tRNA synthetase
NCTC13441_00682	DNA topoisomerase 4 subunit A,DNA topoisomerase IV subunit A,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA topoisomerase IV, A subunit,DNA gyrase/topoisomerase IV, subunit A
SL3261_3273	probable GTP-binding protein
ROD_06621	leucyl-tRNA synthetase
SL3261_3407	50S ribosomal subunit protein L3
ERS227112_00873	ICORN_RH20207_annotate_bacteria_00873
t3009	conserved hypothetical protein
ETEC_3450	50S ribosomal protein L27
t1219	phenylalanyl-tRNA synthetase beta chain
SL3261_4086	preprotein translocase SecE subunit
t3681	chromosomal replication initiator protein
NCTC13441_04787	Bifunctional protein GlmU,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,Predicted DNA-binding protein with PD1-like DNA-binding motif,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase,Bacterial transferase hexapeptide (six repeats)
CS17_03015	alanyl-tRNA synthetase,Alanine--tRNA ligase,alanyl-tRNA synthetase,Alanyl-tRNA synthetase,alanine--tRNA ligase,tRNA synthetases class II (A)
STMMW_41001	preprotein translocase SecE subunit
STM_MW09951	probable transport ATP-binding protein MsbA
SL3261_4405	valyl-tRNA synthetase
SEN2598	signal recognition particle protein
ROD_30611	cell division protein
SL3261_3394	30S ribosomal subunit protein S14
t0499	folylpolyglutamate synthase
SL3261_0127	cell division protein FtsW
ERS227112_00449	ICORN_RH20207_annotate_bacteria_00449
SL1344_0129	UDP-N-acetylmuramate--L-alanine ligase
SL1344_3396	50S ribosomal subunit protein L24
ROD_50371	putative holliday junction resolvase
NCTC13441_00378	50S ribosomal protein L2,50S ribosomal protein L2,Ribosomal protein L2,ribosomal protein L2,Ribosomal Proteins L2, C-terminal domain
ROD_04561	protein-export protein
SEN3255	30S ribosomal subunit protein S14
ENC_25100	DNA-directed RNA polymerase subunit alpha
SEN4124	conserved hypothetical protein
SEN0238	DNA polymerase III, alpha chain
t3221	50S ribosomal subunit protein L21
STMMW_31721	RNA polymerase sigma-70 factor
CS17_01232	acyl carrier protein,Fatty acid synthase acyl carrier protein,acyl carrier protein,Acyl carrier protein,acyl carrier protein,Phosphopantetheine attachment site
NCTC13441_00382	50S ribosomal protein L16,50S ribosomal protein L16,Ribosomal protein L16/L10E,ribosomal protein L16,Ribosomal protein L16p/L10e
SEN3242	50S ribosomal subunit protein L17
NCTC13441_03892	Cell division protein FtsQ,cell division protein FtsQ,Cell division protein FtsQ
STMMW_10111	asparaginyl-tRNA synthetase
ENC_43020	ribosomal protein S18
ETEC_3441	phosphoglucosamine mutase
t0227	UDP-3-O-[3-hydroxymyristoyl
t3213	cell division protein
STM_MW34131	preprotein translocase subunit
SEN3254	30S ribosomal subunit protein S8
STMMW_09921	30S ribosomal protein S1
ETEC_0183	tRNA(Ile)-lysidine synthase
NCTC13441_00385	50S ribosomal protein L14,50S ribosomal protein L14,Ribosomal protein L14,ribosomal protein L14,Ribosomal protein L14p/L23e
STM_MW02351	lipid-A-disaccharide synthase
ENC_45440	signal peptidase II . Aspartic peptidase. MEROPS family A08
SL1344_3829	UDP-N-acetylglucosamine pyrophosphorylase
ENC_46030	UDP-N-acetylmuramate--L-alanine ligase
STM_MW39091	porphobilinogen deaminase
t0129	phospho-N-acetylmuramoyl-pentapeptide-transferase
NCTC13441_04413	Helix-destabilizing protein,single-stranded DNA-binding protein,single-stranded DNA-binding protein,Single-strand binding protein family
STMMW_09961	tetraacyldisaccharide 4'-kinase
ERS227112_02044	ICORN_RH20207_annotate_bacteria_02044
ENC_25240	LSU ribosomal protein L14P
t3095	topoisomerase IV subunit A
ROD_41821	phosphopantetheine adenylyltransferase
CS17_02688	glutamyl-tRNA synthetase,Glutamate--tRNA ligase,glutamyl-tRNA synthetase,Glutamyl- and glutaminyl-tRNA synthetases,glutamate--tRNA ligase,tRNA synthetases class I (E and Q), catalytic domain
SEN1854	3-oxoacyl-[acyl-carrier protein
SEN3654	DNA polymerase III beta-subunit
ENC_40450	methionyl-tRNA synthetase
STMMW_33041	octaprenyl-diphosphate synthase
ERS227112_00866	ICORN_RH20207_annotate_bacteria_00866
NCTC13441_00995	Enolase,enolase,L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily,phosphopyruvate hydratase,Enolase, C-terminal TIM barrel domain
ERS227112_02435	ICORN_RH20207_annotate_bacteria_02435
ETEC_3435	translation initiation factor IF-2
SL1344_0217	30S ribosomal protein S2
ENC_43340	Inorganic pyrophosphatase
CS17_03617	phosphoglucosamine mutase,Phosphoglucosamine mutase,phosphoglucosamine mutase,Predicted glutamine amidotransferase,phosphoglucosamine mutase,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
ETEC_0100	dephospho-CoA kinase
BN373_35911	NAD(+) kinase
t3863	glycine-tRNA synthetase, alpha subunit
ERS227112_00583	ICORN_RH20207_annotate_bacteria_00583
ERS227112_01803	ICORN_RH20207_annotate_bacteria_01803
t3359	porphobilinogen deaminase
STM_MW00481	lipoprotein signal peptidase
CS17_03748	50S ribosomal protein L16,50S ribosomal protein L16,50S ribosomal protein L16,Ribosomal protein L16/L10E,ribosomal protein L16,Ribosomal protein L16p/L10e
CS17_01256	lipoprotein-releasing system transmembrane protein,Lipoprotein-releasing system transmembrane protein lolE,outer membrane-specific lipoprotein transporter subunit LolE,lipoprotein releasing system, transmembrane protein LolE,FtsX-like permease family
