ERS227112_00015	ICORN_RH20207_annotate_bacteria_00015
CS17_00405	delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase
SL3261_3289	lipopolysaccharide transport protein
SEN2523	Cysteine desulfurase
STM_MW36881	glycerol-3-phosphate dehydrogenase
t0314	NifU-like protein
ERS227112_02666	ICORN_RH20207_annotate_bacteria_02666
BN373_33111	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
ERS227112_02531	ICORN_RH20207_annotate_bacteria_02531
SL3261_2247	ribonucleoside-diphosphate reductase 1 beta chain
t0630	50S ribosomal protein L25
STMMW_29621	thymidylate synthetase
ROD_32061	60 Kda chaperonin
BN373_42791	ribosomal protein S9
NCTC13441_03335	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,Uncharacterized conserved protein,ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family,FAD binding domain
STMMW_17321	TonB protein
STM_MW30171	2-octaprenyl-6-methoxyphenol hydroxylase
ERS227112_01133	ICORN_RH20207_annotate_bacteria_01133
NCTC13441_04252	Primosomal replication protein n,primosomal replication protein N,Single-strand binding protein family
ENC_20120	2-oxoglutarate dehydrogenase E2 component
t2205	conserved hypothetical protein
ETEC_0205	DNA polymerase III epsilon subunit
BN373_12771	ferric uptake regulation protein
CS17_03746	30S ribosomal protein S17,30S ribosomal protein S17,30S ribosomal protein S17,30S ribosomal protein S17,Ribosomal protein S17
STM_MW07331	conserved hypothetical protein
SL3261_2446	succinyl-diaminopimelate desuccinylase
t0216	methionine aminopeptidase
NCTC13441_00063	Lipopolysaccharide heptosyltransferase 1,ADP-heptose:LPS heptosyl transferase I,lipopolysaccharide heptosyltransferase I,Glycosyltransferase family 9 (heptosyltransferase)
CS17_00665	metalloprotease,Probable rRNA maturation factor YbeY,metal-binding heat shock protein,metalloprotein, YbeY/UPF0054 family,Uncharacterized protein family UPF0054
CS17_04444	50S ribosomal protein L11,50S ribosomal protein L11,50S ribosomal protein L11,ribosomal protein L11,Ribosomal protein L11, N-terminal domain
CS17_04621	chaperonin Cpn60,hypothetical protein,chaperonin GroEL,chaperonin GroL,TCP-1/cpn60 chaperonin family
t0214	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
CS17_00186	zinc metallopeptidase RseP,Regulator of sigma E protease,zinc metallopeptidase RseP,Translation elongation factor Ts,RIP metalloprotease RseP,Peptidase family M50
ROD_24741	cysteine desulfurase
ROD_00891	cell division protein FtsL
STM_MW06051	cysteinyl-tRNA synthetase
SL1344_3667	protein-export protein SecB
STM_MW32931	dihydropteroate synthase
BN373_06101	dihydrolipoamide dehydrogenase
STM_MW12971	glyceraldehyde 3-phosphate dehydrogenase A
ROD_46651	ribosome-binding factor A
NCTC13441_00409	Peptide deformylase,peptide deformylase,N-formylmethionyl-tRNA deformylase,peptide deformylase,Polypeptide deformylase
CS17_00732	cytochrome d ubiquinol oxidase subunit 2,Cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase, subunit II,Cytochrome oxidase subunit II
STMMW_04931	geranyltranstransferase
STMMW_28931	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
SL3261_0660	hypothetical monooxygenase
t1835	hypothetical protein in helD-serT intergenic region
CS17_00981	3-deoxy-manno-octulosonate cytidylyltransferase,3-deoxy-manno-octulosonate cytidylyltransferase,3-deoxy-manno-octulosonate cytidylyltransferase,Spore coat polysaccharide biosynthesis protein, predicted glycosyltransferase,3-deoxy-D-manno-octulosonate cytidylyltransferase,Cytidylyltransferase
SL1344_0719	dihydrolipoamide succinyltransferase component (E2)
ENC_04740	SOS-response transcriptional repressor, LexA
STM_MW37001	ADP-heptose-LPS heptosyltransferase II
STMMW_00111	DnaK protein (heat shock protein 70)
BN373_12641	conserved hypothetical protein TIGR00043
ERS227112_03936	ICORN_RH20207_annotate_bacteria_03936
ETEC_0474	geranyltranstransferase
ETEC_0577	peptidyl-prolyl cis-trans isomerase B
ETEC_1039	sulfurtransferase (tRNA 2-thiouridine synthesizing protein E)
CS17_03764	tRNA 2-thiouridine synthesizing protein B,tRNA 2-thiouridine synthesizing protein B,sulfur transfer complex subunit TusB,Uncharacterized conserved protein involved in oxidation of intracellular sulfur,sulfur relay protein TusB/DsrH,DsrH like protein
SL1344_1024	hypothetical protein in helD-serT intergenic region
SEN3042	ADP-heptose synthase
SEN0640	putative monooxygenase
SEN3401	conserved hypothetical protein
t3212	dihydropteroate synthase
ROD_02231	phosphoheptose isomerase
STM_MW32851	ribosome-binding factor A (P15B protein)
ROD_44761	tRNA 2-thiouridine synthesizing protein B
SL1344_3678	lipopolysaccharide heptosyltransferase-1
SL3261_1668	TonB protein
SL3261_3872	ATP-dependent DNA helicase
ERS227112_01025	ICORN_RH20207_annotate_bacteria_01025
ETEC_4242	50S ribosomal subunit protein L11
STM_MW35571	RNA polymerase sigma-32 factor
SL1344_0216	methionine aminopeptidase
STM_MW43361	primosomal replication protein N
ENC_43010	restart primosome assembly protein PriB
ERS227112_02072	ICORN_RH20207_annotate_bacteria_02072
SEN0405	geranyltranstransferase
NCTC13441_00352	tRNA 2-thiouridine synthesizing protein B,sulfur transfer complex subunit TusB,Uncharacterized conserved protein involved in oxidation of intracellular sulfur,sulfur relay protein TusB/DsrH,DsrH like protein
SEN0156	pyruvate dehydrogenase E1 component
SL1344_1668	TonB protein
SEN1297	TonB protein
NCTC13441_02582	hypothetical protein,transport protein TonB,TonB family C-terminal domain,Gram-negative bacterial tonB protein
STMMW_43361	primosomal replication protein n
STM_MW02191	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
ETEC_0163	methionine aminopeptidase
SL3261_2909	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
BN373_49941	uroporphyrinogen decarboxylase
STM_MW01271	cell division protein FtsL
NCTC13441_03867	Pyruvate dehydrogenase E1 component,pyruvate dehydrogenase subunit E1,Pyruvate dehydrogenase complex, dehydrogenase (E1) component,pyruvate dehydrogenase (acetyl-transferring), homodimeric type,Transketolase, thiamine diphosphate binding domain
ERS227112_02510	ICORN_RH20207_annotate_bacteria_02510
ROD_25371	putative lipoprotein
STM_MW26601	RNA polymerase sigma-E factor (sigma-24)
NCTC13441_01400	Probable aromatic acid decarboxylase,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,3-polyprenyl-4-hydroxybenzoate decarboxylase,polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases,Flavoprotein
ETEC_2530	glucose-specific PTS system EIIA component
SL3261_2396	pts system, glucose-specific IIA component
ERS227112_00615	ICORN_RH20207_annotate_bacteria_00615
ETEC_4243	50S ribosomal subunit protein L1
SL3261_2979	Thymidylate synthase
ROD_27191	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
t2324	cysteinyl-tRNA synthetase
STM_MW10971	putative sulfite reductase
BN373_46051	lipopolysaccharide heptosyltransferase II
ETEC_3100	2-octaprenyl-6-methoxyphenol hydroxylase
SL3261_0152	pyruvate dehydrogenase E1 component
SL1344_1744	Cell division topological specificity factor.
SL3261_4044	primosomal protein replication factor
STM_MW07931	2-oxoglutarate dehydrogenase E1 component
SEN0891	conserved hypothetical protein
STM_MW25721	serine hydroxymethyltransferase
SL1344_3183	30S ribosomal subunit protein S21
t3129	30S ribosomal subunit protein S21
SL1344_3289	lipopolysaccharide transport protein
CS17_01337	isocitrate dehydrogenase,Isocitrate dehydrogenase [NADP
SL1344_2648	16S rRNA processing protein rimM. Probable 16S rRNA processing protein rimM.
CS17_04058	preprotein translocase subunit SecB,Protein-export protein SecB,preprotein translocase subunit SecB,protein-export chaperone SecB,Preprotein translocase subunit SecB
ROD_00341	dihydrodipicolinate reductase
NCTC13441_03979	Heat shock protein 70,molecular chaperone DnaK,Ethanolamine utilization protein, possible chaperonin,chaperone protein DnaK,Hsp70 protein
STMMW_41201	uroporphyrinogen decarboxylase
CS17_00176	methionine aminopeptidase,Methionine aminopeptidase,methionine aminopeptidase,Xaa-Pro aminopeptidase,methionine aminopeptidase, type I,Metallopeptidase family M24
ETEC_1257	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
SL3261_3678	lipopolysaccharide heptosyltransferase-1
SL3261_0203	Glutamate-1-semialdehyde 2,1-aminomutase
SL3261_0621	lipoic acid synthetase
ENC_46290	dihydrolipoamide dehydrogenase
SL1344_0925	3-deoxy-manno-octulosonate cytidylyltransferase
SEN2769	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ROD_35951	bifunctional protein HldE [includes: D-beta-D-heptose 7-phosphate kinase; D-beta-D-heptose 1-phosphate adenosyltransferase
NCTC13441_02779	tRNA-specific 2-thiouridylase mnmA,tRNA-specific 2-thiouridylase MnmA,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase,tRNA methyl transferase
ERS227112_03565	ICORN_RH20207_annotate_bacteria_03565
ROD_01791	protease
NCTC13441_04744	ATP-dependent DNA helicase rep,ATP-dependent DNA helicase Rep,Superfamily I DNA and RNA helicases,ATP-dependent DNA helicase Rep,UvrD/REP helicase
t3477	50S ribosomal subunit protein L1
ERS227112_02515	ICORN_RH20207_annotate_bacteria_02515
BN373_17581	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
STMMW_44901	primosomal protein I
ROD_42091	serine acetyltransferase
CS17_00685	ferric uptake regulation protein,Ferric uptake regulation protein,ferric uptake regulator,Ferric uptake regulator family
CS17_02436	50S ribosomal protein L25,50S ribosomal protein L25,50S ribosomal protein L25,ribosomal protein L25, Ctc-form,Ribosomal L25p family
STM_MW41201	uroporphyrinogen decarboxylase
CS17_04445	50S ribosomal protein L1,50S ribosomal protein L1,50S ribosomal protein L1,ribosomal protein L1,Ribosomal protein L1p/L10e family
SL3261_2623	outer membrane protein assembly complex subunit yfiO
ERS227112_03406	ICORN_RH20207_annotate_bacteria_03406
SL3261_1225	glyceraldehyde 3-phosphate dehydrogenase A
CS17_02761	dihydrodipicolinate synthase,Dihydrodipicolinate synthase,dihydrodipicolinate synthase,dihydrodipicolinate synthase,Dihydrodipicolinate synthetase family
ROD_39421	diaminopimelate epimerase
SEN4100	GroEL protein
NCTC13441_03449	Cysteine--tRNA ligase,cysteinyl-tRNA synthetase,Cysteinyl-tRNA synthetase,cysteine--tRNA ligase,tRNA synthetases class I (C) catalytic domain
STM_MW42791	GroEL protein
ETEC_3852	protein-export protein SecB
SEN4006	LexA repressor
SEN1811	isocitrate dehydrogenase
BN373_08041	delta-aminolevulinic acid dehydratase
ETEC_0690	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
BN373_41151	dihydroneopterin aldolase
ERS227112_03147	ICORN_RH20207_annotate_bacteria_03147
SL1344_3173	ADP-heptose synthase
ETEC_2686	iron-sulfur cluster assembly protein
SEN0157	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
SEN3523	protein-export protein SecB
SL1344_4088	50S ribosomal subunit protein L11
SL3261_3258	ribosome-binding factor A (P15B protein)
ENC_24790	DNA polymerase III, epsilon subunit
SL1344_2979	Thymidylate synthase
t0508	putative decarboxylase
SL1344_4325	primosomal replication protein N
ENC_01420	LSU ribosomal protein L1P
ETEC_3595	tRNA 2-thiouridine synthesizing protein c
ENC_15510	LSU ribosomal protein L32P
ENC_02390	lipopolysaccharide heptosyltransferase II
ENC_20050	cytochrome bd quinol oxidase subunit 1 apoprotein
SEN0949	putative sulfite reductase
SEN3150	possible exported protein
SL3261_1744	Cell division topological specificity factor.
t2910	thymidylate synthetase
ENC_20540	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
SL3261_1823	lipid A acyltransferase
SL3261_3179	dihydroneopterin aldolase
t0301	serine hydroxymethyltransferase
ENC_46910	methionine aminopeptidase, type I
SEN2567	RNA polymerase sigma-E factor (sigma-24)
ROD_36171	30S ribosomal subunit protein S21
NCTC13441_00075	Glycerol-3-phosphate dehydrogenase [NAD(P)+
SL1344_2170	GTP cyclohydrolase I
t2492	delta-aminolevulinic acid dehydratase
t2440	geranyltranstransferase
BN373_12401	lipoic acid synthetase
CS17_00668	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase,Uncharacterized conserved protein,ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family,FAD binding domain
ENC_15040	Adenylosuccinate lyase
STM_MW06981	lipoic acid synthetase
CS17_00124	pyruvate dehydrogenase E1 component,Pyruvate dehydrogenase E1 component,pyruvate dehydrogenase subunit E1,Pyruvate dehydrogenase complex, dehydrogenase (E1) component,pyruvate dehydrogenase (acetyl-transferring), homodimeric type,Transketolase, thiamine diphosphate binding domain
ENC_00980	replication restart DNA helicase PriA
ETEC_2938	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
t2619	putative lipoprotein
STM_MW07981	cytochrome d ubiquinol oxidase subunit II
ERS227112_04346	ICORN_RH20207_annotate_bacteria_04346
NCTC13441_00527	hypothetical protein,ribosome-binding factor A,ribosome-binding factor A,Ribosome-binding factor A
SEN0687	dihydrolipoamide succinyltransferase component (E2)
BN373_34711	dihydrodipicolinate synthase
ROD_06911	ferric uptake regulation protein
ETEC_2815	16S rRNA processing protein
NCTC13441_03450	Peptidyl-prolyl cis-trans isomerase B,peptidyl-prolyl cis-trans isomerase B (rotamase B),Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
STMMW_22551	50S ribosomal protein L25
BN373_35341	serine hydroxymethyltransferase
t2139	dihydrolipoamide succinyltransferase component
SL3261_2604	RNA polymerase sigma-E factor (sigma-24)
CS17_01435	transport protein TonB,hypothetical protein,transport protein TonB,TonB family C-terminal domain,Gram-negative bacterial tonB protein
ERS227112_02522	ICORN_RH20207_annotate_bacteria_02522
SL3261_0657	conserved hypothetical protein
ETEC_1888	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
ERS227112_02832	ICORN_RH20207_annotate_bacteria_02832
SL3261_3677	ADP-heptose-LPS heptosyltransferase II
t3464	uroporphyrinogen decarboxylase
NCTC13441_02971	3-deoxy-manno-octulosonate cytidylyltransferase,3-deoxy-manno-octulosonate cytidylyltransferase,Spore coat polysaccharide biosynthesis protein, predicted glycosyltransferase,3-deoxy-D-manno-octulosonate cytidylyltransferase,Cytidylyltransferase
CS17_03667	30S ribosomal protein S9,30S ribosomal protein S9,30S ribosomal protein S9,Ribosomal protein S9,archaeal ribosomal protein S9P,Ribosomal protein S9/S16
ROD_01581	glutamate-1-semialdehyde 2,1-aminomutase
NCTC13441_00064	ADP-heptose--LPS heptosyltransferase 2,ADP-heptose:LPS heptosyltransferase II,lipopolysaccharide heptosyltransferase II,Glycosyltransferase family 9 (heptosyltransferase)
ROD_01631	MTA/SAH nucleosidase (5'-methylthioadenosine nucleosidase)
BN373_02051	ribosomal protein S6
ERS227112_03774	ICORN_RH20207_annotate_bacteria_03774
ERS227112_01780	ICORN_RH20207_annotate_bacteria_01780
SEN1815	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
SL3261_1170	adenylosuccinate lyase
ERS227112_00625	ICORN_RH20207_annotate_bacteria_00625
BN373_31931	GTP cyclohydrolase I
ERS227112_00627	ICORN_RH20207_annotate_bacteria_00627
BN373_36611	carbon storage regulator
ETEC_0743	cytochrome d ubiquinol oxidase subunit 1
ENC_37150	serine hydroxymethyltransferase
ETEC_4546	30S ribosomal subunit protein S6
STMMW_43351	30S ribosomal protein S6
NCTC13441_01524	50S ribosomal protein L25,50S ribosomal protein L25,ribosomal protein L25, Ctc-form,Ribosomal L25p family
SL3261_2325	hypothetical decarboxylase
SEN1817	adenylosuccinate lyase
t0066	dihydrodipicolinate reductase
t3808	ADP-heptose-LPS heptosyltransferase II
NCTC13441_00627	30S ribosomal protein S21,30S ribosomal protein S21,ribosomal protein S21,Ribosomal protein S21
SL1344_0121	cell division protein FtsL
STMMW_03211	phosphoheptose isomerase
CS17_04069	lipopolysaccharide heptosyltransferase 1,Lipopolysaccharide heptosyltransferase 1,ADP-heptose:LPS heptosyl transferase I,lipopolysaccharide heptosyltransferase I,Glycosyltransferase family 9 (heptosyltransferase)
STM_MW33431	30S ribosomal subunit protein S9
STM_MW36891	protein-export protein SecB
ROD_23761	glucose-specific PTS system EIIA component
ROD_09851	conserved hypothetical protein
ERS227112_02349	ICORN_RH20207_annotate_bacteria_02349
ERS227112_01830	ICORN_RH20207_annotate_bacteria_01830
BN373_06601	glutamate-1-semialdehyde-2,1-aminomutase
t0270	RNA polymerase sigma-E factor
ROD_36031	dihydroneopterin aldolase
STM_MW37011	lipopolysaccharide heptosyltransferase-1
STMMW_09981	conserved hypothetical protein
ROD_17561	TonB protein
CS17_03721	polypeptide deformylase,Peptide deformylase,peptide deformylase,N-formylmethionyl-tRNA deformylase,peptide deformylase,Polypeptide deformylase
CS17_03607	ribosome-binding factor A,hypothetical protein,ribosome-binding factor A,ribosome-binding factor A,Ribosome-binding factor A
SEN3933	50S ribosomal subunit protein L11
ENC_45370	chaperone protein DnaK
STMMW_36881	glycerol-3-phosphate dehydrogenase
ROD_01211	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase
NCTC13441_03261	Cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase, subunit II,Cytochrome oxidase subunit II
t4056	conserved hypothetical protein
SEN0691	cytochrome d ubiquinol oxidase subunit II
ETEC_0110	pyruvate dehydrogenase E1 component
SEN1762	glyceraldehyde 3-phosphate dehydrogenase A
ENC_38370	PTS system D-glucose-specific IIA component, Glc family (TC 4.A.1.1.1)
SL1344_0259	DNA polymerase III epsilon subunit
ENC_26650	Predicted redox protein, regulator of disulfide bond formation
t0370	dihydrodipicolinate synthase
CS17_04523	LexA repressor,LexA repressor,LexA repressor,repressor LexA,LexA DNA binding domain
SL3261_0413	thiamine-monophosphate kinase
ENC_46990	RIP metalloprotease RseP
SL3261_2648	16S rRNA processing protein rimM. Probable 16S rRNA processing protein rimM.
SL1344_2604	RNA polymerase sigma-E factor (sigma-24)
ERS227112_02375	ICORN_RH20207_annotate_bacteria_02375
STM_MW04891	thiamine-monophosphate kinase
CS17_04067	ADP-glyceromanno-heptose 6-epimerase RfaD,ADP-L-glycero-D-manno-heptose-6-epimerase,ADP-L-glycero-D-mannoheptose-6-epimerase,Lipid A core - O-antigen ligase and related enzymes,ADP-glyceromanno-heptose 6-epimerase,NAD dependent epimerase/dehydratase family
STMMW_04421	delta-aminolevulinic acid dehydratase
ROD_12731	glyceraldehyde 3-phosphate dehydrogenase A
BN373_09701	peptidylprolyl isomerase
BN373_40071	2-octaprenyl-6-methoxyphenol hydroxylase
STMMW_01581	pyruvate dehydrogenase E1 component
ETEC_2887	carbon storage regulator
SL3261_0065	dihydrodipicolinate reductase
STM_MW34421	conserved hypothetical protein
BN373_02061	primosomal replication protein N
SL1344_0722	cytochrome d ubiquinol oxidase subunit I
BN373_13061	dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex
t3203	ribosome-binding factor A
t4098	polypeptide deformylase
ENC_02230	ATP-dependent DNA helicase Rep
SEN1858	50S ribosomal protein L32
SL1344_4089	50S ribosomal subunit protein L1
STM_MW34411	conserved hypothetical protein
ROD_31181	carbon storage regulator
t1977	transport ATP-binding protein CydD
SL3261_4267	GroEL protein
ERS227112_03179	ICORN_RH20207_annotate_bacteria_03179
SEN3521	serine acetyltransferase
SL3261_3173	ADP-heptose synthase
SL3261_4174	LexA repressor
SL1344_2201	50s ribosomal protein L25
ENC_15020	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
ERS227112_01144	ICORN_RH20207_annotate_bacteria_01144
ENC_30630	thymidylate synthase
SEN3052	30S ribosomal subunit protein S21
STMMW_06981	lipoic acid synthetase
BN373_41271	ribosomal protein S21
SL1344_0367	delta-aminolevulinic acid dehydratase
ETEC_0700	ferric uptake regulation protein
NCTC13441_00516	Dihydropteroate synthase,dihydropteroate synthase,dihydropteroate synthase,Pterin binding enzyme
ETEC_3563	30S ribosomal subunit protein S17
SEN0605	conserved hypothetical protein
ENC_16580	sulfur relay protein, TusE/DsrC/DsvC family
ROD_05571	peptidyl-prolyl cis-trans isomerase B
ETEC_4547	primosomal replication protein N
