CS17_00008	transaldolase B,Transaldolase,transaldolase B,Transaldolase,transaldolase,Transaldolase
CS17_00135	hypoxanthine-guanine phosphoribosyltransferase,Hypoxanthine phosphoribosyltransferase,hypoxanthine phosphoribosyltransferase,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,hypoxanthine phosphoribosyltransferase,Phosphoribosyl transferase domain
CS17_00136	carbonic anhydrase 2 YadF,Carbonic anhydrase 2,carbonic anhydrase,Carbonic anhydrase,Carbonic anhydrase
CS17_00146	fimbrial-like adhesin protein,hypothetical protein,putative fimbrial protein StaF,P pilus assembly protein, pilin FimA
CS17_00152	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
CS17_00155	RNA polymerase-binding transcription factor,DnaK suppressor protein,RNA polymerase-binding transcription factor,DnaK suppressor protein,RNA polymerase-binding protein DksA,Prokaryotic dksA/traR C4-type zinc finger
CS17_00156	sugar fermentation stimulation protein,Sugar fermentation stimulation protein A,putative DNA-binding transcriptional regulator,sugar fermentation stimulation protein,Sugar fermentation stimulation protein
CS17_00159	penicillin-binding protein 1B [includes: penicillin-insensitive transglycosylase; penicillin sensitive transpeptidase
CS17_00160	ferrichrome outer membrane transporter,Ferric hydroxamate uptake,ferrichrome outer membrane transporter,Outer membrane receptor for monomeric catechols,TonB-dependent siderophore receptor,TonB dependent receptor
CS17_00164	glutamate-1-semialdehyde 2,1-aminomutase,Glutamate-1-semialdehyde 2,1-aminomutase,glutamate-1-semialdehyde aminotransferase,Glutamate-1-semialdehyde aminotransferase,glutamate-1-semialdehyde-2,1-aminomutase,Aminotransferase class-III
CS17_00166	iron-sulfur cluster insertion protein ErpA,Iron-sulfur cluster insertion protein erpA,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster assembly accessory protein,Iron-sulphur cluster biosynthesis
CS17_00169	MTA/SAH nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,MTA/SAH nucleosidase,Phosphorylase superfamily
CS17_00171	protease Do precursor,Periplasmic serine endoprotease DegP precursor,serine endoprotease,Predicted secreted protein containing a PDZ domain,peptidase Do,PDZ domain (Also known as DHR or GLGF)
CS17_00174	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase,Tetrahydrodipicolinate N-succinyltransferase,2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase,Bacterial transferase hexapeptide (six repeats)
CS17_00176	methionine aminopeptidase,Methionine aminopeptidase,methionine aminopeptidase,Xaa-Pro aminopeptidase,methionine aminopeptidase, type I,Metallopeptidase family M24
CS17_00178	30S ribosomal protein S2,30S ribosomal protein S2,30S ribosomal protein S2,Outer membrane protein/protective antigen OMA87,ribosomal protein S2,Ribosomal protein S2
CS17_00179	elongation factor Ts,Elongation factor Ts,elongation factor Ts,Translation elongation factor Ts,translation elongation factor Ts,Elongation factor TS
CS17_00180	uridylate kinase,Uridylate kinase,uridylate kinase,Uridylate kinase,UMP kinase,Amino acid kinase family
CS17_00181	ribosome recycling factor,Ribosome-releasing factor,ribosome recycling factor,Translation elongation factor Ts,ribosome recycling factor,Ribosome recycling factor
CS17_00182	1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Translation elongation factor Ts,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1-deoxy-D-xylulose 5-phosphate reductoisomerase
CS17_00183	undecaprenyl pyrophosphate synthetase,Undecaprenyl pyrophosphate synthase,undecaprenyl pyrophosphate synthase,Undecaprenyl pyrophosphate synthase,di-trans,poly-cis-decaprenylcistransferase,Putative undecaprenyl diphosphate synthase
CS17_00184	hypothetical protein
CS17_00185	CDP-diglyceride synthase,Phosphatidate cytidylyltransferase,CDP-diglyceride synthase,Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase,Cytidylyltransferase family
CS17_00186	zinc metallopeptidase RseP,Regulator of sigma E protease,zinc metallopeptidase RseP,Translation elongation factor Ts,RIP metalloprotease RseP,Peptidase family M50
CS17_00187	outer membrane protein assembly factor,Omp85,outer membrane protein assembly factor YaeT,Outer membrane protein/protective antigen OMA87,outer membrane protein assembly complex, YaeT protein,Surface antigen
CS17_00189	UDP-3-O-[3-hydroxymyristoyl
CS17_00190	(3R)-hydroxymyristoyl-ACP dehydratase,(3R)-hydroxymyristoyl-[acyl-carrier-protein
CS17_00191	acyl-[acyl-carrier-protein
CS17_00192	lipid-A-disaccharide synthase,Lipid-A-disaccharide synthase,lipid-A-disaccharide synthase,Predicted membrane protein,lipid-A-disaccharide synthase,Lipid-A-disaccharide synthetase
CS17_00194	DNA polymerase III subunit alpha,DNA polymerase III subunit alpha,DNA polymerase III subunit alpha,DNA polymerase III, alpha subunit,Bacterial DNA polymerase III alpha subunit
CS17_00195	acetyl-CoA carboxylase,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,acetyl-CoA carboxylase carboxyltransferase subunit alpha,Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta),acetyl-CoA carboxylase, carboxyl transferase, alpha subunit,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
CS17_00198	tRNA(Ile)-lysidine synthetase,tRNA(Ile)-lysidine synthase,tRNA(Ile)-lysidine synthetase,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,tRNA(Ile)-lysidine synthetase,PP-loop family
CS17_00205	prolyl-tRNA synthetase,Proline--tRNA ligase,prolyl-tRNA synthetase,Prolyl-tRNA synthetase,proline--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
CS17_00206	methyltransferase,hypothetical protein,putative methyltransferase, YaeB/AF_0241 family,Uncharacterised protein family UPF0066
CS17_00207	RcsF--phosphorelay glucose and zinc sensor,hypothetical protein,outer membrane lipoprotein
CS17_00208	D-methionine-binding transport system MetQ precursor,D-methionine-binding lipoprotein metQ precursor,DL-methionine transporter substrate-binding subunit,ABC-type taurine transport system, periplasmic component,lipoprotein, YaeC family,NLPA lipoprotein
CS17_00209	D-methionine ABC transporter permease,D-methionine transport system permease protein metI,DL-methionine transporter permease subunit,ABC-type phosphate/phosphonate transport system, permease component,phosphonate ABC transporter, permease protein PhnE,Binding-protein-dependent transport system inner membrane component
CS17_00210	D-methionine ABC transporter ATP-binding protein,Methionine import ATP-binding protein MetN,DL-methionine transporter ATP-binding subunit,ABC-type proline/glycine betaine transport system, ATPase component,D-methionine ABC transporter, ATP-binding protein,ABC transporter
CS17_00212	hypothetical protein
CS17_00225	DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,DNA polymerase III subunit epsilon,exonuclease, DNA polymerase III, epsilon subunit family,Exonuclease
CS17_00228	hypothetical protein
CS17_00229	Inner membrane protein yafU
CS17_00230	Hcp-like protein,Secreted protein hcp,Hemolysin-coregulated protein (uncharacterized),type VI secretion system effector, Hcp1 family,Protein of unknown function (DUF796)
CS17_00234	inhibitor of vertebrate lysozyme precursor,Inhibitor of vertebrate lysozyme precursor,C-lysozyme inhibitor,Inhibitor of vertebrate lysozyme (Ivy)
CS17_00236	phosphoheptose isomerase,Phosphoheptose isomerase,phosphoheptose isomerase,Uncharacterized protein containing SIS (Sugar ISomerase) phosphosugar binding domain,phosphoheptose isomerase,SIS domain
CS17_00238	membrane protein,Uncharacterized protein conserved in bacteria,L,D-transpeptidase catalytic domain
CS17_00244	putative acetyltransferase,putative acyltransferase,Acetyltransferase (GNAT) family
CS17_00250	sigma factor-binding protein crl (curlin genes transcriptional activator),Curlin genes transcriptional activatory protein,DNA-binding transcriptional regulator Crl,Transcriptional regulator Crl
CS17_00255	hypothetical protein
CS17_00256	hypothetical protein
CS17_00257	putative AlpA-family regulatory protein from prophage,Predicted transcriptional regulator,Prophage CP4-57 regulatory protein (AlpA)
CS17_00258	putative prophage protein
CS17_00259	putative prophage protein
CS17_00262	hypothetical protein
CS17_00263	DNA protecting protein DprA,hypothetical protein,hypothetical protein,DNA protecting protein DprA,DNA recombination-mediator protein A
CS17_00275	hypothetical protein
CS17_00279	IS2 ORF2,insertion element IS2 transposase InsD
CS17_00280	IS2 ORF2,insertion element IS2 transposase InsD
CS17_00285	type I restriction-modification enzyme, S subunit,Type I restriction enzyme specificity protein MPN_089,EcoKI restriction-modification system protein HsdS,Type I restriction modification DNA specificity domain
CS17_00288	hypothetical protein
CS17_00310	phage integrase,Prophage CP4-57 integrase,integrase,Site-specific recombinase XerD,Phage integrase family
CS17_00313	UvrD/REP helicase,ATP-dependent DNA helicase pcrA,DNA-dependent helicase II,ATP-dependent DNA helicase PcrA,UvrD/REP helicase
CS17_00332	integral membrane protein,Inner membrane protein yagU,Predicted periplasmic/secreted protein,Protein of unknown function (DUF1440)
CS17_00339	putative fimbrial transcriptional regulator,Bacterial regulatory proteins, luxR family
CS17_00342	small predicted membrane protein,Uncharacterized membrane protein ykgR
CS17_00344	hypothetical protein
CS17_00345	Putatve transcriptional regulator ykgA,Right origin-binding protein,right oriC-binding transcriptional activator,DNA gyrase inhibitor,YSIRK-targeted surface antigen transcriptional regulator,Helix-turn-helix domain
CS17_00346	inner membrane protein,Inner membrane protein ykgB,Predicted membrane protein,Protein of unknown function, DUF417
CS17_00352	inner membrane protein
CS17_00367	protein
CS17_00400	LmbE-like protein,Uncharacterized proteins, LmbE homologs,bacillithiol biosynthesis deacetylase BshB1,GlcNAc-PI de-N-acetylase
CS17_00405	delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase,Delta-aminolevulinic acid dehydratase
CS17_00407	DNA-binding transcriptional regulator,putative DNA-binding transcriptional regulator
CS17_00421	protein,hypothetical protein,hypothetical protein
CS17_00423	conserved protein, UPF0345 family,hypothetical protein,hypothetical protein,Uncharacterized protein conserved in bacteria,Protein of unknown function (DUF1255)
CS17_00438	protein-export protein,hypothetical protein,preprotein translocase subunit SecD,Predicted exporter,protein-export membrane protein SecD,Protein export membrane protein
CS17_00439	preprotein translocase subunit SecF,hypothetical protein,preprotein translocase subunit SecF,protein-export membrane protein SecF,Protein export membrane protein
CS17_00444	riboflavin biosynthesis protein,Riboflavin biosynthesis protein RibD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,Pyrimidine deaminase,riboflavin biosynthesis protein RibD,RibD C-terminal domain
CS17_00445	6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase,6,7-dimethyl-8-ribityllumazine synthase
CS17_00446	N utilization substance protein B,N utilization substance protein B,transcription antitermination protein NusB,transcription antitermination factor NusB,NusB family
CS17_00447	thiamine-monophosphate kinase,Thiamine-monophosphate kinase,thiamine monophosphate kinase,Hydrogenase maturation factor,thiamine-monophosphate kinase,AIR synthase related protein, N-terminal domain
CS17_00451	1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, C-terminal subunit,1-deoxy-D-xylulose-5-phosphate synthase,Transketolase, pyrimidine binding domain
CS17_00452	geranyltranstransferase,Farnesyl diphosphate synthase,geranyltranstransferase,Geranylgeranyl pyrophosphate synthase,heptaprenyl diphosphate synthase component II,Polyprenyl synthetase
CS17_00463	cytochrome o ubiquinol oxidase subunit II,Ubiquinol oxidase subunit 2 precursor,cytochrome o ubiquinol oxidase subunit II,ubiquinol oxidase, subunit II,COX Aromatic Rich Motif
CS17_00465	lipoprotein YajG precursor,hypothetical protein,Uncharacterized lipoprotein,Uncharacterized lipoprotein
CS17_00466	putative transcriptional regulator,hypothetical protein,transcriptional regulator BolA,Predicted transcriptional regulator, BolA superfamily,BolA-like protein
CS17_00467	trigger factor,Trigger factor,trigger factor,FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor),trigger factor,Bacterial trigger factor protein (TF)
CS17_00468	ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit precursor,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp endopeptidase, proteolytic subunit ClpP,Clp protease
CS17_00472	DNA-binding protein HU,NS1,transcriptional regulator HU subunit beta,integration host factor, beta subunit,Bacterial DNA-binding protein
CS17_00491	maltose O-acetyltransferase,Maltose O-acetyltransferase,maltose O-acetyltransferase,Acetyltransferase (isoleucine patch superfamily),sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family,Maltose acetyltransferase
CS17_00492	hemolysin expression-modulating protein,Hemolysin expression-modulating protein Hha,gene expression modulator,Haemolysin expression modulating protein
CS17_00493	putative cytoplasmic protein,Toxin overexpression modulator in biofilms,Hha toxicity attenuator,Biofilm formation regulator YbaJ
CS17_00496	acrAB operon repressor,Potential acrAB operon repressor,DNA-binding transcriptional repressor AcrR,mycofactocin system transcriptional regulator,MAATS-type transcriptional repressor, C-terminal region
CS17_00506	adenylate kinase,Adenylate kinase,adenylate kinase,adenylate kinase,Adenylate kinase
CS17_00507	ferrochelatase,Ferrochelatase,ferrochelatase,Sugar diacid utilization regulator,ferrochelatase,Ferrochelatase
CS17_00534	hydroxypyruvate isomerase,Hydroxypyruvate isomerase,hydroxypyruvate isomerase,Hydroxypyruvate isomerase,hydroxypyruvate isomerase,Xylose isomerase-like TIM barrel
CS17_00536	putative allantoin permease,Allantoin transport protein,allantoin permease,NCS1 nucleoside transporter family,Permease for cytosine/purines, uracil, thiamine, allantoin
CS17_00550	UDP-2,3-diacylglucosamine hydrolase,UDP-2,3-diacylglucosamine hydrolase,UDP-2,3-diacylglucosamine hydrolase,Uncharacterized protein conserved in bacteria,UDP-2,3-diacylglucosamine hydrolase,Calcineurin-like phosphoesterase superfamily domain
CS17_00552	cysteinyl-tRNA synthetase,Cysteine--tRNA ligase,cysteinyl-tRNA synthetase,Cysteinyl-tRNA synthetase,cysteine--tRNA ligase,tRNA synthetases class I (C) catalytic domain
CS17_00555	5,10-methylene-tetrahydrofolate dehydrogenase,Bifunctional protein FolD,bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase,Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
CS17_00556	fimbrial-like protein,Type-1A pilin,type-1 fimbrial protein subunit A,P pilus assembly protein, pilin FimA,Fimbrial protein
CS17_00557	fimbrial chaperone,Chaperone protein fimC precursor,fimbrial chaperone protein FimC,Gram-negative pili assembly chaperone, N-terminal domain
CS17_00559	fimbrial protein,fimbrial-like adhesin,P pilus assembly protein, pilin FimA
CS17_00567	H repeat-associated protein,Transposase,Transposase DDE domain
CS17_00569	hypothetical protein
CS17_00577	cation efflux system protein,Cation efflux system protein CusF precursor,periplasmic copper-binding protein,Uncharacterized conserved protein,Copper binding periplasmic protein CusF
CS17_00581	putative mechanosensitive ion channel protein,Miniconductance mechanosensitive channel,Mechanosensitive ion channel
CS17_00611	alkyl hydroperoxide reductase subunit C,Alkyl hydroperoxide reductase subunit C,alkyl hydroperoxide reductase subunit C,peroxiredoxin,AhpC/TSA family
CS17_00612	alkyl hydroperoxide reductase,Alkyl hydroperoxide reductase subunit F,alkyl hydroperoxide reductase subunit F,Alkyl hydroperoxide reductase, large subunit,alkyl hydroperoxide reductase, F subunit,Pyridine nucleotide-disulphide oxidoreductase
CS17_00613	universal stress protein UspG,Universal stress protein G,universal stress protein UspG,Universal stress protein family
CS17_00634	lipoyl synthase LipA,Lipoyl synthase,lipoyl synthase,lipoyl synthase,Radical SAM superfamily
CS17_00640	rod shape-determining protein RodA,Rod shape-determining protein RodA,cell wall shape-determining protein,rod shape-determining protein RodA,Cell cycle protein
CS17_00641	penicillin-binding protein 2,Peptidoglycan synthase FtsI precursor,penicillin-binding protein 2,Membrane carboxypeptidase/penicillin-binding protein,penicillin-binding protein 2,Penicillin binding protein transpeptidase domain
CS17_00645	nicotinic acid mononucleotide adenylyltransferase,Nicotinate-nucleotide adenylyltransferase,nicotinic acid mononucleotide adenylyltransferase,nicotinate (nicotinamide) nucleotide adenylyltransferase,Cytidylyltransferase
CS17_00646	DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA polymerase III subunit delta,DNA polymerase III, delta subunit,DNA polymerase III, delta subunit
CS17_00647	rare lipoprotein B,Rare lipoprotein B,LPS-assembly lipoprotein RlpB,Lipopolysaccharide-assembly
CS17_00648	leucyl-tRNA synthetase,Leucine--tRNA ligase,leucyl-tRNA synthetase,Leucyl-tRNA synthetase,leucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
CS17_00651	protein,Protein of unknown function (DUF1266)
CS17_00663	apolipoprotein N-acyltransferase,Apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,apolipoprotein N-acyltransferase,Carbon-nitrogen hydrolase
CS17_00665	metalloprotease,Probable rRNA maturation factor YbeY,metal-binding heat shock protein,metalloprotein, YbeY/UPF0054 family,Uncharacterized protein family UPF0054
CS17_00682	glutaminyl-tRNA synthetase,Glutamine--tRNA ligase,glutaminyl-tRNA synthetase,Glutamyl- and glutaminyl-tRNA synthetases,glutamine--tRNA ligase,tRNA synthetases class I (E and Q), catalytic domain
CS17_00686	flavodoxin 1,Flavodoxin-1,flavodoxin FldA,Flavodoxin,flavodoxin,Flavodoxin
CS17_00701	protein
CS17_00702	IS1 transposase,IS1 transposase
CS17_00703	IS1 transposase,Transposase and inactivated derivatives,InsA C-terminal domain
CS17_00704	H repeat-associated protein,Transposase,Transposase DDE domain
CS17_00717	putative fimbrial-like adhesin protein,Fimbria A protein precursor,putative fimbrial protein,P pilus assembly protein, pilin FimA,Fimbrial protein
CS17_00724	2-oxoglutarate dehydrogenase E1 component,2-oxoglutarate dehydrogenase E1 component,2-oxoglutarate dehydrogenase E1 component,oxoglutarate dehydrogenase (succinyl-transferring), E1 component,Transketolase, pyrimidine binding domain
CS17_00725	dihydrolipoamide succinyltransferase component (E2),Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,dihydrolipoamide succinyltransferase,Acetyl/propionyl-CoA carboxylase, alpha subunit,dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex,2-oxoacid dehydrogenases acyltransferase (catalytic domain)
CS17_00731	cytochrome d ubiquinol oxidase subunit 1,Cytochrome d ubiquinol oxidase subunit 1,cytochrome d terminal oxidase subunit 1,Bacterial Cytochrome Ubiquinol Oxidase
CS17_00732	cytochrome d ubiquinol oxidase subunit 2,Cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase subunit 2,cytochrome d ubiquinol oxidase, subunit II,Cytochrome oxidase subunit II
CS17_00733	cyd operon protein YbgT,hypothetical protein,Predicted outer membrane lipoprotein,cyd operon protein YbgT,Membrane bound YbgT-like protein
CS17_00752	putative homeobox protein
CS17_00768	IS1 transposase,Transposase and inactivated derivatives,InsA C-terminal domain
CS17_00769	IS1 transposase,IS1 transposase
CS17_00787	hypothetical protein
CS17_00788	putative peptidase m, neutral zinc metallopeptidases, zinc-binding site; protein,Domain of unknown function (DUF955)
CS17_00789	Regulatory protein CI from bacteriophage origin,Uncharacterized HTH-type transcriptional regulator HI_1476,LexA repressor,Peptidase S24-like
CS17_00795	hypothetical protein
CS17_00803	outer membrane porin; DLP12 prophage,Outer membrane porin protein OmpD precursor,outer membrane porin protein C,Outer membrane protein (porin),Gram-negative porin
CS17_00813	Head decoration protein from bacteriophage origin,Bacteriophage lambda head decoration protein D
CS17_00831	membrane protein,Inner membrane protein YeaI,putative diguanylate cyclase YedQ,Response regulator containing a CheY-like receiver domain and a GGDEF domain,diguanylate cyclase (GGDEF) domain,GGDEF domain
CS17_00871	DNA starvation/stationary phase protection protein Dps,DNA protection during starvation protein,DNA starvation/stationary phase protection protein Dps,Ferritin-like domain
CS17_00873	outer membrane protein X,Outer membrane protein X precursor,outer membrane protein X,Opacity protein and related surface antigens,Enterobacterial Ail/Lom protein
CS17_00875	Mn(2)-response protein, MntR-repressed
CS17_00878	L,D-transpeptidase,Probable L,D-transpeptidase YbiS precursor,L,D-transpeptidase,L,D-transpeptidase catalytic domain
CS17_00880	IS621, transposase,Transposase IS116/IS110/IS902 family
CS17_00903	protein
CS17_00909	inner membrane protein YbjM,Inner membrane protein ybjM,Putative inner membrane protein of Enterobacteriaceae
CS17_00946	translation initiation factor IF-1,Translation initiation factor IF-1,translation initiation factor IF-1,translation initiation factor IF-1,Translation initiation factor 1A / IF-1
CS17_00948	ABC transporter ATP-binding protein/permease,Lipid A export ATP-binding/permease protein MsbA,cysteine/glutathione ABC transporter membrane/ATP-binding component,ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components,thiol reductant ABC exporter, CydC subunit,ABC transporter
