EMBL_ACC	LEN_(MB)	LEN_(BPs)	NUM_GENES	GC_CONTENT	NCBI_TAXONOMY	SPECIES_NAME	DESCRIPTION
AE014075.1	5.2MB	5231428	1319228	0.50	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Escherichia.	Escherichia coli CFT073	Escherichia coli CFT073, complete genome.
AE014133.2	2.0MB	2032925	371780	0.37	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.	Streptococcus mutans UA159	Streptococcus mutans UA159, complete genome.
AE014184.1	0.9MB	927303	213258	0.46	Bacteria; Actinobacteria; Micrococcales; Tropheryma.	Tropheryma whipplei str. Twist	Tropheryma whipplei str. Twist, complete genome.
AE014291.4	2.1MB	2107794	600995	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella suis 1330	Brucella suis 1330 chromosome I, complete sequence.
AE014292.2	1.2MB	1207381	344944	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella suis 1330	Brucella suis 1330 chromosome II, complete sequence.
AE014295.3	2.3MB	2256640	678421	0.60	Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae;Bifidobacterium.	Bifidobacterium longum NCC2705	Bifidobacterium longum NCC2705, complete genome.
AE014299.2	5.0MB	4969811	1143548	0.46	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales;Shewanellaceae; Shewanella.	Shewanella oneidensis MR-1	Shewanella oneidensis MR-1, complete genome.
AE014613.1	4.8MB	4791961	1250672	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Typhi str. Ty2	Salmonella enterica subsp. enterica serovar Typhi Ty2, complete genome.
AE015450.2	1.0MB	1012800	159490	0.31	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma gallisepticum str. R(low)	Mycoplasma gallisepticum str. R(low), complete genome.
AE015451.1	6.2MB	6181873	1913391	0.62	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	Pseudomonas putida KT2440	Pseudomonas putida KT2440 complete genome.
AE015924.1	2.3MB	2343476	567276	0.48	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae;Porphyromonas.	Porphyromonas gingivalis W83	Porphyromonas gingivalis W83, complete genome.
AE015925.1	1.2MB	1173390	229757	0.39	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae;Chlamydia/Chlamydophila group; Chlamydophila.	Chlamydophila caviae GPIC	Chlamydophila caviae GPIC, complete genome.
AE015927.1	2.8MB	2799251	394694	0.29	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae;Clostridium.	Clostridium tetani E88	Clostridium tetani E88, complete genome.
AE015928.1	6.3MB	6260361	1345482	0.43	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae;Bacteroides.	Bacteroides thetaiotaomicron VPI-5482	Bacteroides thetaiotaomicron VPI-5482, complete genome.
AE015929.1	2.5MB	2499279	396707	0.32	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae;Staphylococcus.	Staphylococcus epidermidis ATCC 12228	Staphylococcus epidermidis ATCC 12228, complete genome.
AE016795.3	3.3MB	3281866	765292	0.46	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio vulnificus CMCP6	Vibrio vulnificus CMCP6 chromosome I, complete sequence.
AE016796.2	1.8MB	1844830	434314	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae;Vibrio.	Vibrio vulnificus CMCP6	Vibrio vulnificus CMCP6 chromosome II, complete sequence.
AE016822.1	2.6MB	2584158	874000	0.68	Bacteria; Actinobacteria; Micrococcales; Microbacteriaceae; Leifsonia.	Leifsonia xyli subsp. xyli str. CTCB07	Leifsonia xyli subsp. xyli str. CTCB07, complete genome.
AE016823.1	4.3MB	4277185	747263	0.35	Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira.	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130, chromosome
AE016824.1	0.4MB	350181	61604	0.35	Bacteria; Spirochaetes; Leptospirales; Leptospiraceae; Leptospira.	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130, chromosome
AE016825.1	4.8MB	4751080	1539977	0.65	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales;Chromobacteriaceae; Chromobacterium.	Chromobacterium violaceum ATCC 12472	Chromobacterium violaceum ATCC 12472, complete genome.
AE016826.1	0.6MB	615980	78130	0.25	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Buchnera.	Buchnera aphidicola str. Bp (Baizongia pistaciae)	Buchnera aphidicola str. Bp (Baizongia pistaciae), complete genome.
AE016827.1	2.3MB	2314078	487814	0.43	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Basfia.	Mannheimia succiniciproducens MBEL55E	Mannheimia succiniciproducens MBEL55E, complete genome.
AE016828.2	2.0MB	1995281	425722	0.43	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales; Coxiellaceae;Coxiella.	Coxiella burnetii RSA 493	Coxiella burnetii RSA 493, complete genome.
AE016830.1	3.2MB	3218031	602036	0.38	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae;Enterococcus.	Enterococcus faecalis V583	Enterococcus faecalis V583, complete genome.
AE016853.1	6.4MB	6397126	1866317	0.58	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas.	[Pseudomonas syringae] pv. tomato str. DC3000	Pseudomonas syringae pv. tomato str. DC3000, complete genome.
AE016877.1	5.4MB	5411809	955639	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus cereus ATCC 14579	Bacillus cereus ATCC 14579, complete genome.
AE016879.1	5.2MB	5227293	919244	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus anthracis str. Ames	Bacillus anthracis str. Ames, complete genome.
AE016958.1	4.8MB	4829781	1671200	0.69	Bacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae;Mycobacterium; Mycobacterium avium complex (MAC).	Mycobacterium avium subsp. paratuberculosis K-10	Mycobacterium avium subsp. paratuberculosis str. k10, complete genome.
AE017042.1	4.6MB	4595065	1098200	0.48	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Yersinia.	Yersinia pestis biovar Microtus str. 91001	Yersinia pestis biovar Microtus str. 91001, complete genome.
AE017125.1	1.8MB	1799146	318316	0.36	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales;Helicobacteraceae; Helicobacter.	Helicobacter hepaticus ATCC 51449	Helicobacter hepaticus ATCC 51449, complete genome.
AE017126.1	1.8MB	1751080	319531	0.36	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus.	Prochlorococcus marinus subsp. marinus str. CCMP1375	Prochlorococcus marinus subsp. marinus str. CCMP1375 complete genome.
AE017143.1	1.7MB	1698955	334825	0.38	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales;Pasteurellaceae; Haemophilus.	Haemophilus ducreyi 35000HP	Haemophilus ducreyi strain 35000HP complete genome.
AE017180.2	3.8MB	3814128	1164291	0.61	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales;Geobacteraceae; Geobacter.	Geobacter sulfurreducens PCA	Geobacter sulfurreducens PCA, complete genome.
AE017194.1	5.2MB	5224283	930859	0.36	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus cereus ATCC 10987	Bacillus cereus ATCC 10987, complete genome.
AE017196.1	1.3MB	1267782	222390	0.35	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Wolbachieae; Wolbachia.	Wolbachia endosymbiont of Drosophila melanogaster	Wolbachia endosymbiont of Drosophila melanogaster, complete genome.
AE017197.1	1.1MB	1111496	158477	0.29	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Rickettsiaceae; Rickettsieae; Rickettsia; typhus group.	Rickettsia typhi str. Wilmington	Rickettsia typhi str. Wilmington, complete genome.
AE017198.1	2.0MB	1992676	348685	0.35	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae;Lactobacillus.	Lactobacillus johnsonii NCC 533	Lactobacillus johnsonii NCC 533, complete genome.
AE017220.1	4.8MB	4755700	1241357	0.52	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales;Enterobacteriaceae; Salmonella.	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,
AE017221.1	1.9MB	1894877	659053	0.69	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	Thermus thermophilus HB27	Thermus thermophilus HB27, complete genome.
AE017223.1	2.1MB	2124241	605258	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella abortus bv. 1 str. 9-941	Brucella abortus biovar 1 str. 9-941 chromosome I, complete sequence.
AE017224.1	1.2MB	1162204	335707	0.57	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae;Brucella.	Brucella abortus bv. 1 str. 9-941	Brucella abortus biovar 1 str. 9-941 chromosome II, complete sequence.
AE017225.1	5.2MB	5228663	919481	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus anthracis str. Sterne	Bacillus anthracis str. Sterne, complete genome.
AE017226.1	2.8MB	2843201	533662	0.38	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	Treponema denticola ATCC 35405	Treponema denticola ATCC 35405, complete genome.
AE017243.1	0.9MB	897405	128057	0.29	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma hyopneumoniae J	Mycoplasma hyopneumoniae J, complete genome.
AE017244.1	0.9MB	920079	130792	0.28	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma hyopneumoniae 7448	Mycoplasma hyopneumoniae 7448, complete genome.
AE017245.1	0.8MB	799476	113775	0.28	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma synoviae 53	Mycoplasma synoviae 53, complete genome.
AE017262.2	2.9MB	2905187	549039	0.38	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria.	Listeria monocytogenes serotype 4b str. F2365	Listeria monocytogenes str. 4b F2365, complete genome.
AE017263.1	0.8MB	793224	106590	0.27	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae;Mesoplasma.	Mesoplasma florum L1	Mesoplasma florum L1 complete genome.
AE017282.2	3.3MB	3304561	1047576	0.64	Bacteria; Proteobacteria; Gammaproteobacteria; Methylococcales;Methylococcaceae; Methylococcus.	Methylococcus capsulatus str. Bath	Methylococcus capsulatus str. Bath, complete genome.
AE017283.1	2.6MB	2560265	767341	0.60	Bacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae;Propionibacterium.	Propionibacterium acnes KPA171202	Propionibacterium acnes KPA171202, complete genome.
AE017285.1	3.6MB	3570858	1127109	0.63	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales;Desulfovibrionaceae; Desulfovibrio.	Desulfovibrio vulgaris str. Hildenborough	Desulfovibrio vulgaris subsp. vulgaris str. Hildenborough, complete genome.
AE017308.1	0.8MB	777079	96568	0.25	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma mobile 163K	Mycoplasma mobile 163K complete genome.
AE017321.1	1.1MB	1080084	178291	0.34	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales;Anaplasmataceae; Wolbachieae; Wolbachia.	Wolbachia endosymbiont strain TRS of Brugia malayi	Wolbachia endosymbiont strain TRS of Brugia malayi, complete genome.
AE017332.1	0.9MB	892758	127383	0.29	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	Mycoplasma hyopneumoniae 232	Mycoplasma hyopneumoniae 232, complete genome.
AE017333.1	4.2MB	4222645	975544	0.46	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus licheniformis DSM 13 = ATCC 14580	Bacillus licheniformis DSM 13 = ATCC 14580, complete genome.
AE017334.2	5.2MB	5227419	919269	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	Bacillus anthracis str. 'Ames Ancestor'	Bacillus anthracis str. 'Ames Ancestor', complete genome.
AE017340.1	2.8MB	2839318	648501	0.47	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales;Idiomarinaceae; Idiomarina.	Idiomarina loihiensis L2TR	Idiomarina loihiensis L2TR, complete genome.
AE017354.1	3.4MB	3397754	651691	0.38	Bacteria; Proteobacteria; Gammaproteobacteria; Legionellales;Legionellaceae; Legionella.	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1, complete
AE017355.1	5.2MB	5237682	923133	0.35	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus;Bacillus cereus group.	[Bacillus thuringiensis] serovar konkukian str. 97-27	Bacillus thuringiensis serovar konkukian str. 97-27, complete genome.
AF222894.1	0.8MB	751719	97293	0.25	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Ureaplasma.	Ureaplasma parvum serovar 3 str. ATCC 700970	Ureaplasma parvum serovar 3 str. ATCC 700970, complete genome.
