Gene	Product	log(ii/essentiality_threshold)														Locus tag														Number of copies of gene in the genome														path_id	path_name
		Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Enterobacter.cloacae.NCTC.9394	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
ftsX	cell division protein FtsX	1.3772580515	1.3118198424	1.8897183325	2.3068584041	-0.8027286125	-0.5844494971	-1.2545999105	-4.5	1.0893633344	-0.7089074128	2.3212008358	2.1406199518	2.4310777906	-4.5	ENC_26540	BN373_44631	ERS227112_00757	ROD_43591	SL1344_3534	SL3261_3534	STMMW_35581	STM_MW35581	SEN3392	t3953	EC958_3856	NCTC13441_00238	BW25113_3462	b3462	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02010	ABC transporters 
lolC	lipoprotein releasing system, transmembrane protein, LolC/E family	-4.5	-0.9866897838	-4.5	-4.5	-4.5	-4.5	-1.7409661438	-0.5910035732	-1.1362124527	-0.9363472917	-4.5	-4.5	-4.5	-4.5	ENC_15220	BN373_17271	ERS227112_03591	ROD_11831	SL1344_1154	SL3261_1154	STMMW_12261	STM_MW12261	SEN1832	t1703	EC958_1313	NCTC13441_02796	BW25113_1116	b1116	1	2	2	2	2	2	2	2	2	2	2	2	2	2	eco02010	ABC transporters 
lolD	lipoprotein releasing system, ATP-binding protein	-4.5	-4.5	-4.5	-4.5	-1.7235850485	-4.5	-1.1132815331	-4.5	-1.2934653313	-4.5	-0.8870961405	-4.5	-4.5	-4.5	ENC_15210	BN373_17281	ERS227112_03592	ROD_11841	SL1344_1155	SL3261_1155	STMMW_12271	STM_MW12271	SEN1831	t1702	EC958_1314	NCTC13441_02795	BW25113_1117	b1117	54	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
lolE	ABC-type transport system, involved in lipoprotein release, permease component	-4.5	-4.5	-4.5	-4.5	-4.5	-0.4115453487	-4.5	-4.5	-1.4590360911	-1.9798268086	-2.1488020079	-4.5	-4.5	-4.5	ENC_15200	BN373_17291	ERS227112_03593	ROD_11851	SL1344_1156	SL3261_1156	STMMW_12281	STM_MW12281	SEN1830	t1701	EC958_1315	NCTC13441_02794	BW25113_1118	b1118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	eco02010	ABC transporters 
lptB	ABC-type (unclassified) transport system, ATPase component	-4.5	-1.2711721993	-4.5	-1.6289314003	-4.5	-2.153944324	-1.2477665123	-4.5	-1.0499903173	-4.5	-0.5624987819	-4.5	-4.5	-4.5	ENC_34380	BN373_42611	ERS227112_00987	ROD_46191	SL1344_3291	SL3261_3291	STMMW_33181	STM_MW33181	SEN3152	t3236	EC958_3601	NCTC13441_00491	BW25113_3201	b3201	54	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
lptF	Lipopolysaccharide export system permease protein LptF	-4.5	-4.5	-4.5	-0.9057807551	-2.4779508532	-2.4960788999	-0.7303682671	-4.5	-0.9379717751	-4.5	-1.9858337273	-4.5	-4.5	-4.5	ENC_415added	BN373_02831	ERS227112_02148	ROD_33271	SL1344_4409	SL3261_4409	STMMW_44251	STM_MW44251	SEN4232	t4513	EC958_4756	NCTC13441_04187	BW25113_4261	b4261	3	2	2	2	2	2	2	2	2	2	6	6	4	4	eco02010	ABC transporters 
lptG	Predicted permeases	-4.5	-0.997206266	-1.9841648262	-1.9889273541	-2.4811566422	-4.5	-0.9381891967	-4.5	-1.2592345321	-4.5	-1.568014412	-4.5	-4.5	-4.5	ENC_34480	BN373_02841	ERS227112_02149	ROD_33281	SL1344_4410	SL3261_4410	STMMW_44261	STM_MW44261	SEN4233	t4514	EC958_4757	NCTC13441_04186	BW25113_4262	b4262	2	1	1	1	1	1	1	1	1	1	4	4	3	3	eco02010	ABC transporters 
lsrC	autoinducer 2 ABC transporter membrane protein	2.4109316227	2.2095232756	1.4778471797	X	2.3677635777	2.3042408718	2.3099464865	2.5973588096	2.1327196817	2.5468888898	X	X	-0.1505328506	4.5	ENC_33380	BN373_41681	ERS227112_01099	X	SL1344_4024	SL3261_4024	STMMW_40401	STM_MW40401	SEN3865	t3543	X	X	BW25113_1514	b1514	12	20	19	10	4	4	4	4	4	4	9	10	10	10	eco02010	ABC transporters 
msbA	lipid A export permease/ATP-binding protein MsbA	-4.5	-1.5042451009	-4.5	-4.5	-2.8477834539	-4.5	-2.3672158902	-1.4929688519	-1.1939689498	-4.5	-4.5	-2.1401649581	-1.8049502862	-4.5	ENC_17690	BN373_15571	ERS227112_03429	ROD_09821	SL1344_0921	SL3261_0921	STMMW_09951	STM_MW09951	SEN0888	t1950	EC958_1124	NCTC13441_02975	BW25113_0914	b0914	25	32	35	29	20	20	19	19	20	19	27	27	24	24	eco02010	ABC transporters 
pstB	phosphate ABC transporter ATP-binding protein, PhoT family (TC 3.A.1.7.1)	2.2126741828	2.298588309	-4.5	2.4548052667	2.6963542808	2.3672330273	2.6511497129	2.448995483	2.5043204864	1.9074824381	0.9259330239	0.6308105345	2.061899945	4.5	ENC_04060	BN373_47661	ERS227112_00453	ROD_40161	SL1344_3821	SL3261_3821	STMMW_38391	STM_MW38391	SEN3668	t3669	EC958_4198	NCTC13441_04792	BW25113_3725	b3725	54	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
pstC	phosphate ABC transporter membrane protein 1, PhoT family (TC 3.A.1.7.1)	1.7869021206	2.2698573845	-0.8485881054	2.1208544931	2.7431164506	2.1776894693	2.6320493284	2.5718273055	2.2987418414	1.4258577501	1.5516526379	1.0095444293	2.0169117924	4.5	ENC_04080	BN373_47681	ERS227112_00451	ROD_40141	SL1344_3823	SL3261_3823	STMMW_38411	STM_MW38411	SEN3670	t3667	EC958_4200	NCTC13441_04790	BW25113_3727	b3727	2	4	4	6	1	1	1	2	1	1	6	5	5	5	eco02010	ABC transporters 
pstS	phosphate ABC transporter substrate-binding protein, PhoT family (TC 3.A.1.7.1)	2.0783660339	2.1869361764	-0.0914103148	2.3860308971	2.6899828284	2.5002719721	2.6747006291	2.4882764225	2.3269254405	1.8907048284	1.5358165613	1.6418689799	1.9769786084	4.5	ENC_04090	BN373_47691	ERS227112_00450	ROD_40131	SL1344_3824	SL3261_3824	STMMW_38421	STM_MW38421	SEN3671	t3666	EC958_4201	NCTC13441_04789	BW25113_3728	b3728	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02010	ABC transporters 
znuC	high-affinity zinc uptake ABC transporter, ATP-binding protein	X	2.1734623788	1.7451630544	2.0356831277	2.1176586922	2.307706384	1.2761747857	-0.1696073246	1.7956892415	1.5828750768	2.4136698859	1.8316049558	2.2204924983	4.5	X	BN373_29591	ERS227112_04288	ROD_18991	SL1344_1826	SL3261_1826	STMMW_18731	STM_MW18731	SEN1111	t0985	EC958_2079	NCTC13441_02025	BW25113_1858	b1858	54	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
rfbA	Glucose-1-phosphate thymidylyltransferase	-1.7440505401	2.4480387805	2.6256323999	2.3943146862	X	X	X	X	X	2.1395183595	2.4890654419	2.2581824709	2.2242657844	4.5	ENC_41270	BN373_49171	ERS227112_01759	ROD_39581	X	X	X	X	X	t3374	EC958_4251	NCTC13441_04734	BW25113_3789	b3789	1	1	1	2	1	1	1	1	1	2	2	2	2	2	eco00525	Acarbose and validamycin biosynthesis 
rfbB	dTDP-glucose 4,6-dehydratase	-0.56752629	2.4723482977	2.3582867668	2.2139681582	2.5204643149	2.4879675764	2.395520475	2.2304415617	2.2121217214	2.0477355524	2.4870357297	2.4706234783	2.409682191	4.5	ENC_503added	BN373_49161	ERS227112_01758	ROD_39591	SL1344_3881	SL3261_3881	STMMW_38971	STM_MW38971	SEN3727	t3375	EC958_4250	NCTC13441_04735	BW25113_3788	b3788	2	2	2	2	2	2	2	2	3	4	2	2	2	2	eco00525	Acarbose and validamycin biosynthesis 
glmS	glutamine--fructose-6-phosphate transaminase	-3.2239835566	-1.5362468607	-4.5	-4.5	0.701859661	-1.6382035881	-1.8287911215	-0.9908381271	-0.7962829263	0.4752497073	-0.9997746754	-2.2324233687	-1.0334625758	-4.5	ENC_04150	BN373_47701	ERS227112_00449	ROD_40111	SL1344_3828	SL3261_3828	STMMW_38461	STM_MW38461	SEN3675	t3658	EC958_4202	NCTC13441_04788	BW25113_3729	b3729	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00250	Alanine, aspartate and glutamate metabolism 
glsA	L-glutaminase	1.662864954	1.924274131	1.5341912034	2.0697236627	2.0500824944	2.2045693215	1.6260301677	1.8410925636	1.2880602833	0.8039099171	2.3631648734	2.0328401183	-0.0540864247	4.5	ENC_10670	BN373_22121	ERS227112_05036	ROD_15191	SL1344_1455	SL3261_1455	STMMW_15251	STM_MW15251	SEN1526	t1446	EC958_1780	NCTC13441_02322	BW25113_1524	b1524	1	1	1	1	1	1	1	1	1	1	2	2	2	2	eco00250	Alanine, aspartate and glutamate metabolism 
purB	Adenylosuccinate lyase	-0.3997295056	0.6734803412	-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	-0.6786715774	-0.1592854202	1.0466354666	-4.5	-4.5	ENC_15040	BN373_17561	ERS227112_03609	ROD_12211	SL1344_1170	SL3261_1170	STMMW_12421	STM_MW12421	SEN1817	t1688	EC958_1328	NCTC13441_02781	BW25113_1131	b1131	3	4	4	2	3	3	3	3	3	2	2	2	2	2	eco00250	Alanine, aspartate and glutamate metabolism 
crr	PTS system D-glucose-specific IIA component, Glc family (TC 4.A.1.1.1)	0.7487106966	1.2664822692	-1.1868738912	1.5032996119	0.7577364835	0.3766985699	0.4709226892	-4.5	0.8026809692	-0.4568856729	1.2464748087	-0.1892749013	-0.1876436248	4.5	ENC_38370	BN373_34231	ERS227112_03815	ROD_23761	SL1344_2396	SL3261_2396	STMMW_24521	STM_MW24521	SEN2414	t0424	EC958_2744	NCTC13441_01301	BW25113_2417	b2417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
galU	UTP-glucose-1-phosphate uridylyltransferase	-1.004680112	3.0682841378	2.1657413808	2.6932656613	1.8958858817	2.1006834018	2.5420639746	1.6316962309	1.8307434439	2.4627206152	0.6507890521	1.1043701442	2.8874872522	4.5	ENC_07940	BN373_27981	ERS227112_04470	ROD_17721	SL1344_1683	SL3261_1683	STMMW_17471	STM_MW17471	SEN1284	t1663	EC958_1509	NCTC13441_02599	BW25113_1236	b1236	2	2	2	2	2	2	2	2	2	2	2	2	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
glmM	phosphoglucosamine mutase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-1.8459622232	-1.7579050027	-4.5	-4.5	-1.7212214153	-4.5	-4.5	-4.5	ENC_34110	BN373_42361	ERS227112_01013	ROD_46451	SL1344_3265	SL3261_3265	STMMW_32921	STM_MW32921	SEN3127	t3211	EC958_3576	NCTC13441_00517	BW25113_3176	b3176	2	2	1	2	3	3	3	3	3	3	2	2	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
glmS	glutamine--fructose-6-phosphate transaminase	-3.2239835566	-1.5362468607	-4.5	-4.5	0.701859661	-1.6382035881	-1.8287911215	-0.9908381271	-0.7962829263	0.4752497073	-0.9997746754	-2.2324233687	-1.0334625758	-4.5	ENC_04150	BN373_47701	ERS227112_00449	ROD_40111	SL1344_3828	SL3261_3828	STMMW_38461	STM_MW38461	SEN3675	t3658	EC958_4202	NCTC13441_04788	BW25113_3729	b3729	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
glmU	UDP-N-acetylglucosamine pyrophosphorylase /glucosamine-1-phosphate N-acetyltransferase	-4.5	-4.5	-4.5	-1.3867159036	-2.9609439926	-4.5	-2.2344565634	-4.5	-1.7664761149	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_04160	BN373_47711	ERS227112_00448	ROD_40101	SL1344_3829	SL3261_3829	STMMW_38471	STM_MW38471	SEN3676	t3657	EC958_4203	NCTC13441_04787	BW25113_3730	b3730	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
manZ	PTS system D-mannose-specific IID component, Man family (TC 4.A.6.1.1)	2.1338573963	2.5721317619	1.8255880272	2.0915269559	2.1674051201	2.3826157268	2.0160228103	-0.0248623618	1.5507514476	1.4578199438	2.0463373807	1.8464101119	1.1079146089	4.5	ENC_06770	BN373_29181	ERS227112_04331	ROD_18571	SL1344_1761	SL3261_1761	STMMW_18241	STM_MW18241	SEN1205	t1046	EC958_2037	NCTC13441_02067	BW25113_1819	b1819	2	4	4	4	4	4	4	4	3	2	4	4	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	-4.5	-1.1312707208	-4.5	-2.1862765594	-1.9599897947	-2.6989978767	-1.7919157449	-4.5	-2.295670782	-4.5	-2.7366159611	-2.3397955858	-4.5	-4.5	ENC_34260	BN373_42491	ERS227112_00999	ROD_46311	SL1344_3279	SL3261_3279	STMMW_33061	STM_MW33061	SEN3140	t3224	EC958_3589	NCTC13441_00503	BW25113_3189	b3189	2	2	2	2	2	1	2	2	2	2	2	2	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
murB	UDP-N-acetylmuramate dehydrogenase	-4.5	-1.7473768324	-4.5	-1.2898534642	-2.722677401	-4.5	-1.9202085019	-4.5	-1.3260358865	-2.2189137637	-4.5	-4.5	-4.5	-4.5	ENC_27380	BN373_49701	ERS227112_01820	ROD_37771	SL1344_4081	SL3261_4081	STMMW_40961	STM_MW40961	SEN3926	t3489	EC958_5088	NCTC13441_04523	BW25113_3972	b3972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
pgm	phosphoglucomutase, alpha-D-glucose phosphate-specific	2.2690768917	2.162081247	-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	ENC_20380	BN373_12821	ERS227112_03152	ROD_06961	SL1344_0680	SL3261_0680	STMMW_07561	STM_MW07561	SEN0662	t2177	EC958_0806	NCTC13441_03303	BW25113_0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
ugd	UDP-glucose 6-dehydrogenase	-4.5	0.5196473307	0.2896371333	3.1503619667	2.1182923649	2.6411389689	2.6466375663	3.2897082936	2.834824785	3.6084339541	2.5360803023	3.0495476577	3.108833152	4.5	ENC_506added	BN373_30991	ERS227112_04086	ROD_21661	SL1344_2057	SL3261_2057	STMMW_21111	STM_MW21111	SEN2079	t0793	EC958_2369	NCTC13441_01684	BW25113_2028	b2028	2	2	2	2	2	2	2	2	2	3	2	2	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
alaS	alanyl-tRNA synthetase	-4.5	-2.1643391972	-4.5	-2.1841560798	-1.8323717478	-4.5	-1.6771492715	-2.3603634768	-1.382113293	-4.5	-3.2349667831	-4.5	-4.5	-4.5	ENC_29420	BN373_36621	ERS227112_01632	ROD_31171	SL1344_2807	SL3261_2807	STMMW_27891	STM_MW27891	SEN2668	t2728	EC958_2962	NCTC13441_01080	BW25113_2697	b2697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
argS	Arginine--tRNA ligase	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-4.5	-1.0265479293	-1.5351803661	-4.5	-2.4073720369	-4.5	-4.5	-4.5	ENC_49added	BN373_29741	ERS227112_04273	ROD_19201	SL1344_1844	SL3261_1844	STMMW_18921	STM_MW18921	SEN1094	t0968	EC958_2099	NCTC13441_02005	BW25113_1876	b1876	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
asnS	asparaginyl-tRNA synthetase	-2.3321452473	-1.2536709934	-1.9184295751	-2.0021910669	-4.5	-4.5	-1.0640434323	-1.3006839405	-1.3936989528	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_17510	BN373_15731	ERS227112_03446	ROD_09991	SL1344_0937	SL3261_0937	STMMW_10111	STM_MW10111	SEN0904	t1934	EC958_1141	NCTC13441_02959	BW25113_0930	b0930	1	3	3	2	2	2	2	2	2	2	3	3	3	3	eco00970	Aminoacyl-tRNA biosynthesis 
aspS	aspartyl-tRNA synthetase	X	-4.5	-4.5	-4.5	-4.5	-2.0825350576	-2.0951183887	-4.5	-1.8371437987	-4.5	-2.4282218516	-4.5	-0.8488044963	-4.5	X	BN373_29661	ERS227112_04281	ROD_19071	SL1344_1836	SL3261_1836	STMMW_18841	STM_MW18841	SEN1102	t0976	EC958_2089	NCTC13441_02015	BW25113_1866	b1866	0	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
cysS	cysteinyl-tRNA synthetase	-2.6357645603	-1.478327567	-4.5	-4.5	-4.5	-4.5	2.3788362879	-1.1777727289	-0.8029017117	-4.5	-4.5	-4.5	-4.5	-4.5	ENC_22230	BN373_09711	ERS227112_02833	ROD_05581	SL1344_0530	SL3261_0530	STMMW_06051	STM_MW06051	SEN0518	t2324	EC958_0665	NCTC13441_03449	BW25113_0526	b0526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
fmt	Methionyl-tRNA formyltransferase	-1.6407097489	0.4000044	-4.5	-1.176831191	-0.8231554014	-1.8029207319	-0.9344015259	-4.5	0.3222205386	-1.5959106429	-1.3340740197	-2.0820822851	-4.5	-4.5	ENC_303added	BN373_43241	ERS227112_00898	ROD_45341	SL1344_3374	SL3261_3374	STMMW_34001	STM_MW34001	SEN3235	t4097	EC958_3681	NCTC13441_00408	BW25113_3288	b3288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
glnS	glutaminyl-tRNA synthetase	-4.5	-4.5	-4.5	-4.5	-4.5	-2.3998310956	-1.5964244345	-4.5	-0.5275326734	-4.5	-2.5452804698	-4.5	-4.5	-4.5	ENC_20470	BN373_12741	ERS227112_03143	ROD_06851	SL1344_0668	SL3261_0668	STMMW_07441	STM_MW07441	SEN0650	t2189	EC958_0798	NCTC13441_03311	BW25113_0680	b0680	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
gltX	glutamyl-tRNA synthetase	-4.5	-4.5	-4.5	-2.0313295291	-2.5673041309	-4.5	-2.1579328484	-4.5	-1.1639284228	-2.1518395879	-1.3172383107	-4.5	-4.5	-4.5	ENC_38500	BN373_34121	ERS227112_03829	ROD_28181	SL1344_2381	SL3261_2381	STMMW_24371	STM_MW24371	SEN2399	t0442	EC958_5016	NCTC13441_01319	BW25113_2400	b2400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
glyQ	glycyl-tRNA synthetase alpha chain	-4.5	-1.6457022972	-4.5	-1.2534759807	-2.5691985089	-4.5	-2.5329102262	-1.0925710477	-1.1512861292	-1.0140987957	-2.6311263744	-4.5	-1.2090455776	-4.5	ENC_47300	BN373_45661	ERS227112_00656	ROD_42461	SL1344_3621	SL3261_3621	STMMW_36451	STM_MW36451	SEN3478	t3863	EC958_3965	NCTC13441_00124	BW25113_3560	b3560	1	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl-tRNA biosynthesis 
