Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
ftsX	cell division protein FtsX	1.3118198424	1.8897183325	2.3068584041	+AC0-0.8027286125	+AC0-0.5844494971	+AC0-1.2545999105	+AC0-4.5	1.0893633344	+AC0-0.7089074128	2.3212008358	2.1406199518	2.4310777906	+AC0-4.5	BN373+AF8-44631	ERS227112+AF8-00757	ROD+AF8-43591	SL1344+AF8-3534	SL3261+AF8-3534	STMMW+AF8-35581	STM+AF8-MW35581	SEN3392	t3953	EC958+AF8-3856	NCTC13441+AF8-00238	BW25113+AF8-3462	b3462	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02010	ABC transporters 
lolC	lipoprotein+AC0-releasing system transmembrane protein LolC	+AC0-0.9866897838	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.7409661438	+AC0-0.5910035732	+AC0-1.1362124527	+AC0-0.9363472917	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-17271	ERS227112+AF8-03591	ROD+AF8-11831	SL1344+AF8-1154	SL3261+AF8-1154	STMMW+AF8-12261	STM+AF8-MW12261	SEN1832	t1703	EC958+AF8-1313	NCTC13441+AF8-02796	BW25113+AF8-1116	b1116	2	2	2	2	2	2	2	2	2	2	2	2	2	eco02010	ABC transporters 
lolD	lipoprotein releasing system, ATP+AC0-binding protein LolD	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.7235850485	+AC0-4.5	+AC0-1.1132815331	+AC0-4.5	+AC0-1.2934653313	+AC0-4.5	+AC0-0.8870961405	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-17281	ERS227112+AF8-03592	ROD+AF8-11841	SL1344+AF8-1155	SL3261+AF8-1155	STMMW+AF8-12271	STM+AF8-MW12271	SEN1831	t1702	EC958+AF8-1314	NCTC13441+AF8-02795	BW25113+AF8-1117	b1117	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
lolE	lipoprotein releasing system, transmembrane protein LolE	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.4115453487	+AC0-4.5	+AC0-4.5	+AC0-1.4590360911	+AC0-1.9798268086	+AC0-2.1488020079	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-17291	ERS227112+AF8-03593	ROD+AF8-11851	SL1344+AF8-1156	SL3261+AF8-1156	STMMW+AF8-12281	STM+AF8-MW12281	SEN1830	t1701	EC958+AF8-1315	NCTC13441+AF8-02794	BW25113+AF8-1118	b1118	2	2	2	2	2	2	2	2	2	2	2	2	2	eco02010	ABC transporters 
lptB	lipopolysaccharide ABC transporter, ATP+AC0-binding protein	+AC0-1.2711721993	+AC0-4.5	+AC0-1.6289314003	+AC0-4.5	+AC0-2.153944324	+AC0-1.2477665123	+AC0-4.5	+AC0-1.0499903173	+AC0-4.5	+AC0-0.5624987819	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-42611	ERS227112+AF8-00987	ROD+AF8-46191	SL1344+AF8-3291	SL3261+AF8-3291	STMMW+AF8-33181	STM+AF8-MW33181	SEN3152	t3236	EC958+AF8-3601	NCTC13441+AF8-00491	BW25113+AF8-3201	b3201	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
lptF	putative permease	+AC0-4.5	+AC0-4.5	+AC0-0.9057807551	+AC0-2.4779508532	+AC0-2.4960788999	+AC0-0.7303682671	+AC0-4.5	+AC0-0.9379717751	+AC0-4.5	+AC0-1.9858337273	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-02831	ERS227112+AF8-02148	ROD+AF8-33271	SL1344+AF8-4409	SL3261+AF8-4409	STMMW+AF8-44251	STM+AF8-MW44251	SEN4232	t4513	EC958+AF8-4756	NCTC13441+AF8-04187	BW25113+AF8-4261	b4261	1	1	1	1	1	1	1	1	1	2	2	1	1	eco02010	ABC transporters 
lptG	putative permease	+AC0-0.997206266	+AC0-1.9841648262	+AC0-1.9889273541	+AC0-2.4811566422	+AC0-4.5	+AC0-0.9381891967	+AC0-4.5	+AC0-1.2592345321	+AC0-4.5	+AC0-1.568014412	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-02841	ERS227112+AF8-02149	ROD+AF8-33281	SL1344+AF8-4410	SL3261+AF8-4410	STMMW+AF8-44261	STM+AF8-MW44261	SEN4233	t4514	EC958+AF8-4757	NCTC13441+AF8-04186	BW25113+AF8-4262	b4262	1	1	1	1	1	1	1	1	1	4	4	3	3	eco02010	ABC transporters 
lsrC	autoinducer+AC0-2 ABC transporter, permease protein LsrC	2.2095232756	1.4778471797	X	2.3677635777	2.3042408718	2.3099464865	2.5973588096	2.1327196817	2.5468888898	X	X	+AC0-0.1505328506	4.5	BN373+AF8-41681	ERS227112+AF8-01099	X	SL1344+AF8-4024	SL3261+AF8-4024	STMMW+AF8-40401	STM+AF8-MW40401	SEN3865	t3543	X	X	BW25113+AF8-1514	b1514	20	19	0	4	4	4	4	4	4	0	0	10	10	eco02010	ABC transporters 
msbA	lipid A export permease/ATP+AC0-binding protein MsbA	+AC0-1.5042451009	+AC0-4.5	+AC0-4.5	+AC0-2.8477834539	+AC0-4.5	+AC0-2.3672158902	+AC0-1.4929688519	+AC0-1.1939689498	+AC0-4.5	+AC0-4.5	+AC0-2.1401649581	+AC0-1.8049502862	+AC0-4.5	BN373+AF8-15571	ERS227112+AF8-03429	ROD+AF8-09821	SL1344+AF8-0921	SL3261+AF8-0921	STMMW+AF8-09951	STM+AF8-MW09951	SEN0888	t1950	EC958+AF8-1124	NCTC13441+AF8-02975	BW25113+AF8-0914	b0914	32	35	29	20	20	19	19	20	19	27	27	24	24	eco02010	ABC transporters 
pstB	phosphate ABC transporter, ATP+AC0-binding protein	2.298588309	+AC0-4.5	2.4548052667	2.6963542808	2.3672330273	2.6511497129	2.448995483	2.5043204864	1.9074824381	0.9259330239	0.6308105345	2.061899945	4.5	BN373+AF8-47661	ERS227112+AF8-00453	ROD+AF8-40161	SL1344+AF8-3821	SL3261+AF8-3821	STMMW+AF8-38391	STM+AF8-MW38391	SEN3668	t3669	EC958+AF8-4198	NCTC13441+AF8-04792	BW25113+AF8-3725	b3725	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
pstC	phosphate ABC transporter, permease protein PstC	2.2698573845	+AC0-0.8485881054	2.1208544931	2.7431164506	2.1776894693	2.6320493284	2.5718273055	2.2987418414	1.4258577501	1.5516526379	1.0095444293	2.0169117924	4.5	BN373+AF8-47681	ERS227112+AF8-00451	ROD+AF8-40141	SL1344+AF8-3823	SL3261+AF8-3823	STMMW+AF8-38411	STM+AF8-MW38411	SEN3670	t3667	EC958+AF8-4200	NCTC13441+AF8-04790	BW25113+AF8-3727	b3727	4	4	6	1	1	1	2	1	1	6	5	5	5	eco02010	ABC transporters 
pstS	phosphate ABC transporter, periplasmic phosphate+AC0-binding protein PstS	2.1869361764	+AC0-0.0914103148	2.3860308971	2.6899828284	2.5002719721	2.6747006291	2.4882764225	2.3269254405	1.8907048284	1.5358165613	1.6418689799	1.9769786084	4.5	BN373+AF8-47691	ERS227112+AF8-00450	ROD+AF8-40131	SL1344+AF8-3824	SL3261+AF8-3824	STMMW+AF8-38421	STM+AF8-MW38421	SEN3671	t3666	EC958+AF8-4201	NCTC13441+AF8-04789	BW25113+AF8-3728	b3728	1	1	1	1	1	1	1	1	1	1	1	1	1	eco02010	ABC transporters 
znuC	high+AC0-affinity zinc uptake ABC transporter, ATP+AC0-binding protein	2.1734623788	1.7451630544	2.0356831277	2.1176586922	2.307706384	1.2761747857	+AC0-0.1696073246	1.7956892415	1.5828750768	2.4136698859	1.8316049558	2.2204924983	4.5	BN373+AF8-29591	ERS227112+AF8-04288	ROD+AF8-18991	SL1344+AF8-1826	SL3261+AF8-1826	STMMW+AF8-18731	STM+AF8-MW18731	SEN1111	t0985	EC958+AF8-2079	NCTC13441+AF8-02025	BW25113+AF8-1858	b1858	91	87	58	45	45	45	44	45	45	55	56	50	50	eco02010	ABC transporters 
glmS	glutamine+AC0-fructose+AC0-6+AC0-phosphate transaminase (isomerizing)	+AC0-1.5362468607	+AC0-4.5	+AC0-4.5	0.701859661	+AC0-1.6382035881	+AC0-1.8287911215	+AC0-0.9908381271	+AC0-0.7962829263	0.4752497073	+AC0-0.9997746754	+AC0-2.2324233687	+AC0-1.0334625758	+AC0-4.5	BN373+AF8-47701	ERS227112+AF8-00449	ROD+AF8-40111	SL1344+AF8-3828	SL3261+AF8-3828	STMMW+AF8-38461	STM+AF8-MW38461	SEN3675	t3658	EC958+AF8-4202	NCTC13441+AF8-04788	BW25113+AF8-3729	b3729	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00250	Alanine, aspartate and glutamate metabolism 
glsA	glutaminase	1.924274131	1.5341912034	2.0697236627	2.0500824944	2.2045693215	1.6260301677	1.8410925636	1.2880602833	0.8039099171	2.3631648734	2.0328401183	+AC0-0.0540864247	4.5	BN373+AF8-22121	ERS227112+AF8-05036	ROD+AF8-15191	SL1344+AF8-1455	SL3261+AF8-1455	STMMW+AF8-15251	STM+AF8-MW15251	SEN1526	t1446	EC958+AF8-1780	NCTC13441+AF8-02322	BW25113+AF8-1524	b1524	1	1	1	1	1	1	1	1	1	2	2	2	2	eco00250	Alanine, aspartate and glutamate metabolism 
purB	adenylosuccinate lyase	0.6734803412	+AC0-0.3914253176	0.5473927831	0.4655118386	0.3297383417	0.821875512	0.5458981323	0.7256497596	+AC0-0.6786715774	+AC0-0.1592854202	1.0466354666	+AC0-4.5	+AC0-4.5	BN373+AF8-17561	ERS227112+AF8-03609	ROD+AF8-12211	SL1344+AF8-1170	SL3261+AF8-1170	STMMW+AF8-12421	STM+AF8-MW12421	SEN1817	t1688	EC958+AF8-1328	NCTC13441+AF8-02781	BW25113+AF8-1131	b1131	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00250	Alanine, aspartate and glutamate metabolism 
crr	glucose+AC0-specific phosphotransferase enzyme IIA component	1.2664822692	+AC0-1.1868738912	1.5032996119	0.7577364835	0.3766985699	0.4709226892	+AC0-4.5	0.8026809692	+AC0-0.4568856729	1.2464748087	+AC0-0.1892749013	+AC0-0.1876436248	4.5	BN373+AF8-34231	ERS227112+AF8-03815	ROD+AF8-23761	SL1344+AF8-2396	SL3261+AF8-2396	STMMW+AF8-24521	STM+AF8-MW24521	SEN2414	t0424	EC958+AF8-2744	NCTC13441+AF8-01301	BW25113+AF8-2417	b2417	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
glmM	phosphoglucosamine mutase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.8459622232	+AC0-1.7579050027	+AC0-4.5	+AC0-4.5	+AC0-1.7212214153	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-42361	ERS227112+AF8-01013	ROD+AF8-46451	SL1344+AF8-3265	SL3261+AF8-3265	STMMW+AF8-32921	STM+AF8-MW32921	SEN3127	t3211	EC958+AF8-3576	NCTC13441+AF8-00517	BW25113+AF8-3176	b3176	2	1	2	3	3	3	3	3	3	2	2	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
glmS	glutamine+AC0-fructose+AC0-6+AC0-phosphate transaminase (isomerizing)	+AC0-1.5362468607	+AC0-4.5	+AC0-4.5	0.701859661	+AC0-1.6382035881	+AC0-1.8287911215	+AC0-0.9908381271	+AC0-0.7962829263	0.4752497073	+AC0-0.9997746754	+AC0-2.2324233687	+AC0-1.0334625758	+AC0-4.5	BN373+AF8-47701	ERS227112+AF8-00449	ROD+AF8-40111	SL1344+AF8-3828	SL3261+AF8-3828	STMMW+AF8-38461	STM+AF8-MW38461	SEN3675	t3658	EC958+AF8-4202	NCTC13441+AF8-04788	BW25113+AF8-3729	b3729	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
glmU	UDP+AC0-N+AC0-acetylglucosamine diphosphorylase/glucosamine+AC0-1+AC0-phosphate N+AC0-acetyltransferase	+AC0-4.5	+AC0-4.5	+AC0-1.3867159036	+AC0-2.9609439926	+AC0-4.5	+AC0-2.2344565634	+AC0-4.5	+AC0-1.7664761149	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-47711	ERS227112+AF8-00448	ROD+AF8-40101	SL1344+AF8-3829	SL3261+AF8-3829	STMMW+AF8-38471	STM+AF8-MW38471	SEN3676	t3657	EC958+AF8-4203	NCTC13441+AF8-04787	BW25113+AF8-3730	b3730	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
manZ	mannose permease IID component	2.5721317619	1.8255880272	2.0915269559	2.1674051201	2.3826157268	2.0160228103	+AC0-0.0248623618	1.5507514476	1.4578199438	2.0463373807	1.8464101119	1.1079146089	4.5	BN373+AF8-29181	ERS227112+AF8-04331	ROD+AF8-18571	SL1344+AF8-1761	SL3261+AF8-1761	STMMW+AF8-18241	STM+AF8-MW18241	SEN1205	t1046	EC958+AF8-2037	NCTC13441+AF8-02067	BW25113+AF8-1819	b1819	4	4	4	4	4	4	4	3	2	4	4	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
murA	UDP+AC0-N+AC0-acetylglucosamine 1+AC0-carboxyvinyltransferase	+AC0-1.1312707208	+AC0-4.5	+AC0-2.1862765594	+AC0-1.9599897947	+AC0-2.6989978767	+AC0-1.7919157449	+AC0-4.5	+AC0-2.295670782	+AC0-4.5	+AC0-2.7366159611	+AC0-2.3397955858	+AC0-4.5	+AC0-4.5	BN373+AF8-42491	ERS227112+AF8-00999	ROD+AF8-46311	SL1344+AF8-3279	SL3261+AF8-3279	STMMW+AF8-33061	STM+AF8-MW33061	SEN3140	t3224	EC958+AF8-3589	NCTC13441+AF8-00503	BW25113+AF8-3189	b3189	2	2	2	2	1	2	2	2	2	2	2	2	2	eco00520	Amino sugar and nucleotide sugar metabolism 
murB	UDP+AC0-N+AC0-acetylenolpyruvoylglucosamine reductase	+AC0-1.7473768324	+AC0-4.5	+AC0-1.2898534642	+AC0-2.722677401	+AC0-4.5	+AC0-1.9202085019	+AC0-4.5	+AC0-1.3260358865	+AC0-2.2189137637	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-49701	ERS227112+AF8-01820	ROD+AF8-37771	SL1344+AF8-4081	SL3261+AF8-4081	STMMW+AF8-40961	STM+AF8-MW40961	SEN3926	t3489	EC958+AF8-5088	NCTC13441+AF8-04523	BW25113+AF8-3972	b3972	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
pgm	phosphoglucomutase, alpha+AC0-D+AC0-glucose phosphate+AC0-specific	2.162081247	+AC0-2.0004477678	1.6717566386	1.9419050631	2.1633165308	1.6555595603	0.696654017	1.3928028389	+AC0-0.8805513848	2.0109983207	1.0469525082	1.85910321	4.5	BN373+AF8-12821	ERS227112+AF8-03152	ROD+AF8-06961	SL1344+AF8-0680	SL3261+AF8-0680	STMMW+AF8-07561	STM+AF8-MW07561	SEN0662	t2177	EC958+AF8-0806	NCTC13441+AF8-03303	BW25113+AF8-0688	b0688	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00520	Amino sugar and nucleotide sugar metabolism 
alaS	alanyl+AC0-tRNA synthetase	+AC0-2.1643391972	+AC0-4.5	+AC0-2.1841560798	+AC0-1.8323717478	+AC0-4.5	+AC0-1.6771492715	+AC0-2.3603634768	+AC0-1.382113293	+AC0-4.5	+AC0-3.2349667831	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-36621	ERS227112+AF8-01632	ROD+AF8-31171	SL1344+AF8-2807	SL3261+AF8-2807	STMMW+AF8-27891	STM+AF8-MW27891	SEN2668	t2728	EC958+AF8-2962	NCTC13441+AF8-01080	BW25113+AF8-2697	b2697	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
argS	arginyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.0265479293	+AC0-1.5351803661	+AC0-4.5	+AC0-2.4073720369	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-29741	ERS227112+AF8-04273	ROD+AF8-19201	SL1344+AF8-1844	SL3261+AF8-1844	STMMW+AF8-18921	STM+AF8-MW18921	SEN1094	t0968	EC958+AF8-2099	NCTC13441+AF8-02005	BW25113+AF8-1876	b1876	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
asnS	asparaginyl+AC0-tRNA synthetase	+AC0-1.2536709934	+AC0-1.9184295751	+AC0-2.0021910669	+AC0-4.5	+AC0-4.5	+AC0-1.0640434323	+AC0-1.3006839405	+AC0-1.3936989528	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-15731	ERS227112+AF8-03446	ROD+AF8-09991	SL1344+AF8-0937	SL3261+AF8-0937	STMMW+AF8-10111	STM+AF8-MW10111	SEN0904	t1934	EC958+AF8-1141	NCTC13441+AF8-02959	BW25113+AF8-0930	b0930	3	3	2	2	2	2	2	2	2	3	3	3	3	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
aspS	aspartyl+AC0-tRNA synthetase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.0825350576	+AC0-2.0951183887	+AC0-4.5	+AC0-1.8371437987	+AC0-4.5	+AC0-2.4282218516	+AC0-4.5	+AC0-0.8488044963	+AC0-4.5	BN373+AF8-29661	ERS227112+AF8-04281	ROD+AF8-19071	SL1344+AF8-1836	SL3261+AF8-1836	STMMW+AF8-18841	STM+AF8-MW18841	SEN1102	t0976	EC958+AF8-2089	NCTC13441+AF8-02015	BW25113+AF8-1866	b1866	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00970	Aminoacyl+AC0-tRNA biosynthesis 
