gene_tag	essentiality_in_K12	KEGG_pathway	gene_name	eggnog_annotation
b0172	essential	-	FRR	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)
b3256	essential	Fatty acid biosynthesis /Pyruvate metabolism /Propanoate metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /Carbon metabolism /Fatty acid metabolism	ACCC	acetyl-CoA carboxylase biotin carboxylase
b3318	essential	Ribosome	RPLW	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)
b4168	essential	-	YJEE	UPF0079 ATP-binding protein
b2697	essential	Aminoacyl-tRNA biosynthesis	ALAS	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)
b3560	essential	Aminoacyl-tRNA biosynthesis	GLYQ	glycyl-tRNA synthetase, alpha subunit
b3317	essential	Ribosome	RPLB	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity
b3981	essential	Quorum sensing /Protein export /Bacterial secretion system	SECE	preprotein translocase subunit SecE
b2828	essential	-	LGT	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)
b3306	essential	Ribosome	RPSH	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)
b0680	essential	Aminoacyl-tRNA biosynthesis /Metabolic pathways	GLNS	glutaminyl-tRNA synthetase
b2323	essential	Fatty acid biosynthesis /Biotin metabolism /Metabolic pathways /Fatty acid metabolism	FABB	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)
b2926	essential	Glycolysis / Gluconeogenesis /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /Carbon metabolism /Biosynthesis of amino acids	PGK	phosphoglycerate kinase
b0156	essential	-	ERPA	Required for insertion of 4Fe-4S clusters for at least IspG (By similarity)
b1093	essential	Fatty acid biosynthesis /Biotin metabolism /Biosynthesis of unsaturated fatty acids /Metabolic pathways /Fatty acid metabolism	FABG	reductase
b2780	essential	Pyrimidine metabolism /Metabolic pathways	PYRG	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)
b3176	essential	Amino sugar and nucleotide sugar metabolism /Metabolic pathways /Biosynthesis of antibiotics	GLMM	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)
b3308	essential	Ribosome	RPLE	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits
b2412	essential	-		receptor for the septal ring structure, may anchor it to the inner-membrane (By similarity)
b0185	essential	Fatty acid biosynthesis /Pyruvate metabolism /Propanoate metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /Carbon metabolism /Fatty acid metabolism	ACCA	Component of the acetyl coenzyme A carboxylase (ACC) complex. First, biotin carboxylase catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the carboxyltransferase to acetyl-CoA to form malonyl-CoA (By similarity)
b3168	essential	-	INFB	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
b1719	essential	Aminoacyl-tRNA biosynthesis	THRS	threonyl-tRNA synthetase
b3633	essential	Lipopolysaccharide biosynthesis /Metabolic pathways	KDTA	3-Deoxy-D-manno-octulosonic-acid transferase
b2949	essential	-	YQGF	Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)
b4052	essential	DNA replication	DNAB	Replicative dna helicase
b3805	essential	Porphyrin and chlorophyll metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	HEMC	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps (By similarity)
b1117	essential	ABC transporters	LOLD	Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)
b3231	essential	Ribosome	RPLM	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)
b3730	essential	Amino sugar and nucleotide sugar metabolism /Metabolic pathways /Biosynthesis of antibiotics	GLMU	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)
b3985	essential	Ribosome	RPLJ	50S ribosomal protein L10
b3634	essential	Pantothenate and CoA biosynthesis /Metabolic pathways	COAD	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)
b0179	essential	Lipopolysaccharide biosynthesis /Metabolic pathways	LPXD	as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
b0639	essential	Nicotinate and nicotinamide metabolism /Metabolic pathways	NADD	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)
b3307	essential	Ribosome	RPSN	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)
b3309	essential	Ribosome	RPLX	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)
b3185	essential	Ribosome	RPMA	50S ribosomal protein L27
b0640	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /DNA replication /Mismatch repair /Homologous recombination	HOLA	DNA polymerase III, delta' subunit
b4160	essential	Glycerophospholipid metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	PSD	Phosphatidylserine decarboxylase proenzyme
b0098	essential	Quorum sensing /Protein export /Bacterial secretion system	SECA	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)
b1713	essential	Aminoacyl-tRNA biosynthesis	PHET	phenylalanyl-tRNA synthetase beta subunit
b0915	essential	Lipopolysaccharide biosynthesis /Metabolic pathways	LPXK	Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA) (By similarity)
b3865	essential	-	ENGB	Necessary for normal cell division and for the maintenance of normal septation (By similarity)
b3974	essential	Pantothenate and CoA biosynthesis /Metabolic pathways	COAA	Pantothenic acid kinase
b3310	essential	Ribosome	RPLN	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)
b3300	essential	Quorum sensing /Protein export /Bacterial secretion system	SECY	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)
b4226	essential	Oxidative phosphorylation	PPA	pyrophosphate phospho-hydrolase
b2746	essential	Terpenoid backbone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics	ISPF	Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)
b3341	essential	Ribosome	RPSG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)
b0088	essential	D-Glutamine and D-glutamate metabolism /Peptidoglycan biosynthesis /Metabolic pathways	MURD	Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA) (By similarity)
b3295	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /RNA polymerase	RPOA	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
b4262	essential	ABC transporters	YJGQ	permease YjgP YjgQ family protein
b3648	essential	Purine metabolism /Metabolic pathways	GMK	Essential for recycling GMP and indirectly, cGMP (By similarity)
b0096	essential	Lipopolysaccharide biosynthesis /Metabolic pathways	LPXC	Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
b1098	essential	Pyrimidine metabolism /Metabolic pathways	TMK	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)
b2942	essential	Cysteine and methionine metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of amino acids	METK	Catalyzes the formation of S-adenosylmethionine from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme (By similarity)
b4261	essential	ABC transporters	YJGP	permease YjgP YjgQ family protein
b2231	essential	-	GYRA	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)
b3639	essential	Pantothenate and CoA biosynthesis /Metabolic pathways	DFP	Phosphopantothenoylcysteine decarboxylase
b2316	essential	Fatty acid biosynthesis /Pyruvate metabolism /Propanoate metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Microbial metabolism in diverse environments /Biosynthesis of antibiotics /Carbon metabolism /Fatty acid metabolism	ACCD	Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA (By similarity)
b3303	essential	Ribosome	RPSE	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)
b0170	essential	-	TSF	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)
b0408	essential	Protein export /Bacterial secretion system	SECD	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
b3340	essential	-	FUSA	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)
b4143	essential	RNA degradation	GROL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)
b0175	essential	Glycerophospholipid metabolism /Metabolic pathways /Biosynthesis of secondary metabolites		Phosphatidate cytidylyltransferase
b0171	essential	Pyrimidine metabolism /Metabolic pathways	PYRH	Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)
b0180	essential	Fatty acid biosynthesis /Biotin metabolism /Metabolic pathways /Fatty acid metabolism	FABZ	Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs (By similarity)
b3315	essential	Ribosome	RPLV	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)
b2568	essential	Quorum sensing /Protein export	LEPB	Signal peptidase I
b3705	essential	Quorum sensing /Protein export /Bacterial secretion system	YIDC	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins (By similarity)
b0893	essential	Aminoacyl-tRNA biosynthesis	SERS	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)
b0414	essential	Riboflavin metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Quorum sensing	RIBD	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)
b3783	essential	RNA degradation	RHO	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)
b3189	essential	Amino sugar and nucleotide sugar metabolism /Peptidoglycan biosynthesis /Metabolic pathways	MURA	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
b2411	essential	DNA replication /Base excision repair /Nucleotide excision repair /Mismatch repair	LIGA	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)
b4041	essential	Glycerolipid metabolism /Glycerophospholipid metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	PLSB	glycerol-3-phosphate acyltransferase
b0094	essential	-	FTSA	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)
b2610	essential	Quorum sensing /Protein export /Bacterial secretion system	FFH	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. Interaction with FtsY leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components (By similarity)
b3321	essential	Ribosome	RPSJ	Involved in the binding of tRNA to the ribosomes (By similarity)
b3067	essential	-	RPOD	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
b3319	essential	Ribosome	RPLD	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)
b3297	essential	Ribosome	RPSK	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)
b1277	essential	Riboflavin metabolism /Metabolic pathways /Biosynthesis of secondary metabolites /Quorum sensing	RIBA	Catalyzes the conversion of GTP to 2,5-diamino-6- ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate (By similarity)
b0930	essential	Aminoacyl-tRNA biosynthesis	ASNS	asparaginyl-tRNA synthetase
b3982	essential	-	NUSG	Participates in transcription elongation, termination and antitermination (By similarity)
b0924	essential	-	MUKB	Plays a central role in chromosome condensation, segregation and cell cycle progression. Functions as a homodimer, which is essential for chromosome partition. Involved in negative DNA supercoiling in vivo, and by this means organize and compact chromosomes. May achieve or facilitate chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division (By similarity)
b3835	essential	-	UBIB	Required, probably indirectly, for the hydroxylation of 2-octaprenylphenol to 2-octaprenyl-6-hydroxy-phenol, the fourth step in ubiquinone biosynthesis (By similarity)
b1807	essential	-	YEAZ	Peptidase M22 Glycoprotease
b0169	essential	Ribosome	RPSB	30S ribosomal protein S2
b3967	essential	D-Glutamine and D-glutamate metabolism /Metabolic pathways	MURI	Provides the (R)-glutamate required for cell wall biosynthesis (By similarity)
b1912	essential	Glycerophospholipid metabolism /Metabolic pathways	PGSA	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase
b3294	essential	Ribosome	RPLQ	50S ribosomal protein L17
b1204	essential	-	PTH	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)
b3064	essential	-	GCP	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
b0684	essential	-	FLDA	Low-potential electron donor to a number of redox enzymes (By similarity)
b0657	essential	-	LNT	Transfers the fatty acyl group on membrane lipoproteins (By similarity)
b2515	essential	Terpenoid backbone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics	ISPG	Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (By similarity)
b3316	essential	Ribosome	RPSS	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)
b2315	essential	Folate biosynthesis /Metabolic pathways	FOLC	folylpolyglutamate synthase dihydrofolate synthase
b0891	essential	-	LOLA	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane) (By similarity)
b3314	essential	Ribosome	RPSC	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)
b3342	essential	Ribosome	RPSL	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)
b0177	essential	-	BAMA	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane
b0923	essential	-	MUKE	Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Probably acts via its interaction with MukB and MukF (By similarity)
b3987	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /RNA polymerase	RPOB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
b0173	essential	Terpenoid backbone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics	DXR	Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP) (By similarity)
b3701	essential	Purine metabolism /Pyrimidine metabolism /Metabolic pathways /DNA replication /Mismatch repair /Homologous recombination	DNAN	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)
b0194	essential	Aminoacyl-tRNA biosynthesis	PROS	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity)
b3640	essential	Pyrimidine metabolism /Metabolic pathways	DUT	This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)
b1662	essential	Riboflavin metabolism /Metabolic pathways /Biosynthesis of secondary metabolites	RIBE	riboflavin synthase, subunit alpha
b3972	essential	Amino sugar and nucleotide sugar metabolism /Peptidoglycan biosynthesis /Metabolic pathways	MURB	Cell wall formation (By similarity)
b0911	essential	Ribosome	RPSA	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity)
b0641	essential	-	RLPB	Rare lipoprotein B
b0922	essential	-	MUKF	Involved in chromosome condensation, segregation and cell cycle progression. May participate in facilitating chromosome segregation by condensation DNA from both sides of a centrally located replisome during cell division. Not required for mini-F plasmid partitioning. Probably acts via its interaction with MukB and MukE. Overexpression results in anucleate cells. It has a calcium binding activity (By similarity)
b0087	essential	Peptidoglycan biosynthesis /Metabolic pathways /Vancomycin resistance	MRAY	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)
b0103	essential	Pantothenate and CoA biosynthesis /Metabolic pathways	COAE	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)
b3187	essential	Terpenoid backbone biosynthesis /Biosynthesis of secondary metabolites	ISPB	octaprenyl-diphosphate synthase
b2566	essential	-	ERA	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)
b0420	essential	Thiamine metabolism /Terpenoid backbone biosynthesis /Metabolic pathways /Biosynthesis of secondary metabolites /Biosynthesis of antibiotics	DXS	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)
b0182	essential	Lipopolysaccharide biosynthesis /Metabolic pathways	LPXB	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)
