STM_MW00581	citrate carrier protein
STM_MW02561	Major Facilitator
STM_MW02581	methyltransferase
STM_MW02621	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
STM_MW02631	DNA polymerase III, epsilon subunit
STM_MW02701	NA
STM_MW02721	Type VI secretion protein, VC_A0107 family
STM_MW02731	Type VI secretion protein, VC_A0107 family
STM_MW02781	type VI secretion system effector, Hcp1 family
STM_MW02791	type VI secretion system effector, Hcp1 family
STM_MW02821	NA
STM_MW02831	NA
STM_MW02891	NA
STM_MW02971	NA
STM_MW03031	Inherit from proNOG: cytoplasmic protein
STM_MW03041	Pfam:DUF1813
STM_MW03051	NA
STM_MW03061	Pfam:DUF1813
STM_MW03071	Pfam:Transposase_8
STM_MW03101	chaperone
STM_MW03131	deacetylase
STM_MW03151	Transcriptional regulator
STM_MW03171	Adhesin virulence factor Hek
STM_MW03181	Inherit from COG: Periplasmic Protein
STM_MW03211	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate (By similarity)
STM_MW03241	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII (By similarity)
STM_MW03261	peptide Chain Release factor
STM_MW03421	NA
STM_MW03531	NA
STM_MW03541	Peptidase S24-like
STM_MW03561	Bacteriophage CII protein
STM_MW03571	Phage replication protein
STM_MW03601	NA
STM_MW03691	Antitermination protein
STM_MW03711	NA
STM_MW03721	lysozyme
STM_MW03731	bacteriophage lysis protein
STM_MW03781	Terminase-like family
STM_MW03791	NA
STM_MW03801	Bacteriophage, scaffolding protein
STM_MW03811	P22 coat protein - gene protein 5
STM_MW03831	DNA stabilization
STM_MW03861	Protein of unknown function (DUF2824)
STM_MW03871	transfer protein
STM_MW03901	Head binding
STM_MW03911	Acyltransferase
STM_MW03981	Sugar (and other) transporter
STM_MW04011	fumarylacetoacetate (FAA) hydrolase
STM_MW04031	LysR family transcriptional regulator
STM_MW04061	chaperone
STM_MW04071	Inherit from proNOG: Fimbrial
STM_MW04091	chaperone
STM_MW04101	Fimbrial protein
STM_MW04111	Inherit from proNOG: membrAne
STM_MW04121	NA
STM_MW04131	(EAL) domain protein
STM_MW04141	Inherit from proNOG: membrAne
STM_MW04151	NA
STM_MW04161	membrAne
STM_MW04191	Outer membrane lipoprotein
STM_MW04201	RND efflux system, outer membrane lipoprotein
STM_MW04271	type III restriction-modification system
STM_MW04281	Type III
STM_MW04351	cytochrome subunit of dehydrogenase
STM_MW04361	uncharacterized protein yahO
STM_MW04421	delta-aminolevulinic acid dehydratase
STM_MW04431	outer membrane autotransporter barrel
STM_MW04441	DNA-binding transcriptional regulator
STM_MW04451	beta-lactam binding protein AmpH
STM_MW04491	membrAne
STM_MW04531	Inhibits RpoS proteolysis by regulating RssB activity, thereby increasing the stability of the sigma stress factor RpoS especially during phosphate starvation, but also in stationary phase and during nitrogen starvation. Its effect on RpoS stability is due to its interaction with RssB, which probably blocks the interaction of RssB with RpoS, and the consequent delivery of the RssB-RpoS complex to the ClpXP protein degradation pathway (By similarity)
STM_MW04561	pyrroline-5-carboxylate reductase
STM_MW04571	UPF0178 protein
STM_MW04591	NA
STM_MW04611	UPF0345 protein
STM_MW04731	Converts holo-ACP to apo-ACP by hydrolytic cleavage of the phosphopantetheine prosthetic group from ACP (By similarity)
STM_MW04771	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
STM_MW04781	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)
STM_MW04861	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)
STM_MW04871	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)
STM_MW04881	Involved in the transcription termination process (By similarity)
STM_MW04891	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1 (By similarity)
STM_MW04921	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)
STM_MW04931	geranyltranstransferase
STM_MW04961	2-aminoethylphosphonate transport system
STM_MW05021	Involved in phosphonate degradation (By similarity)
STM_MW05031	DJ-1 family
STM_MW05081	Sel1 repeat
STM_MW05091	Sel1 repeat
STM_MW05141	(ubiquinol oxidase) subunit II
STM_MW05191	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
STM_MW05201	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)
STM_MW05211	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
STM_MW05241	competence protein ComEA helix-hairpin-helix repeat protein
STM_MW05251	acyl-CoA thioester hydrolase
STM_MW05271	extracellular solute-binding protein
STM_MW05281	Catalyzes the hydrolysis of 4-amino-2-methyl-5- hydroxymethylpyrimidine pyrophosphate (HMP-PP) to 4-amino-2- methyl-5-hydroxymethylpyrimidine phosphate (HMP-P) (By similarity)
STM_MW05301	Transcriptional regulator
STM_MW05311	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
STM_MW05371	methyltransferase
STM_MW05401	50S ribosomal protein L36
STM_MW05421	Maltose O-acetyltransferase
STM_MW05431	hemolysin expression-modulating protein
STM_MW05441	Biofilm formation regulator YbaJ
STM_MW05471	Transcriptional regulator
STM_MW05491	Transposase
STM_MW05511	primosomal replication protein n''
STM_MW05541	DNA polymerase III, subunits gamma and tau
STM_MW05581	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)
STM_MW05591	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)
STM_MW05601	Displays esterase activity towards short chain fatty esters (acyl chain length of up to 8 carbons). Able to hydrolyze triacetylglycerol (triacetin) and tributyrylglycerol (tributyrin), but not trioleylglycerol (triolein) or cholesterol oleate. Negatively regulates MalT activity by antagonizing maltotriose binding. Inhibits MelA galactosidase activity (By similarity)
STM_MW05641	Bifunctional UDP-sugar hydrolase 5'-nucleotidase periplasmic
STM_MW05671	NA
STM_MW05691	Transcriptional regulator
STM_MW05721	abc transporter atp-binding protein
STM_MW05741	Thioredoxin domain-containing protein
STM_MW05791	membrane
STM_MW05881	Catalyzes the reversible isomerization between hydroxypyruvate and 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde) (By similarity)
STM_MW05891	2-hydroxy-3-oxopropionate reductase
STM_MW05901	transporter
STM_MW05911	cytosine purines, uracil, thiamine, allantoin permease
STM_MW05921	purine permease ybbY
STM_MW05941	allantoin catabolism protein
STM_MW05951	allantoate amidohydrolase
STM_MW05961	Dehydrogenase
STM_MW06031	Catalyzes the hydrolysis of the pyrophosphate bond of UDP-2,3-diacylglucosamine to yield 2,3-diacylglucosamine 1- phosphate (lipid X) and UMP (By similarity)
STM_MW06041	PPIases accelerate the folding of proteins (By similarity)
STM_MW06051	cysteinyl-tRNA synthetase
STM_MW06061	Uncharacterized protein conserved in bacteria (DUF2145)
STM_MW06101	Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate (By similarity)
STM_MW06111	Fimbriae (also called pili), polar filaments radiating from the surface of the bacterium to a length of 0.5-1.5 micrometers and numbering 100-300 per cell, enable bacteria to colonize the epithelium of specific host organs
STM_MW06121	Fimbrial protein
STM_MW06131	chaperone
STM_MW06151	Involved in regulation of length and mediation of adhesion of SfmA fimbriae (but not necessary for the production of fimbriae). Seems to be mannose binding adhesin (By similarity)
STM_MW06171	regulatoR
STM_MW06181	fimbriae Y protein
STM_MW06191	Diguanylate phosphodiesterase
STM_MW06201	HTH_LUXR
STM_MW06211	Inherit from proNOG: transposase
STM_MW06221	Transposase
STM_MW06231	NA
STM_MW06241	Catalyzes the transfer of 4-deoxy-4-formamido-L- arabinose from UDP to undecaprenyl phosphate. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides (By similarity)
STM_MW06251	Involved in O antigen modification. Involved in the translocation of bactoprenol-linked glucose across the cytoplasmic membrane (By similarity)
STM_MW06261	Histidine kinase
STM_MW06301	UPF0379 protein ykgI
STM_MW06311	Inner membrane protein YkgB
STM_MW06341	Mechanosensitive ion channel
STM_MW06371	catalyzes the conversion of fructoselysine 6-phosphate to glucose 6-phosphate and lysine
STM_MW06521	Conserved protein
STM_MW06541	Ferric enterobactin transport protein
STM_MW06551	Atp-binding protein
STM_MW06561	transporter, permease
STM_MW06571	transport system permease protein
STM_MW06591	Iron-enterobactin transporter periplasmic binding protein
STM_MW06661	Protein of unknown function (DUF466)
STM_MW06701	Domain of unknown function (DUF3440)
STM_MW06711	transcriptional regulator
STM_MW06751	Nitrate reductase delta subunit
STM_MW06781	anchor subunit
STM_MW06791	Universal stress protein
STM_MW06891	(citrate (pro-3S)-lyase ligase)
STM_MW06901	signal transduction histidine kinase regulating citrate malate metabolism
STM_MW06911	transcriptional regulatory protein
STM_MW06931	PagP is required both for biosynthesis of hepta-acylated lipid A species containing palmitate and for resistance to cationic antimicrobial peptides (CAMPs). It catalyzes the transfer of a palmitate chain (16 0) from the sn-1 position of a glycerophospholipid to the free hydroxyl group of the (R)-3- hydroxymyristate chain at position 2 of lipid A (endotoxin) (By similarity)
STM_MW06951	Protein CrcB homolog
STM_MW06971	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatE shares overlapping functions with TatA (By similarity)
STM_MW06981	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)
STM_MW06991	Transcriptional regulator
STM_MW07001	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity)
STM_MW07011	UPF0250 protein
STM_MW07041	rod shape-determining protein RodA
STM_MW07051	penicillin-binding protein 2
STM_MW07101	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)
STM_MW07111	DNA polymerase III, delta' subunit
STM_MW07121	Rare lipoprotein B
STM_MW07131	Leucyl-tRNA synthetase
STM_MW07151	D-galactarate dehydratase / Altronate hydrolase, C terminus
STM_MW07161	The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system (By similarity)
STM_MW07171	sigma-54 dependent transcriptional regulator
STM_MW07191	Sel1 domain protein repeat-containing protein
STM_MW07201	tRNA ligase
STM_MW07211	DnaJ domain protein
STM_MW07231	Hsc56 co-chaperone of HscC
STM_MW07241	chaperone
STM_MW07311	Transfers the fatty acyl group on membrane lipoproteins (By similarity)
STM_MW07331	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)
STM_MW07361	hydroxylase
STM_MW07441	glutaminyl-tRNA synthetase
STM_MW07451	Outer membrane porin
STM_MW07511	Ferric uptake
STM_MW07521	Low-potential electron donor to a number of redox enzymes (By similarity)
STM_MW07561	phosphoglucomutase EC 5.4.2.2
STM_MW07601	regulatoR
STM_MW07621	One of the components of the high-affinity ATP-driven potassium transport (or KDP) system, which catalyzes the hydrolysis of ATP coupled with the exchange of hydrogen and potassium ions. The C subunit may be involved in assembly of the KDP complex (By similarity)
STM_MW07701	allophanate hydrolase subunit 2
STM_MW07731	type 1 fimbriae regulatory protein
STM_MW07761	UDP-galactopyranose mutase
STM_MW07771	glycosyl transferase family
STM_MW07781	glycosyl transferase group 1
STM_MW07791	(ABC) transporter
STM_MW07801	ABC transporter
STM_MW07811	Glycosyl transferase family 2
STM_MW07851	Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized pyrimidines, such as thymine glycol, 5,6-dihydrouracil and 5,6-dihydrothymine. Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'- phosphates (By similarity)
STM_MW07891	Succinate dehydrogenase, cytochrome b556 subunit
STM_MW07901	Succinate dehydrogenase hydrophobic membrane anchor
STM_MW07931	2-oxoglutarate dehydrogenase e1 component
STM_MW07941	dihydrolipoamide succinyltransferase
STM_MW07971	(Ubiquinol oxidase) subunit I
STM_MW07981	Cytochrome D ubiquinol oxidase, subunit II
STM_MW07991	Cyd operon protein YbgT
STM_MW08011	Thioesterase
STM_MW08021	tolQ protein
STM_MW08041	Cell envelope integrity inner membrane protein TolA
STM_MW08111	homeobox protein
STM_MW08131	fumarate hydratase class I
STM_MW08141	fumarate hydratase class I
STM_MW08151	Transcriptional regulator
STM_MW08161	Transcriptional regulator lysR family
STM_MW08171	transporter
STM_MW08291	Protein of unknown function (DUF2167)
STM_MW08441	kinase inhibitor protein
STM_MW08461	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
STM_MW08521	Effector proteins function to alter host cell physiology and promote bacterial survival in host tissues. This protein is an E3 ubiquitin ligase that interferes with host's ubiquitination pathway
STM_MW08571	Molybdopterin converting factor subunit 1
STM_MW08591	membrAne
STM_MW08601	conserved inner membrane protein
STM_MW08701	Upf0194 membrane protein
STM_MW08821	During stationary phase, binds the chromosome non- specifically, forming a highly ordered and stable dps-DNA co- crystal within which chromosomal DNA is condensed and protected from diverse damages. It protects DNA from oxidative damage by sequestering intracellular Fe(2 ) ion and storing it in the form of Fe(3 ) oxyhydroxide mineral, which can be released after reduction. One hydrogen peroxide oxidizes two Fe(2 ) ions, which prevents hydroxyl radical production by the Fenton reaction
STM_MW08911	Sugar phosphatase supH
STM_MW09051	Citrate lyase beta
STM_MW09061	Electron transfer flavoprotein
STM_MW09071	Electron transfer flavoprotein
STM_MW09081	acyl-CoA dehydrogenase
STM_MW09091	Electron transfer flavoprotein-ubiquinone oxidoreductase
STM_MW09101	lysr family transcriptional regulator
STM_MW09111	Citrate transporter
STM_MW09231	Glutaredoxin
STM_MW09321	inner membrane protein ybjO
STM_MW09341	PTS system ascorbate-specific transporter subunit IIC
STM_MW09351	phosphotransferase enzyme II, B component
STM_MW09531	VirK protein
STM_MW09571	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation (By similarity)
STM_MW09641	LysR family transcriptional regulator
STM_MW09651	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)
STM_MW09681	cysteine glutathione ABC transporter membrane ATP-binding
STM_MW09691	cysteine glutathione ABC transporter membrane ATP-binding
STM_MW09721	Essential cell division protein that coordinates cell division and chromosome segregation. The N-terminus is involved in assembly of the cell-division machinery. The C-terminus functions as a DNA motor that moves dsDNA in an ATP-dependent manner towards the dif recombination site, which is located within the replication terminus region. Translocation stops specifically at Xer-dif sites, where FtsK interacts with the Xer recombinase, allowing activation of chromosome unlinking by recombination. FtsK orienting polar sequences (KOPS) guide the direction of DNA translocation. FtsK can remove proteins from DNA as it translocates, but translocation stops specifically at XerCD-dif site, thereby preventing removal of XerC and XerD from dif
STM_MW09731	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane) (By similarity)
STM_MW09751	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)
STM_MW09801	Amino acid
STM_MW09831	Salmonella outer protein D
STM_MW09911	cytidine monophosphate kinase
STM_MW09921	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity)
STM_MW09951	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
STM_MW09961	Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA) (By similarity)
STM_MW09981	UPF0434 protein
