STM_MW00581	citrate carrier protein
STM_MW02131	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively (By similarity)
STM_MW02141	deoxyguanosinetriphosphate triphosphohydrolase-like protein
STM_MW02151	protease
STM_MW02161	Carbohydrate diacid transcriptional activator CdaR
STM_MW02171	UPF0325 protein
STM_MW02181	transporter
STM_MW02201	Modifies, by uridylylation or deuridylylation the PII (GlnB) regulatory protein (By similarity)
STM_MW02291	Membrane-associated zinc metalloprotease
STM_MW02311	Molecular chaperone that interacts specifically with outer membrane proteins, thus maintaining the solubility of early folding intermediates during passage through the periplasm (By similarity)
STM_MW02361	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
STM_MW02391	chitinase
STM_MW02401	decarboxylase
STM_MW02411	glyoxalase bleomycin resistance protein dioxygenase
STM_MW02431	rho-binding antiterminator
STM_MW02441	UPF0253 protein
STM_MW02451	YaeQ family
STM_MW02461	class I peptide chain release factor
STM_MW02471	NlpE N-terminal domain
STM_MW02491	UPF0066 protein yaeB
STM_MW02501	Outer membrane lipoprotein
STM_MW02511	(Lipo)protein
STM_MW02521	transporter, permease
STM_MW02531	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system (By similarity)
STM_MW02541	reductase
STM_MW02551	lysr family transcriptional regulator
STM_MW02561	Major Facilitator
STM_MW02571	UPF0294 protein
STM_MW02581	methyltransferase
STM_MW02591	Lytic Murein transglycosylase
STM_MW02601	Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid (By similarity)
STM_MW02611	Methyl-transferase
STM_MW02641	type VI secretion-associated protein, ImpA family
STM_MW02651	type VI secretion protein, VC_A0111 family
STM_MW02661	type VI secretion protein
STM_MW02671	Type VI secretion system
STM_MW02681	Type VI secretion system
STM_MW02691	Virulence Protein SciE Type
STM_MW02701	NA
STM_MW02711	Type VI secretion ATPase, ClpV1 family
STM_MW02721	Type VI secretion protein, VC_A0107 family
STM_MW02731	Type VI secretion protein, VC_A0107 family
STM_MW02741	type VI secretion protein, EvpB VC_A0108 family
STM_MW02781	type VI secretion system effector, Hcp1 family
STM_MW02791	type VI secretion system effector, Hcp1 family
STM_MW02821	NA
STM_MW02831	NA
STM_MW02841	type VI secretion system effector, Hcp1 family
STM_MW02861	type VI secretion protein, VC_A0114 family
STM_MW02871	Type IV VI secretion system protein, DotU family
STM_MW02891	NA
STM_MW02901	Protein of unknown function (DUF1215)
STM_MW02941	Rhs element vgr protein
STM_MW02951	Domain of unknown function (DUF1795)
STM_MW02961	RHS Repeat
STM_MW02971	NA
STM_MW02981	RHS repeat-associated core domain protein
STM_MW03021	Inherit from proNOG: cytoplasmic protein
STM_MW03031	Inherit from proNOG: cytoplasmic protein
STM_MW03041	Pfam:DUF1813
STM_MW03051	NA
STM_MW03061	Pfam:DUF1813
STM_MW03071	Pfam:Transposase_8
STM_MW03101	chaperone
STM_MW03111	outer membrane usher protein
STM_MW03121	Enterobacteria AfaD invasin protein
STM_MW03131	deacetylase
STM_MW03151	Transcriptional regulator
STM_MW03171	Adhesin virulence factor Hek
STM_MW03181	Inherit from COG: Periplasmic Protein
STM_MW03191	nitrilase cyanide hydratase and apolipoprotein n-acyltransferase
STM_MW03201	acyl-CoA dehydrogenase
STM_MW03211	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate (By similarity)
STM_MW03221	glutamine amidotransferase
STM_MW03231	ErfK YbiS YcfS YnhG family protein
STM_MW03241	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII (By similarity)
STM_MW03261	peptide Chain Release factor
STM_MW03271	aminoacyl-histidine dipeptidase
STM_MW03281	Acts on guanine, xanthine and to a lesser extent hypoxanthine (By similarity)
STM_MW03291	Fermentation respiration switch protein
STM_MW03301	Binds to the sigma-S subunit of RNA polymerase, activating expression of sigma-S-regulated genes. Stimulates RNA polymerase holoenzyme formation and may bind to several other sigma factors, such as sigma-70 and sigma-32 (By similarity)
STM_MW03311	membrAne
STM_MW03321	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)
STM_MW03331	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)
STM_MW03341	Integrase
STM_MW03351	NA
STM_MW03381	Protein of unknown function (DUF550)
STM_MW03391	NA
STM_MW03421	NA
STM_MW03531	NA
STM_MW03551	NA
STM_MW03561	Bacteriophage CII protein
STM_MW03571	Phage replication protein
STM_MW03581	replicative DNA helicase
STM_MW03601	NA
STM_MW03631	recombination protein NinB
STM_MW03661	bacteriophage lambda NinG
STM_MW03681	Phage NinH protein
STM_MW03691	Antitermination protein
STM_MW03711	NA
STM_MW03721	lysozyme
STM_MW03731	bacteriophage lysis protein
STM_MW03741	phage regulatory protein, Rha
STM_MW03781	Terminase-like family
STM_MW03791	NA
STM_MW03801	Bacteriophage, scaffolding protein
STM_MW03811	P22 coat protein - gene protein 5
STM_MW03831	DNA stabilization
STM_MW03841	DNA stabilization
STM_MW03851	NA
STM_MW03861	Protein of unknown function (DUF2824)
STM_MW03871	transfer protein
STM_MW03881	prophage DNA injection protein
STM_MW03891	NA
STM_MW03901	Head binding
STM_MW03911	Acyltransferase
STM_MW03951	propanediol utilization diol dehydratase reactivation protein
STM_MW03961	propanediol utilization diol dehydratase reactivation protein
STM_MW03971	Uncharacterized protein yoac
STM_MW03981	Sugar (and other) transporter
STM_MW03991	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
STM_MW04001	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)
STM_MW04011	fumarylacetoacetate (FAA) hydrolase
STM_MW04021	Alpha beta hydrolase
STM_MW04031	LysR family transcriptional regulator
STM_MW04061	chaperone
STM_MW04071	Inherit from proNOG: Fimbrial
STM_MW04081	outer membrane usher protein
STM_MW04091	chaperone
STM_MW04101	Fimbrial protein
STM_MW04111	Inherit from proNOG: membrAne
STM_MW04121	NA
STM_MW04131	(EAL) domain protein
STM_MW04141	Inherit from proNOG: membrAne
STM_MW04151	NA
STM_MW04161	membrAne
STM_MW04191	Outer membrane lipoprotein
STM_MW04201	RND efflux system, outer membrane lipoprotein
STM_MW04211	Resistance protein
STM_MW04221	RND Family Efflux Transporter MFP Subunit
STM_MW04231	p-type atpase
STM_MW04241	Transcriptional regulator
STM_MW04251	Heavy-metal-associated domain
STM_MW04261	Major Facilitator Superfamily
STM_MW04271	type III restriction-modification system
STM_MW04281	Type III
STM_MW04301	(Ubiquinol oxidase) subunit I
STM_MW04311	oxidase) subunit II
STM_MW04331	AraC Family Transcriptional Regulator
STM_MW04341	receptor
STM_MW04351	cytochrome subunit of dehydrogenase
STM_MW04361	uncharacterized protein yahO
STM_MW04371	propionate catabolism operon regulatory protein
STM_MW04381	2-methylisocitrate lyase
STM_MW04391	citrate synthase
STM_MW04401	2-methylcitrate dehydratase
STM_MW04411	synthetase
STM_MW04431	outer membrane autotransporter barrel
STM_MW04441	DNA-binding transcriptional regulator
STM_MW04451	beta-lactam binding protein AmpH
STM_MW04461	in Escherichia coli SbmA is involved in uptake of microcin J25
STM_MW04471	(Lipo)protein
STM_MW04481	inner membrane protein YaiY
STM_MW04491	membrAne
STM_MW04501	Cell wall formation (By similarity)
STM_MW04511	Extensin Family
STM_MW04521	multidrug resistance protein mdtG
STM_MW04531	Inhibits RpoS proteolysis by regulating RssB activity, thereby increasing the stability of the sigma stress factor RpoS especially during phosphate starvation, but also in stationary phase and during nitrogen starvation. Its effect on RpoS stability is due to its interaction with RssB, which probably blocks the interaction of RssB with RpoS, and the consequent delivery of the RssB-RpoS complex to the ClpXP protein degradation pathway (By similarity)
STM_MW04541	phosphate starvation-inducible protein
STM_MW04551	Diguanylate cyclase
STM_MW04561	pyrroline-5-carboxylate reductase
STM_MW04581	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)
STM_MW04591	NA
STM_MW04601	Protein of aro operon, regulated by aroR
STM_MW04611	UPF0345 protein
STM_MW04621	May be involved in recombination (By similarity)
STM_MW04631	(ROK) family
STM_MW04641	transport protein AraJ
STM_MW04661	Exonuclease
STM_MW04671	phosphate regulon transcriptional regulatory protein PhoB
STM_MW04681	Phosphate regulon sensor
STM_MW04691	amino acid transport system II carrier protein
STM_MW04701	permease
STM_MW04711	maltodextrin glucosidase
STM_MW04721	alkyl hydroperoxide reductase
STM_MW04731	Converts holo-ACP to apo-ACP by hydrolytic cleavage of the phosphopantetheine prosthetic group from ACP (By similarity)
STM_MW04741	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA) (By similarity)
STM_MW04751	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
STM_MW04761	Preprotein translocase, subunit YajC
STM_MW04791	glyoxalase bleomycin resistance protein dioxygenase
STM_MW04801	transcriptional regulator
STM_MW04811	hnh endonuclease
STM_MW04831	nucleoside-specific channel-forming protein
STM_MW04851	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes (By similarity)
STM_MW04901	Phosphatidylglycerophosphatase A
STM_MW04911	aldo keto reductase
STM_MW04941	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)
STM_MW04951	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS (By similarity)
STM_MW04961	2-aminoethylphosphonate transport system
STM_MW04971	2-aminoethylphosphonate transport system permease
STM_MW04981	Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system (By similarity)
STM_MW04991	(ABC) transporter
STM_MW05001	Transcriptional regulator
STM_MW05011	Involved in phosphonate degradation (By similarity)
STM_MW05021	Involved in phosphonate degradation (By similarity)
STM_MW05031	DJ-1 family
STM_MW05041	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)
STM_MW05051	UPF0234 protein
STM_MW05061	Major Facilitator
STM_MW05081	Sel1 repeat
STM_MW05091	Sel1 repeat
STM_MW05101	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group (By similarity)
STM_MW05111	Cytochrome o ubiquinol oxidase, subunit IV
STM_MW05121	cytochrome o ubiquinol oxidase subunit III
STM_MW05131	oxidase) subunit I
STM_MW05141	(ubiquinol oxidase) subunit II
STM_MW05151	Major Facilitator Superfamily
STM_MW05161	(Lipo)protein
STM_MW05171	BolA protein
STM_MW05181	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation
STM_MW05191	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)
STM_MW05211	ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
STM_MW05221	DNA-binding protein
STM_MW05231	Peptidyl-prolyl cis-trans isomerase
STM_MW05241	competence protein ComEA helix-hairpin-helix repeat protein
STM_MW05251	acyl-CoA thioester hydrolase
STM_MW05261	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)
STM_MW05271	extracellular solute-binding protein
STM_MW05281	Catalyzes the hydrolysis of 4-amino-2-methyl-5- hydroxymethylpyrimidine pyrophosphate (HMP-PP) to 4-amino-2- methyl-5-hydroxymethylpyrimidine phosphate (HMP-P) (By similarity)
STM_MW05291	Cysteine synthase
STM_MW05301	Transcriptional regulator
STM_MW05311	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
STM_MW05321	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)
STM_MW05331	nitrogen regulatory protein PII
STM_MW05341	Ammonium transporter
STM_MW05351	Acyl-CoA thioesterase II
STM_MW05361	Glycoprotein polysaccharide metabolism
STM_MW05371	methyltransferase
STM_MW05381	(EAL) domain protein
STM_MW05391	50s ribosomal protein l31 type b
STM_MW05411	Inner membrane protein ylaC
STM_MW05421	Maltose O-acetyltransferase
STM_MW05431	hemolysin expression-modulating protein
STM_MW05441	Biofilm formation regulator YbaJ
STM_MW05451	Resistance protein
STM_MW05461	RND Family Efflux Transporter MFP Subunit
STM_MW05471	Transcriptional regulator
STM_MW05481	Mechanosensitive ion channel
STM_MW05491	Transposase
STM_MW05501	Protein of unknown function (DUF2496)
STM_MW05511	primosomal replication protein n''
STM_MW05521	Protein of unknown function (DUF454)
STM_MW05531	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis (By similarity)
STM_MW05551	Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection (By similarity)
STM_MW05561	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity)
STM_MW05571	Molecular chaperone. Has ATPase activity (By similarity)
STM_MW05601	Displays esterase activity towards short chain fatty esters (acyl chain length of up to 8 carbons). Able to hydrolyze triacetylglycerol (triacetin) and tributyrylglycerol (tributyrin), but not trioleylglycerol (triolein) or cholesterol oleate. Negatively regulates MalT activity by antagonizing maltotriose binding. Inhibits MelA galactosidase activity (By similarity)
STM_MW05611	Inosine-guanosine kinase
STM_MW05621	proton antiporter, CPA2 family
STM_MW05631	fosmidomycin resistance protein
STM_MW05641	Bifunctional UDP-sugar hydrolase 5'-nucleotidase periplasmic
STM_MW05651	YbaK ebsC protein
STM_MW05661	GumN family
STM_MW05671	NA
STM_MW05681	p-type atpase
STM_MW05691	Transcriptional regulator
STM_MW05701	membrane
STM_MW05711	SPFH domain, Band 7 family protein
STM_MW05721	abc transporter atp-binding protein
STM_MW05731	metal resistance protein
STM_MW05741	Thioredoxin domain-containing protein
STM_MW05751	Short chain dehydrogenase
STM_MW05761	Acyl-CoA thioesterase I
STM_MW05771	abc transporter atp-binding protein
STM_MW05781	permease
STM_MW05791	membrane
STM_MW05801	(Lipo)protein
STM_MW05811	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system (By similarity)
STM_MW05821	binding-protein-dependent transport systems inner membrane component
STM_MW05831	Catalyzes the transfer of selenium from selenophosphate for conversion of 2-thiouridine to 2-selenouridine at the wobble position in tRNA (By similarity)
STM_MW05841	Positive regulator essential for the expression of AllD operon. Binds to the AllD promoter
STM_MW05851	Involved in the anaerobic utilization of allantoin. Reinforces the induction of genes involved in the degradation of allantoin and glyoxylate by producing glyoxylate (By similarity)
STM_MW05861	Negative regulator of allantoin and glyoxylate utilization operons. Binds to the gcl promoter and to the allS- allA intergenic region
STM_MW05871	glyoxylate carboligase
STM_MW05881	Catalyzes the reversible isomerization between hydroxypyruvate and 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde) (By similarity)
STM_MW05891	2-hydroxy-3-oxopropionate reductase
STM_MW05901	transporter
STM_MW05911	cytosine purines, uracil, thiamine, allantoin permease
STM_MW05921	purine permease ybbY
STM_MW05931	Glycerate kinase
STM_MW05941	allantoin catabolism protein
STM_MW05951	allantoate amidohydrolase
STM_MW05961	Dehydrogenase
STM_MW05971	Involved in protein transport multicopy suppressor of dominant negative ftsH mutants
STM_MW05981	cytoplasmic protein
STM_MW05991	carboxylase
STM_MW06001	carbamate kinase
STM_MW06011	Phosphoribosylaminoimidazole carboxylase ATPase subunit
STM_MW06021	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity)
STM_MW06041	PPIases accelerate the folding of proteins (By similarity)
STM_MW06061	Uncharacterized protein conserved in bacteria (DUF2145)
STM_MW06081	inner membrane protein YbcI
STM_MW06091	RNA-binding protein
STM_MW06111	Fimbriae (also called pili), polar filaments radiating from the surface of the bacterium to a length of 0.5-1.5 micrometers and numbering 100-300 per cell, enable bacteria to colonize the epithelium of specific host organs
STM_MW06121	Fimbrial protein
STM_MW06131	chaperone
STM_MW06141	outer membrane usher protein
STM_MW06151	Involved in regulation of length and mediation of adhesion of SfmA fimbriae (but not necessary for the production of fimbriae). Seems to be mannose binding adhesin (By similarity)
STM_MW06161	Fimbrial protein
STM_MW06171	regulatoR
STM_MW06181	fimbriae Y protein
STM_MW06191	Diguanylate phosphodiesterase
