Gene_EGGNOG	Gene_Keio	Pathway	DEG: Synechococcus elongatus PCC 7942	DEG: Mycobacterium tuberculosis H37Rv	DEG: Porphyromonas gingivalis ATCC 33277	DEG: Bacteroides thetaiotaomicron VPI-5482	DEG: Bacteroides fragilis 638R	DEG: Francisella novicida U112	DEG: Acinetobacter baumannii ATCC 17978	DEG: Pseudomonas aeruginosa PAO1	DEG: Shewanella oneidensis MR-1	TraDIS: Klebsiella pneumoniae Ecl8	TraDIS: Klebsiella pneumoniae RH201207	TraDIS: Escherichia coli ST131 EC958	TraDIS: Escherichia coli UPEC ST131 NCTC13441	Keio: Escherichia coli BW25113	TraDIS: Escherichia coli BW25113	TraDIS: Citrobacter rodentium ICC168	TraDIS: Salmonella Typhi Ty2	DEG: Salmonella enterica serovar Typhi	TraDIS: Salmonella Typhimurium A130	TraDIS: Salmonella Typhimurium D23580	TraDIS: Salmonella Typhimurium SL3261	TraDIS: Salmonella Typhimurium SL1344	TraDIS: Salmonella Enteritidis P125109	Symbiont: Secondary endosymbiont of Ctenarytaina eucalypti	Symbiont: Candidatus Moranella endobia PCIT	Symbiont: Secondary endosymbiont of Heteropsylla cubana	Symbiont: Candidatus Baumannia cicadellinicola strain BGSS	Symbiont: Candidatus Baumannia cicadellinicola strain B-GSS	Symbiont: Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	Symbiont: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757	Symbiont: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675	Symbiont: Candidatus Blochmannia vafer str. BVAF	Symbiont: Candidatus Blochmannia floridanus	Symbiont: Candidatus Blochmannia pennsylvanicus str. BPEN	Symbiont: Candidatus Blochmannia chromaiodes str. 640	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	Symbiont: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans	Symbiont: Buchnera aphidicola str. Sg (Schizaphis graminum)	Symbiont: Buchnera aphidicola str. G002 (Myzus persicae)	Symbiont: Buchnera aphidicola str. USDA (Myzus persicae)	Symbiont: Buchnera aphidicola str. F009 (Myzus persicae)	Symbiont: Buchnera aphidicola str. W106 (Myzus persicae)	Symbiont: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	Symbiont: Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	Symbiont: Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	Symbiont: Buchnera aphidicola str. Bp (Baizongia pistaciae)	Symbiont: Buchnera aphidicola BCc	Symbiont: Buchnera aphidicola (Cinara tujafilina)	Symbiont: Sodalis glossinidius str. morsitans	Symbiont: Sodalis praecaptivus strain HS1	Symbiont: Candidatus Sodalis pierantonius str. SOPE	DEG: Haemophilus influenzae Rd KW20	DEG: Vibrio cholerae N16961	DEG: Burkholderia pseudomallei K96243	DEG: Burkholderia thailandensis E264	DEG: Rhodopseudomonas palustris CGA009	DEG: Agrobacterium fabrum str. C58	DEG: Caulobacter crescentus	DEG: Brevundimonas subvibrioides ATCC 15264	DEG: Helicobacter pylori 26695	DEG: Mycoplasma genitalium G37	DEG: Mycoplasma pulmonis UAB CTIP	DEG: Streptococcus agalactiae A909	DEG: Streptococcus pyogenes NZ131	DEG: Streptococcus pyogenes MGAS5448	DEG: Staphylococcus aureus NCTC 8325	DEG: Staphylococcus aureus N315	DEG: Bacillus subtilis 168	Locus: Klebsiella pneumoniae Ecl8	Locus: Klebsiella pneumoniae RH201207	Locus: Escherichia coli ST131 EC958	Locus: Escherichia coli UPEC ST131 NCTC13441	Locus: Escherichia coli BW25113 (Keio)	Locus: Escherichia coli BW25113	Locus: Citrobacter rodentium ICC168	Locus: Salmonella Typhi Ty2	Locus: Salmonella Typhimurium A130	Locus: Salmonella Typhimurium D23580	Locus: Salmonella Typhimurium SL3261	Locus: Salmonella Typhimurium SL1344	Locus: Salmonella Enteritidis P125109	Enterobacteriaceae %essential	Endosymbiont %conserved	Gammaproteobacteria %essential	Gammaproteobacteria (excluding symbionts) %essential	Proteobacteria %essential	Proteobacteria (excluding symbionts) %essential	Bacteria %essential	Bacteria (excluding symbionts) %essential	Enterobacteriaceae: Ancestral essentiality	E. coli + Salmonella + Citrobacter: Ancestral essentiality	Salmonella + Citrobacter: Ancestral essentiality	Klebsiella: Ancestral essentiality	E. coli: Ancestral essentiality	Salmonella: Ancestral essentiality
yehW	yehW	ABC transporters	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.56481637294544	1.96155895797723	1.79561828728018	1.62842159087087	N	1.33279562263574	2.00682358855267	1.40310170728087	A/N	1.86647992748941	2.10239330481629	2.33090934636901	2.20184241037472	1.44074517727087	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_31681	ERS227112_04014	EC958_2464	NCTC13441_01580	b2128	BW25113_2128	ROD_22411	t0693	STM_MW21941	STMMW_21941	SL3261_2140	SL1344_2140	SEN2156	0.0	2.9	1.9	0.0	1.6	0.0	1.4	0.0	0	0	0	0	0	0
gmr	gmr	Quorum sensing	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.73827159592611	2.85826113233288	2.02965972295144	1.86067046282603	N	2.12649827644015	2.30106931994127	1.99104696626998	A/N	2.04733162353508	2.06589516610275	2.17036804280209	2.24189123015369	1.89581375576108	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	A/N	A/N	E	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_30571	ERS227112_04131	EC958_1619	NCTC13441_02477	b1285	BW25113_1285	ROD_17141	t1616	STM_MW16991	STMMW_16991	SL3261_1634	SL1344_1634	SEN1329	0.0	5.9	3.7	0.0	4.9	3.7	5.4	5.0	0	0	0	0	0	0
fldA	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.85090914504995	2.17260984852328	A	A	A	A	1.53114040641403	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_46901	ERS227112_00531	-	-	-	-	ROD_31661	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
chbR	chbR	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	3.28298396894684	3.0206370394556	1.45468224099028	2.96856213554975	N	2.95430961525594	3.12790403668673	3.09753104464185	A/N	3.52635969405983	2.99187532754027	2.30287999137638	2.82415870096936	2.87104748363517	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_18561	ERS227112_05500	EC958_1956	NCTC13441_02145	b1735	BW25113_1735	ROD_13211	t1194	STM_MW13221	STMMW_13221	SL3261_1250	SL1344_1250	SEN1728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
glpR	glpR	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.47644161808128	2.2975713479654	1.56821479270397	1.67822707094251	N	2.33733836206686	1.8746951987162	1.95434448270466	A/N	2.29789673479273	2.02995975821008	2.4345573995349	2.14527887433783	1.73934648204394	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_44281	ERS227112_00797	EC958_3815	NCTC13441_00278	b3423	BW25113_3423	ROD_44011	t3990	STM_MW35121	STMMW_35121	SL3261_3489	SL1344_3489	SEN3348	0.0	8.8	5.6	0.0	4.9	0.0	4.1	0.0	0	0	0	0	0	0
ecpC	ecpC	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	1.9337462444286	2.36944767030479	2.16942583514764	2.30937825047834	N	2.07603540035285	2.89337609614347	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_07811	ERS227112_02643	EC958_0436	NCTC13441_03679	b0291	BW25113_0291	ROD_29221	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
ebgA	ebgA	Galactose metabolism / Other glycan degradation / Metabolic pathways	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.04897842865369	A	2.04166843382417	2.05226244410667	N	1.81816012474482	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_41581	-	EC958_3482	NCTC13441_00616	b3076	BW25113_3076	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
minC	minC	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.52591883566969	2.46780033032767	2.62060888618043	1.95201968308424	N	2.28901892894967	2.86490445144042	1.74422105092879	A/N	2.92028602880382	2.95271840927686	2.57863458404426	2.59455453085754	2.5400502210029	A	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	A	P	P	P	P	P	P	P	P	P	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_29011	ERS227112_04348	EC958_1414	NCTC13441_02704	b1176	BW25113_1176	ROD_18381	t1063	STM_MW18061	STMMW_18061	SL3261_1742	SL1344_1742	SEN1223	0.0	91.2	57.4	0.0	50.8	0.0	41.9	0.0	0	0	0	0	0	0
scrB	-	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.47948287258944	2.34347182554028	2.2920919014515	2.40635381743938	A	A	A	A	A/N	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	E	A/N	A/N	A/N	A/N	A/N	BN373_10761	ERS227112_02937	EC958_3044	NCTC13441_01000	-	-	-	-	-	-	-	-	-	0.0	0.0	0.0	0.0	0.0	0.0	1.4	2.5	0	0	0	0	0	0
rplX	rplX	Ribosome	E	A/N	E	A/N	E	E	E	A/N	E	-4.5	-4.5	-4.5	-4.5	E	-4.5	-4.5	-4.5	E	-4.5	-4.5	-4.5	-0.653298992107116	-0.524398179731314	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	E	E	A/N	E	E	E	E	E	E	E	E	E	E	A/N	E	E	E	BN373_43451	ERS227112_00878	EC958_3702	NCTC13441_00386	b3309	BW25113_3309	ROD_45131	t4076	STM_MW34221	STMMW_34221	SL3261_3396	SL1344_3396	SEN3257	100.0	100.0	98.1	95.0	96.7	92.6	93.2	87.5	1	1	1	1	1	1
accC	accC	Fatty acid biosynthesis / Pyruvate metabolism / Propanoate metabolism / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Carbon metabolism / Fatty acid metabolism	E	E	A/N	A/N	A/N	E	A/N	E	A/N	-4.5	-4.5	-2.10377919025805	-4.5	E	-4.5	-1.53139327662711	-4.5	E	-4.5	-1.25223913532963	-2.75607925553304	-2.692960714584	-3.06611203839307	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	P	P	E	E	E	E	A/N	E	E	E	A/N	A/N	A/N	E	E	E	E	A/N	E	BN373_43061	ERS227112_00941	EC958_3648	NCTC13441_00445	b3256	BW25113_3256	ROD_45581	t3295	STM_MW33781	STMMW_33781	SL3261_3353	SL1344_3353	SEN3214	100.0	50.0	64.8	90.0	65.6	85.2	63.5	75.0	1	1	1	1	1	1
gltX	gltX	Porphyrin and chlorophyll metabolism / Aminoacyl-tRNA biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites	E	E	E	E	E	E	E	E	A/N	-4.5	-4.5	-1.31723831074942	-4.5	E	-4.5	-2.03132952908332	-2.15183958793674	E	-4.5	-2.15793284835922	-4.5	-2.56730413088338	-1.16392842280865	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P	P	P	P	P	P	P	P	P	E	E	E	E	E	E	E	E	A/N	E	E	E	E	E	E	E	E	BN373_34121	ERS227112_03829	EC958_5016	NCTC13441_01319	b2400	BW25113_2400	ROD_28181	t0442	STM_MW24371	STMMW_24371	SL3261_2381	SL1344_2381	SEN2399	100.0	97.1	96.3	95.0	95.1	92.6	95.9	95.0	1	1	1	1	1	1
cadB	cadB	-	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	2.73276185855343	3.27081932894628	3.0327815953209	3.20884019724154	N	3.49941956271364	A	3.2950321501286	A/N	2.98835800330867	2.96750232468869	2.78902099112783	2.42447534327452	2.83323014947013	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	A/N	BN373_10631	ERS227112_02922	EC958_4621	NCTC13441_04323	b4132	BW25113_4132	-	t0298	STM_MW25751	STMMW_25751	SL3261_2520	SL1344_2520	SEN2538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0
