HI# (TIGR)	result	SWISS-Prot name	accno	length	gene name	synonyms
HI0173	se	Y173_HAEIN	P43960	86	 	 
HI0174	e	TRMU_HAEIN	P44551	383	trmU	 
HI0175	e	YFIH_HAEIN	P44552	244	 	 
HI0176	e	RLUD_HAEIN	P44445	324	rluD;	sfhB
HI0177	*non	YFIO_HAEIN	P44553	262	 	 
HI0178	non	Y178_HAEIN	P43961	160	 	 
HI0179	e	PFLA_HAEIN	P43751	246	pflA;	act
HI0180	e1	PFLB_HAEIN	P43753	770	pflB;	pfl
HI0181	e	FOCA_HAEIN	P43756	284	focA	 
HI0182	e1	YAJF_HAEIN	P44554	313	 	 
HI0183	e	YAAJ_HAEIN	P44555	481	 	 
HI0184	e2	YAIM_HAEIN	P44556	275	 	 
HI0185	e1	ADH3_HAEIN	P44557	378	adhC	 
HI0186	nd	Y186_HAEIN	P44558	135	 	 
HI0187	nd	TATA_HAEIN	P57046	89	tatA	 
HI0188	e	TATC_HAEIN	P44560	256	tatC	 
HI0189	nd	DHE4_HAEIN	P43793	449	gdhA	 
HI0190	*non	FUR_HAEIN	P44561	146	fur	 
HI0191	e1	FLAV_HAEIN	P44562	174	fldA	 
HI0192	e	SEQA_HAEIN	P44564	197	seqA	 
HI0193	e	Y193_HAEIN	Q57427	287	 	 
HI0194	e	MENE_HAEIN	P44565	452	menE	 
HI0195	nd	Deleted	 	 	 	 
HI0195.1	non	YJEP_HAEIN	Q57362	1111	 	 
HI0196	e	AROC_HAEIN	P43875	357	aroC	 
HI0197	nd	MEPA_HAEIN	P44566	286	mepA	 
HI0198	e	YFCA_HAEIN	P46490	255	 	 
HI0199	e	MSBB_HAEIN	P44567	318	msbB	 
HI0200	non	SELD_HAEIN	P43911	348	selD	 
HI0201	e	RL19_HAEIN	P44357	116	rplS;	rpl19
HI0202	nd	TRMD_HAEIN	P43912	246	trmD	 
HI0203	nd	RIMM_HAEIN	P44568	178	rimM	 
HI0204	e	RS16_HAEIN	P44382	82	rpsP;	rps16
HI0205	e	Y205_HAEIN	P43963	257	 	 
HI0206	non	5NTD_HAEIN	P44569	603	 	 
HI0207	e1	AROK_HAEIN	P43880	180	aroK	 
HI0208	e	AROB_HAEIN	P43879	362	aroB	 
HI0209	e	DMA_HAEIN	P44431	286	dam;	HinDIVM
HI0210	nd	Y210_HAEIN	P43964	35	 	 
HI0211	e1	PGPB_HAEIN	P44570	241	pgpB	 
HI0212	e	GCH2_HAEIN	P44571	216	ribA	 
HI0213	non	Y213_HAEIN	P44572	514	 	 
HI0214	non	OPDA_HAEIN	P44573	681	prlC	 
HI0215	e	Pseudogene	 	 	 	 
HI0216	non	T1SI_HAEIN	P71344	385	 	 
HI0217	non	YAFM_HAEIN	P43965	176	 	 
HI0218	e	Pseudogene	 	 	 	 
HI0219	non	YKGB_HAEIN	P44577	213	 	 
HI0220	non	ARCB_HAEIN	P44578	325	arcB	 
HI0220.1	e	BIRA_HAEIN	P46363	302	birA	 
HI0221	*non	IMDH_HAEIN	P44334	488	guaB	 
HI0222	e	GUAA_HAEIN	P44335	523	guaA	 
HI0223	e	Y223_HAEIN	P44579	300	 	 
HI0224	non	Y224_HAEIN	P44580	168	 	 
HI0225	*non	NHAA_HAEIN	P44581	400	nhaA	 
HI0226	non	BRNQ_HAEIN	P71345	436	brnQ	 
HI0227	nd	YHCH_HAEIN	P44583	155	 	 
HI0228	nd	Y228_HAEIN	P43966	124	 	 
HI0229	non	PNP_HAEIN	P44584	709	pnp	 
HI0230	*non	NLPI_HAEIN	P44585	314	nlpI	 
HI0231	nd	DEAD_HAEIN	P44586	613	deaD;	csdA
HI0232	nd	YFHD_HAEIN	P44587	462	 	 
HI0233	nd	Y233_HAEIN	P43967	50	 	 
HI0234	nd	Y234_HAEIN	P43968	48	 	 
HI0235	nd	YHDL_HAEIN	P44588	69	 	 
HI0236	*non	ARSC_HAEIN	P44589	116	arsC;	arsG
HI0237	e	PERM_HAEIN	P43969	349	perM	 
HI0238	e	Deleted	 	 	 	 
HI0239	e	SECF_HAEIN	P44590	325	secF	 
HI0240	nd	SECD_HAEIN	P44591	616	secD	 
HI0241	nd	YAJC_HAEIN	P44592	97	 	 
HI0242	nd	Y242_HAEIN	P44593	73	 	 
HI0243	nd	Y243_HAEIN	P43971	172	 	 
HI0244	e	TGT_HAEIN	P44594	382	tgt	 
HI0245	*non	QUEA_HAEIN	P44595	363	queA	 
HI0246	nd	Y246_HAEIN	P43972	148	 	 
HI0248	non	HAP1_HAEIN	P44596	1409	hap	 
HI0249	*non	UVRA_HAEIN	P44410	943	uvrA	 
HI0250	*non	SSB_HAEIN	P44409	168	ssb	 
HI0251	e	TONB_HAEIN	P42872	270	tonB	 
HI0252	non	EXBD_HAEIN	P43009	147	exbD	 
HI0253	non	EXBB_HAEIN	P43008	150	exbB	 
HI0254	*non	BCP_HAEIN	P44411	155	bcp	 
HI0255	e	DAPA_HAEIN	P43797	298	dapA	 
HI0256	*non	Y256_HAEIN	P43973	215	 	 
HI0257	non	YFIA_HAEIN	P71346	107	 	 
HI0258	non	Y258_HAEIN	P43974	330	 	 
HI0260	nd	YGGV_HAEIN	P44598	195	 	 
HI0261	nd	Y261_HAEIN	Q57336	347	 	 
HI0262	non	Y262_HAEIN	P44600	723	 	 
HI0263	non	HXB1_HAEIN	P44601	565	hxuB	 
HI0264	non	HXA1_HAEIN	P44602	905	hxuA	 
HI0266	e	YGIH_HAEIN	P44603	199	 	 
HI0267	non	NARQ_HAEIN	P44604	567	narQ	 
HI0268	nd	MURB_HAEIN	P44605	341	murB	 
HI0269	non	RP32_HAEIN	P44404	281	rpoH	 
HI0270	non	YOHI_HAEIN	P44606	310	 	 
HI0271	non	DJLA_HAEIN	P44607	288	djlA	 
HI0272	non	PYRE_HAEIN	P43855	213	pyrE	 
HI0273	non	RNPH_HAEIN	P44444	238	rph	 
HI0274	e	SYE_HAEIN	P43818	480	gltX	 
HI0275	non	Y275_HAEIN	P43975	551	 	 
HI0276	e	RBN_HAEIN	P44608	269	rbn	 
HI0277	*non	YCHJ_HAEIN	P44609	161	 	 
HI0278	non	YIIM_HAEIN	P43976	221	 	 
HI0279	e	Y279_HAEIN	P43977	98	 	 
HI0280	non	UDP_HAEIN	P43770	259	udp	 
HI0281	non	Y281_HAEIN	P44610	438	 	 
HI0282	e	YFBB_HAEIN	P44611	247	 	 
HI0283	e	MEND_HAEIN	P44612	568	menD	 
HI0284	nd	Deleted	 	 	 	 
HI0285	e	MENF_HAEIN	P44613	430	menF	 
HI0286	nd	YFBQ_HAEIN	P71348	404	 	 
HI0287	non	MTR_HAEIN	P44614	418	mtr	 
HI0288	non	SDHL_HAEIN	P71349	455	sdaA	 
HI0289	*non	SDAC_HAEIN	P44615	412	sdaC	 
HI0290	non	Y290_HAEIN	P77868	722	 	 
HI0291	nd	Y291_HAEIN	P43979	68	 	 
HI0292	nd	Y292_HAEIN	O32622	68	 	 
HI0293	nd	CUER_HAEIN	P44617	128	cueR	 
HI0294	nd	METJ_HAEIN	P44618	105	metJ	 
HI0295	nd	RHO_HAEIN	P44619	420	rho	 
HI0296	nd	LEP4_HAEIN	P44620	230	hofD;	hopD
HI0297	e	HOFC_HAEIN	P44621	406	hofC;	hopC
HI0298	nd	HOFB_HAEIN	P44622	464	hofB;	hopB
HI0299	non	PPDD_HAEIN	P44623	149	ppdD	 
HI0300	non	AMPD_HAEIN	P44624	184	ampD	 
HI0301	non	CORC_HAEIN	Q57368	299	corC	 
HI0302	non	LNT_HAEIN	P44626	522	lnt;	cutE
HI0303	e	YGGJ_HAEIN	P44627	245	 	 
HI0304	non	YQGE_HAEIN	P43980	186	 	 
HI0305	*non	YQGF_HAEIN	P43981	139	 	 
HI0306	e	RDGC_HAEIN	P44628	302	rdgC	 
HI0307	nd	PROC_HAEIN	P43869	271	proC	 
HI0308	non	HCAT_HAEIN	P44629	388	hcaT	 
HI0309	non	XERD_HAEIN	P44630	297	xerD;	xprB
HI0310	nd	Y310_HAEIN	P43982	95	 	 
HI0311	nd	Deleted	 	 	 	 
HI0312	nd	RUVB_HAEIN	P44631	335	ruvB	 
HI0313	nd	RUVA_HAEIN	P44632	204	ruvA	 
HI0314	nd	RUVC_HAEIN	P44633	190	ruvC	 
HI0315	non	YEBC_HAEIN	P44634	246	 	 
HI0316	non	NUDB_HAEIN	P44635	158	nudB;	ntpA
HI0317	*non	SYD_HAEIN	P43817	588	aspS	 
HI0318	non	Y318_HAEIN	P43984	172	 	 
HI0319	*non	YECO_HAEIN	P43985	241	 	 
HI0320	*non	Deleted	 	 	 	 
HI0321	nd	Y321_HAEIN	Q57534	78	 	 
HI0322	non	Y322_HAEIN	Q57122	134	 	 
HI0323	*non	LGUL_HAEIN	P44638	135	gloA	 
HI0324	non	RNT_HAEIN	P44639	229	rnt	 
HI0325	non	Y325_HAEIN	P44640	450	 	 
HI0326	nd	Y326_HAEIN	P43987	87	 	 
HI0328	nd	EFP_HAEIN	P43771	188	efp	 
HI0329	e	YJEK_HAEIN	P44641	338	 	 
HI0330	non	OAPA_HAEIN	P44415	431	oapA	 
HI0331	non	OAPB_HAEIN	P44416	134	oapB	 
HI0332	non	RECO_HAEIN	P44642	236	recO	 
HI0333	non	YGCA_HAEIN	P44643	438	 	 
HI0334	non	RELA_HAEIN	P44644	743	relA	 
HI0335	e	KDGL_HAEIN	P44424	118	dgkA	 
HI0336	non	MOG_HAEIN	P44645	197	mog;	mogA
HI0337	e	GLNB_HAEIN	P43795	112	glnB	 
HI0338	e	YHHT_HAEIN	P44646	348	 	 
HI0339	nd	PRIA_HAEIN	P44647	730	priA	 
HI0340	nd	MT04_HAEIN	P44648	246	 	 
HI0341	non	YGGL_HAEIN	P44649	114	 	 
HI0342	se	NAPF_HAEIN	P44650	176	napF	 
HI0343	se	NAPD_HAEIN	P44651	93	napD	 
HI0345	e	NAPG_HAEIN	P44652	279	napG	 
HI0346	e	NAPH_HAEIN	P44653	287	napH	 
HI0347	non	NAPB_HAEIN	P44654	150	napB	 
HI0348	nd	NAPC_HAEIN	P44655	200	napC	 
HI0349	non	KAD_HAEIN	P24323	214	adk	 
HI0350	non	Y350_HAEIN	P24326	425	 	 
HI0351	non	GALE_HAEIN	P24325	338	galE	 
HI0352	e	Y352_HAEIN	P24324	231	 	 
HI0354	non	Y354_HAEIN	P44656	240	 	 
HI0355	e	Y355_HAEIN	Q57306	245	 	 
HI0357	non	Y357_HAEIN	P44658	314	 	 
HI0358	non	Y358_HAEIN	P44659	215	 	 
HI0359	nd	Y359_HAEIN	P44660	271	 	 
HI0360	nd	Y360_HAEIN	P44661	282	 	 
HI0361	nd	Y361_HAEIN	P44662	306	 	 
HI0362	nd	Y362_HAEIN	Q57449	293	 	 
HI0364	non	PBP7_HAEIN	P44664	292	pbpG	 
HI0365	non	YFGB_HAEIN	P44665	390	 	 
HI0366	e	Y366_HAEIN	P43988	179	 	 
HI0367	e	Y367_HAEIN	Q57065	303	 	 
HI0368	nd	GCPE_HAEIN	P44667	368	gcpE	 
HI0369	nd	SYH_HAEIN	P43823	423	hisS	 
HI0370	non	Y370_HAEIN	P43989	204	 	 
HI0371	nd	YFHJ_HAEIN	P44668	64	 	 
HI0372	nd	FER_HAEIN	P44428	113	fdx	 
HI0373	e	HSCA_HAEIN	P44669	619	hscA	 
HI0374	non	YBFG_HAEIN	P44670	228	 	 
HI0375	e	HSCB_HAEIN	Q57006	174	hscB	 
HI0376	nd	YFHF_HAEIN	P44672	107	 	 
HI0377	nd	NIFU_HAEIN	Q57074	126	nifU	 
HI0378	non	ISCS_HAEIN	Q57337	404	iscS	 
HI0379	non	YFHP_HAEIN	P44675	150	 	 
HI0380	e	Y380_HAEIN	P44676	241	 	 
HI0381	*non	PAL_HAEIN	P10324	153	pal;	ompP6
HI0382	e	TOLB_HAEIN	P44677	427	tolB	 
HI0383	nd	TOLA_HAEIN	P44678	372	tolA	 
HI0384	nd	TOLR_HAEIN	P43769	139	tolR	 
HI0385	nd	TOLQ_HAEIN	P43768	228	tolQ	 
HI0386	nd	YBGC_HAEIN	P44679	136	 	 
HI0387	e	YOAA_HAEIN	P44680	640	 	 
HI0388	nd	YEAZ_HAEIN	P43990	236	 	 
HI0389	nd	Y389_HAEIN	P43991	183	 	 
HI0390	nd	RND_HAEIN	P44442	399	rnd	 
HI0390.1	nd	LCFA_HAEIN	P46450	562	fadD	 
HI0391	e	Y391_HAEIN	P43992	182	 	 
HI0392	non	Y392_HAEIN	P43993	245	 	 
HI0393	non	YCHF_HAEIN	P44681	363	 	 
HI0394	e	PTH_HAEIN	P44682	194	pth	 
HI0395	nd	YFJF_HAEIN	P43994	102	 	 
HI0396	non	YCFD_HAEIN	P44683	404	 	 
HI0397	non	EX7L_HAEIN	P43913	439	xseA	 
HI0398	*non	ADPP_HAEIN	P44684	217	nudF	 
HI0399	e	ICC_HAEIN	P44685	274	icc	 
HI0400	e	Y400_HAEIN	P44686	95	 	 
HI0401	non	OM11_HAEIN	P43838	459	ompP1	 
HI0402	nd	OGT_HAEIN	P44687	190	ogt;	dat1
HI0403	nd	MUTH_HAEIN	P44688	223	mutH	 
HI0404	nd	MESJ_HAEIN	P44689	430	mesJ	 
HI0405	e	PDXY_HAEIN	P44690	288	pdxY	 
HI0406	e	ACCA_HAEIN	P43872	315	accA	 
HI0407	nd	ZNUB_HAEIN	P44691	261	znuB	 
HI0408	nd	ZNUC_HAEIN	P44692	268	znuC	 
HI0409	non	YEBA_HAEIN	P44693	475	 	 
HI0410	non	TYRR_HAEIN	P44694	318	tyrR	 
HI0411	nd	HFQ_HAEIN	P44437	91	hfq	 
HI0412	e	RLUC_HAEIN	P44433	322	rluC	 
HI0413	e	RNE_HAEIN	P44443	935	rne	 
HI0414	nd	Y414_HAEIN	Q57392	70	 	 
HI0415	nd	THIM_HAEIN	Q57233	265	thiM	 
HI0416	e	THID_HAEIN	P44697	269	thiD	 
HI0417	e	THIE_HAEIN	P71350	226	thiE	 
HI0418	e	Y418_HAEIN	P44699	447	 	 
HI0419	non	YEGQ_HAEIN	P44700	460	 	 
HI0420	nd	Y420_HAEIN	P43995	99	 	 
HI0421	nd	Y421_HAEIN	P43996	54	 	 
HI0422	nd	SRMB_HAEIN	P44701	439	srmB	 
HI0423	e	YFIC_HAEIN	P44702	240	 	 
HI0424	nd	YFIF_HAEIN	P44703	351	 	 
HI0425	nd	PSS_HAEIN	P44704	455	pssA	 
HI0426	nd	FADR_HAEIN	P44705	241	fadR	 
HI0427	nd	NHAB_HAEIN	P44706	522	nhaB	 
HI0428	nd	DSBB_HAEIN	P44707	177	dsbB	 
HI0429	non	GLMS_HAEIN	P44708	610	glmS	 
HI0430	non	DBH_HAEIN	P43722	90	hup;	hupA
HI0431	*non	YJAG_HAEIN	P44709	196	 	 
HI0432	*non	NUDC_HAEIN	P44710	264	nudC	 
HI0433	nd	YHGI_HAEIN	P31774	198	 	 
HI0434	nd	COMF_HAEIN	P31773	229	comF	 
HI0435	non	COME_HAEIN	P31772	445	comE	 
HI0436	e	COMD_HAEIN	P31771	137	comD	 
HI0437	e	COMC_HAEIN	P31770	173	comC	 
HI0438	e	COMB_HAEIN	P31769	168	comB	 
HI0439	e	COMA_HAEIN	P31768	265	comA	 
HI0440	nd	PBPA_HAEIN	P31776	853	mrcA;	ponA
HI0441	nd	YHIR_HAEIN	P31777	281	 	 
HI0442	non	YBAB_HAEIN	P44711	109	 	 
HI0443	*non	RECR_HAEIN	P44712	200	recR	 
HI0444	non	TOP3_HAEIN	P43704	651	topB	 
HI0445	non	SECG_HAEIN	P44713	112	secG	 
HI0446	*non	PTFB_HAEIN	P44714	556	fruA	 
HI0447	*non	K1PF_HAEIN	P44330	313	fruK	 
HI0448	*non	PTFA_HAEIN	P44715	499	fruB	 
HI0449	non	Y449_HAEIN	P43997	178	 	 
HI0450	non	VAPD_HAEIN	P71351	91	vapD	 
HI0451	non	Y451_HAEIN	P43998	63	 	 
HI0452	non	YTFL_HAEIN	P44717	432	 	 
HI0453	non	Y453_HAEIN	P43999	174	 	 
HI0454	*non	YCFH_HAEIN	P44718	260	 	 
HI0455	e	HOLB_HAEIN	P43748	327	holB	 
HI0456	e	KTHY_HAEIN	P44719	210	tmk	 
HI0457	non	YCEG_HAEIN	P44720	347	 	 
HI0458	e	SURA_HAEIN	P44721	313	surA	 
HI0459	non	Y459_HAEIN	P44722	179	 	 
HI0460	e	MAZG_HAEIN	P44723	263	mazG	 
HI0461	*non	Y461_HAEIN	Q57144	291	 	 
HI0462	non	LON_HAEIN	P43864	803	lon;	lon-A
HI0463	non	YGGW_HAEIN	P43899	383	 	 
HI0464	e	RPIA_HAEIN	P44725	219	rpiA	 
HI0465	e	SERA_HAEIN	P43885	410	serA	 
HI0466	e	Y466_HAEIN	P44000	280	 	 
HI0467	e	YICC_HAEIN	P44726	287	 	 
HI0468	e	HIS1_HAEIN	P43853	303	hisG	 
HI0469	non	HISX_HAEIN	P44001	427	hisD	 
HI0470	e	HIS8_HAEIN	P44423	367	hisC	 
HI0471	e	HIS7_HAEIN	P44327	362	hisB	 
HI0472	*non	HIS5_HAEIN	P44340	199	hisH	 
HI0473	e	HIS4_HAEIN	P44435	249	hisA	 
HI0474	*non	HIS6_HAEIN	P44436	258	hisF	 
HI0475	*non	HIS2_HAEIN	P44434	221	hisI;	hisIE
HI0476	nd	Y476_HAEIN	P44002	50	 	 
HI0477	e	TYRP_HAEIN	P44727	400	tyrP-A	 
HI0478	non	ATPE_HAEIN	P43718	142	atpC	 
HI0479	non	ATPB_HAEIN	P43715	457	atpD	 
HI0480	non	ATPG_HAEIN	P43716	289	atpG	 
HI0481	non	ATPA_HAEIN	P43714	513	atpA	 
HI0482	non	ATPD_HAEIN	P43717	177	atpH	 
HI0483	non	ATPF_HAEIN	P43720	156	atpF	 
HI0484	nd	ATPL_HAEIN	P43721	84	atpE	 
