CS17_01918 [CS17/1983038-1984390 (Complement)] [6-phospho-beta-glucosidase,6-phospho-beta-glucosidase,alpha-galactosidase,Family 4 glycosyl hydrolase]  [celF] [EC_number=]
CS17_02656 [CS17/2726591-2728129 (Complement)] [multidrug resistance protein Y,Multidrug resistance protein B,putative transporter,Arabinose efflux permease,drug resistance MFS transporter, drug:H  antiporter-2 (14 Spanner) (DHA2) family,Major Facilitator Superfamily]  [emrB_1] [EC_number=]
CS17_02416 [CS17/2480331-2481272 (Complement)] [putative pyrimidine kinase,Pseudouridine kinase,pseudouridine kinase,Uncharacterized enzyme involved in pigment biosynthesis,ribokinase,pfkB family carbohydrate kinase]  [psuK_2] [EC_number=]
CS17_01103 [CS17/1184476-1185195 (Forward)] [aspartate racemase,Aspartate racemase,putative racemase,aspartate racemase,Asp/Glu/Hydantoin racemase]   [EC_number=]
CS17_02929 [CS17/3009157-3009453 (Complement)] [prophage CP-933T hypothetical protein]   [EC_number=]
CS17_03191 [CS17/3252120-3253496 (Forward)] [putative invasion genes regulator,transcriptional regulator,Transcriptional regulatory protein, C terminal]   [EC_number=]
CS17_03919 [CS17/3971755-3972564 (Forward)] [putative signal transduction protein,Cyclic di-GMP phosphodiesterase yahA,phage resistance protein,Predicted signal transduction protein containing sensor and EAL domains,EAL domain]  [yahA_4] [EC_number=]
CS17_03210 [CS17/3263059-3264006 (Complement)] [surface presentation of antigens protein SpaO,type III secretion system protein SpaO,Flagellar motor switch/type III secretory pathway protein,type III secretion apparatus protein, YscQ/HrcQ family,Surface presentation of antigens (SPOA)]   [EC_number=]
CS17_01876 [CS17/1941676-1943271 (Forward)] [putative CoA transferase,Acetate CoA-transferase subunit alpha,acetyl-CoA:acetoacetyl-CoA transferase subunit alpha,Acyl CoA:acetate/3-ketoacid CoA transferase,3-oxoacid CoA-transferase, A subunit,Coenzyme A transferase]  [atoD_1] [EC_number=]
CS17_04482 [CS17/4582954-4584528 (Complement)] [T3SS effector-like protein EspL,ShET2 enterotoxin, N-terminal region]   [EC_number=]
CS17_04518 [CS17/4622260-4623588 (Forward)] [putative type III effector protein,E3 ubiquitin-protein ligase SopA,hypothetical protein,Uncharacterized protein conserved in bacteria]  [sopA] [EC_number=]
CS17_01873 [CS17/1938600-1939865 (Forward)] [major facilitator superfamily protein,Inner membrane transport protein ydiN,putative transporter,MFS transporter, aromatic acid:H  symporter (AAHS) family,Major Facilitator Superfamily]  [ydiN] [EC_number=]
